"","publisher","date","type","XY","wqual","qual","freq"
"1","Algemeen Dagblad","1-2-2021","IP","party_coronaverspreiding",1,1,1
"2","Algemeen Dagblad","1-2-2021","IP","party_geZorg",-1,-1,1
"3","Algemeen Dagblad","1-2-2021","REA","?realityUD?_coronabestrijding",1,1,1
"4","Algemeen Dagblad","1-2-2021","REA","?realityUD?_issue",-1,-1,1
"5","Algemeen Dagblad","1-2-2021","SF","?realitySF?_CDA",1,1,1
"6","Algemeen Dagblad","1-2-2021","SF","?realitySF?_CodeOranje",0,0,1
"7","Algemeen Dagblad","1-2-2021","SP","society_CodeOranje",-1,-1,1
"8","Algemeen Dagblad","1-3-2021","CP","politics_VVD",-1,-1,1
"9","Algemeen Dagblad","1-3-2021","IP","party_coronabestrijding",1,0.333333333333333,3
"10","Algemeen Dagblad","1-3-2021","IP","party_werk",-2,-1,2
"11","Algemeen Dagblad","1-3-2021","REA","?realityUD?_OenW",-1,-1,1
"12","Algemeen Dagblad","1-3-2021","REA","?realityUD?_campagne",0,0,1
"13","Algemeen Dagblad","1-3-2021","REA","?realityUD?_coronabestrijding",1,1,1
"14","Algemeen Dagblad","1-3-2021","REA","?realityUD?_klimaatMilieu",0,0,1
"15","Algemeen Dagblad","1-3-2021","REA","?realityUD?_werk",-1,-1,1
"16","Algemeen Dagblad","1-3-2021","SF","?realitySF?_FvD",-1,-1,1
"17","Algemeen Dagblad","1-3-2021","SF","?realitySF?_PVV",0,0,1
"18","Algemeen Dagblad","1-3-2021","SF","?realitySF?_PvdD",0,0,1
"19","Algemeen Dagblad","1-3-2021","SF","?realitySF?_VVD",1,0.5,2
"20","Algemeen Dagblad","10-2-2021","IP","party_coronabestrijding",-3,-1,3
"21","Algemeen Dagblad","10-2-2021","IP","party_vrijheidsrechten",-2,-1,2
"22","Algemeen Dagblad","10-2-2021","REA","?realityUD?_SocZek",2,1,2
"23","Algemeen Dagblad","10-2-2021","REA","?realityUD?_coronabestrijding",2,1,2
"24","Algemeen Dagblad","10-2-2021","REA","?realityUD?_ondernemingsklimaat",0,0,2
"25","Algemeen Dagblad","10-2-2021","REA","?realityUD?_vrijheidsrechten",1,1,1
"26","Algemeen Dagblad","10-2-2021","REA","?realityUD?_werk",-2,-1,2
"27","Algemeen Dagblad","10-2-2021","SF","?realitySF?_CDA",0,0,1
"28","Algemeen Dagblad","10-2-2021","SF","?realitySF?_D66",0,0,1
"29","Algemeen Dagblad","10-2-2021","SF","?realitySF?_DENK",1,1,1
"30","Algemeen Dagblad","10-2-2021","SF","?realitySF?_FvD",-3,-1,3
"31","Algemeen Dagblad","10-2-2021","SF","?realitySF?_GroenLinks",0,0,2
"32","Algemeen Dagblad","10-2-2021","SF","?realitySF?_PvdA",0,0,1
"33","Algemeen Dagblad","10-2-2021","SF","?realitySF?_SP",0,0,2
"34","Algemeen Dagblad","10-2-2021","SF","?realitySF?_VVD",0,0,1
"35","Algemeen Dagblad","10-3-2021","REA","?realityUD?_klimaatMilieu",0,0,2
"36","Algemeen Dagblad","10-3-2021","SF","?realitySF?_PVV",1,1,1
"37","Algemeen Dagblad","11-2-2021","IP","party_integratie",0,0,2
"38","Algemeen Dagblad","11-2-2021","IP","party_normenWaarden",0,0,1
"39","Algemeen Dagblad","11-2-2021","MP","media_D66",1,1,1
"40","Algemeen Dagblad","11-2-2021","REA","?realityUD?_campagne",-2,-0.5,4
"41","Algemeen Dagblad","11-2-2021","REA","?realityUD?_normenWaarden",-1,-1,1
"42","Algemeen Dagblad","11-2-2021","SF","?realitySF?_FvD",-2,-1,2
"43","Algemeen Dagblad","11-3-2021","IP","party_coronabestrijding",-1,-1,1
"44","Algemeen Dagblad","11-3-2021","MP","media_CDA",0,0,2
"45","Algemeen Dagblad","11-3-2021","MP","media_PVV",2,1,2
"46","Algemeen Dagblad","11-3-2021","MP","media_VVD",-2,-1,2
"47","Algemeen Dagblad","11-3-2021","REA","?realityUD?_coronabestrijding",1,1,1
"48","Algemeen Dagblad","12-2-2021","IP","party_OenW",1,0.333333333333333,3
"49","Algemeen Dagblad","12-2-2021","MP","media_D66",-1,-1,1
"50","Algemeen Dagblad","12-2-2021","MP","media_FvD",-1,-1,1
"51","Algemeen Dagblad","12-2-2021","MP","media_GroenLinks",-1,-1,1
"52","Algemeen Dagblad","12-2-2021","REA","?realityUD?_OenW",-1,-1,1
"53","Algemeen Dagblad","12-2-2021","REA","?realityUD?_klimaatMilieu",-1,-1,1
"54","Algemeen Dagblad","12-2-2021","SF","?realitySF?_FvD",-1,-1,1
"55","Algemeen Dagblad","12-3-2021","IP","party_belastHeffing",-1,-1,1
