id,cat,subcat,mtype,date,publisher
2665852,actor,CDA,Newspapers,2021-01-02,De Telegraaf
2666075,actor,CDA,Newspapers,2021-01-02,Algemeen Dagblad
2666082,actor,CDA,Newspapers,2021-01-02,Algemeen Dagblad
2666182,actor,CDA,Newspapers,2021-01-02,De Volkskrant
2666183,actor,CDA,Newspapers,2021-01-02,De Volkskrant
2666220,actor,CDA,Newspapers,2021-01-02,De Volkskrant
2666229,actor,CDA,Newspapers,2021-01-02,De Volkskrant
2666303,actor,CDA,Newspapers,2021-01-02,Trouw
2666305,actor,CDA,Newspapers,2021-01-02,Trouw
2666427,actor,CDA,Newspapers,2021-01-02,NRC Handelsblad
2666428,actor,CDA,Newspapers,2021-01-02,NRC Handelsblad
2666534,actor,CDA,Newspapers,2021-01-02,NRC Handelsblad
2668132,actor,CDA,Newspapers,2021-01-04,Trouw
2668208,actor,CDA,Newspapers,2021-01-04,De Telegraaf
2668414,actor,CDA,Newspapers,2021-01-04,De Volkskrant
2670421,actor,CDA,Newspapers,2021-01-04,NRC Handelsblad
2670426,actor,CDA,Newspapers,2021-01-04,NRC Handelsblad
2670451,actor,CDA,Newspapers,2021-01-04,NRC Handelsblad
2670453,actor,CDA,Newspapers,2021-01-04,NRC Handelsblad
2670468,actor,CDA,Newspapers,2021-01-04,NRC Handelsblad
2670552,actor,CDA,Newspapers,2021-01-05,Trouw
2670564,actor,CDA,Newspapers,2021-01-05,De Telegraaf
2670573,actor,CDA,Newspapers,2021-01-05,De Telegraaf
2670844,actor,CDA,Newspapers,2021-01-05,De Volkskrant
2672161,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672176,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672177,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672178,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672187,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672222,actor,CDA,Newspapers,2021-01-05,NRC Handelsblad
2672234,actor,CDA,Newspapers,2021-01-06,Trouw
2672284,actor,CDA,Newspapers,2021-01-06,Trouw
2672321,actor,CDA,Newspapers,2021-01-06,De Telegraaf
2672469,actor,CDA,Newspapers,2021-01-06,De Telegraaf
2672480,actor,CDA,Newspapers,2021-01-06,De Telegraaf
2672580,actor,CDA,Newspapers,2021-01-06,De Volkskrant
2672602,actor,CDA,Newspapers,2021-01-06,De Volkskrant
2674848,actor,CDA,Newspapers,2021-01-06,NRC Handelsblad
2674849,actor,CDA,Newspapers,2021-01-06,NRC Handelsblad
2674850,actor,CDA,Newspapers,2021-01-06,NRC Handelsblad
2674859,actor,CDA,Newspapers,2021-01-06,NRC Handelsblad
2674919,actor,CDA,Newspapers,2021-01-06,NRC Handelsblad
2675574,actor,CDA,Newspapers,2021-01-07,De Telegraaf
2675693,actor,CDA,Newspapers,2021-01-07,De Telegraaf
2675700,actor,CDA,Newspapers,2021-01-07,De Telegraaf
2675754,actor,CDA,Newspapers,2021-01-07,Algemeen Dagblad
2675801,actor,CDA,Newspapers,2021-01-07,De Volkskrant
2676536,actor,CDA,Newspapers,2021-01-07,NRC Handelsblad
2676541,actor,CDA,Newspapers,2021-01-07,NRC Handelsblad
