id,cat,subcat,label,count
2665852,actor,CDA,CDA,4
2666075,actor,CDA,CDA,1
2666082,actor,CDA,CDA,1
2666182,actor,CDA,CDA,1
2666183,actor,CDA,CDA,3
2666220,actor,CDA,CDA,9
2666229,actor,CDA,CDA,1
2666303,actor,CDA,CDA,1
2666305,actor,CDA,CDA,3
2666427,actor,CDA,CDA,1
2666428,actor,CDA,CDA,3
2666534,actor,CDA,CDA,1
2668132,actor,CDA,CDA,1
2668208,actor,CDA,CDA,1
2668414,actor,CDA,CDA,1
2670421,actor,CDA,CDA,1
2670426,actor,CDA,CDA,1
2670451,actor,CDA,CDA,1
2670453,actor,CDA,CDA,2
2670468,actor,CDA,CDA,1
2670552,actor,CDA,CDA,1
2670564,actor,CDA,CDA,1
2670573,actor,CDA,CDA,1
2670844,actor,CDA,CDA,1
2672161,actor,CDA,CDA,2
2672176,actor,CDA,CDA,1
2672177,actor,CDA,CDA,9
2672178,actor,CDA,CDA,1
2672187,actor,CDA,CDA,1
2672222,actor,CDA,CDA,1
2672234,actor,CDA,CDA,2
2672284,actor,CDA,CDA,2
2672321,actor,CDA,CDA,1
2672469,actor,CDA,CDA,1
2672480,actor,CDA,CDA,2
2672580,actor,CDA,CDA,1
2672602,actor,CDA,CDA,1
2674848,actor,CDA,CDA,1
2674849,actor,CDA,CDA,1
2674850,actor,CDA,CDA,1
2674859,actor,CDA,CDA,1
2674919,actor,CDA,CDA,1
2675574,actor,CDA,CDA,1
2675693,actor,CDA,CDA,1
2675700,actor,CDA,CDA,1
2675754,actor,CDA,CDA,3
2675801,actor,CDA,CDA,1
2676536,actor,CDA,CDA,1
2676541,actor,CDA,CDA,4
2676617,actor,CDA,CDA,1
2676618,actor,CDA,CDA,2
2676681,actor,CDA,CDA,2
2676700,actor,CDA,CDA,3
2676874,actor,CDA,CDA,1
2676969,actor,CDA,CDA,1
2678619,actor,CDA,CDA,1
2678682,actor,CDA,CDA,1
2678684,actor,CDA,CDA,1
2678700,actor,CDA,CDA,1
2678705,actor,CDA,CDA,2
2678715,actor,CDA,CDA,1
2678716,actor,CDA,CDA,3
2678740,actor,CDA,CDA,1
2678858,actor,CDA,CDA,2
2679278,actor,CDA,CDA,1
2679285,actor,CDA,CDA,5
2679286,actor,CDA,CDA,5
2679296,actor,CDA,CDA,1
2679297,actor,CDA,CDA,1
2679314,actor,CDA,CDA,1
2679315,actor,CDA,CDA,1
2679321,actor,CDA,CDA,1
2679324,actor,CDA,CDA,4
2679408,actor,CDA,CDA,2
2683476,actor,CDA,CDA,3
2686874,actor,CDA,CDA,1
2686880,actor,CDA,CDA,1
2686889,actor,CDA,CDA,1
2688263,actor,CDA,CDA,1
2688278,actor,CDA,CDA,3
2688396,actor,CDA,CDA,1
2689529,actor,CDA,CDA,1
2689536,actor,CDA,CDA,27
2689539,actor,CDA,CDA,2
2689544,actor,CDA,CDA,1
2689563,actor,CDA,CDA,11
2689591,actor,CDA,CDA,1
2689626,actor,CDA,CDA,1
2689629,actor,CDA,CDA,1
2691451,actor,CDA,CDA,5
2691456,actor,CDA,CDA,1
2691459,actor,CDA,CDA,1
2691464,actor,CDA,CDA,2
2691466,actor,CDA,CDA,1
2691532,actor,CDA,CDA,1
2691543,actor,CDA,CDA,2
2691552,actor,CDA,CDA,3
2691556,actor,CDA,CDA,2
2691674,actor,CDA,CDA,2
2691686,actor,CDA,CDA,1
2691689,actor,CDA,CDA,1
2691979,actor,CDA,CDA,1
2691984,actor,CDA,CDA,2
2691990,actor,CDA,CDA,1
2692000,actor,CDA,CDA,1
2692085,actor,CDA,CDA,1
2692087,actor,CDA,CDA,3
2692091,actor,CDA,CDA,2
2692105,actor,CDA,CDA,1
2692130,actor,CDA,CDA,2
2692151,actor,CDA,CDA,1
2692152,actor,CDA,CDA,1
2692156,actor,CDA,CDA,2
2692252,actor,CDA,CDA,1
2693418,actor,CDA,CDA,3
2693430,actor,CDA,CDA,1
2693432,actor,CDA,CDA,1
2693434,actor,CDA,CDA,1
2693435,actor,CDA,CDA,2
2693441,actor,CDA,CDA,1
2693447,actor,CDA,CDA,1
2693454,actor,CDA,CDA,1
2693504,actor,CDA,CDA,1
2693514,actor,CDA,CDA,2
2693518,actor,CDA,CDA,1
2693523,actor,CDA,CDA,2
2693526,actor,CDA,CDA,4
2696590,actor,CDA,CDA,6
2696598,actor,CDA,CDA,2
2696599,actor,CDA,CDA,3
2696639,actor,CDA,CDA,1
2696714,actor,CDA,CDA,3
2699325,actor,CDA,CDA,2
2699332,actor,CDA,CDA,6
2699333,actor,CDA,CDA,1
2704194,actor,CDA,CDA,1
2704198,actor,CDA,CDA,1
2704204,actor,CDA,CDA,1
2704213,actor,CDA,CDA,1
2704277,actor,CDA,CDA,1
2709045,actor,CDA,CDA,1
2710333,actor,CDA,CDA,3
