mtype,id,date,publisher
Newspapers,3296733,2021-03-12,De Telegraaf
Newspapers,2764258,2021-02-13,NRC Handelsblad
Newspapers,3296738,2021-03-12,De Telegraaf
Newspapers,2756075,2021-02-03,NRC Handelsblad
Newspapers,3296767,2021-03-12,De Telegraaf
Newspapers,2756097,2021-02-04,Trouw
Newspapers,2756109,2021-02-04,Trouw
Newspapers,2764344,2021-02-13,NRC Handelsblad
Newspapers,2756161,2021-02-04,Trouw
Newspapers,2715208,2021-01-21,Trouw
Newspapers,2666063,2021-01-02,Algemeen Dagblad
Newspapers,3296846,2021-03-12,De Volkskrant
Newspapers,2715224,2021-01-21,Trouw
Newspapers,2715243,2021-01-21,Trouw
Newspapers,2666112,2021-01-02,Algemeen Dagblad
Newspapers,2715270,2021-01-21,NRC Handelsblad
Newspapers,2715275,2021-01-21,NRC Handelsblad
Newspapers,2764429,2021-02-15,De Telegraaf
Newspapers,2756242,2021-02-04,De Telegraaf
Newspapers,3296957,2021-03-12,NRC Handelsblad
Newspapers,2756325,2021-02-04,De Telegraaf
Newspapers,2756347,2021-02-04,De Telegraaf
Newspapers,2764582,2021-02-15,Algemeen Dagblad
Newspapers,2666308,2021-01-02,Trouw
Newspapers,2756446,2021-02-04,De Volkskrant
Newspapers,3297124,2021-03-13,De Telegraaf
Newspapers,2764654,2021-02-15,De Volkskrant
Newspapers,2666358,2021-01-02,Trouw
Newspapers,2764662,2021-02-15,De Volkskrant
Newspapers,2764664,2021-02-15,De Volkskrant
Newspapers,2764665,2021-02-15,De Volkskrant
Newspapers,2756510,2021-02-04,De Volkskrant
Newspapers,2756538,2021-02-04,NRC Handelsblad
Newspapers,2666427,2021-01-02,NRC Handelsblad
Newspapers,2666442,2021-01-02,NRC Handelsblad
Newspapers,2666454,2021-01-02,NRC Handelsblad
Newspapers,2715618,2021-01-22,De Volkskrant
Newspapers,2764771,2021-02-15,NRC Handelsblad
Newspapers,2756593,2021-02-04,NRC Handelsblad
Newspapers,2756597,2021-02-04,NRC Handelsblad
Newspapers,2715646,2021-01-22,De Volkskrant
Newspapers,2756789,2021-02-05,De Telegraaf
Newspapers,3297462,2021-03-13,Trouw
Newspapers,2764993,2021-02-16,De Telegraaf
Newspapers,3289283,2021-03-05,NRC Handelsblad
Newspapers,2765016,2021-02-16,De Telegraaf
Newspapers,3289339,2021-03-05,NRC Handelsblad
Newspapers,3297534,2021-03-13,Trouw
Newspapers,2756872,2021-02-05,Algemeen Dagblad
Newspapers,2756874,2021-02-05,Algemeen Dagblad
Newspapers,2756878,2021-02-05,Algemeen Dagblad
Newspapers,2732310,2021-01-25,Algemeen Dagblad
Newspapers,3289377,2021-03-06,Trouw
Newspapers,3297568,2021-03-13,Trouw
Newspapers,2756901,2021-02-05,Algemeen Dagblad
Newspapers,2756906,2021-02-05,Algemeen Dagblad
Newspapers,2715948,2021-01-12,Algemeen Dagblad
Newspapers,2765109,2021-02-16,De Volkskrant
Newspapers,2756940,2021-02-05,De Volkskrant
Newspapers,2756952,2021-02-05,De Volkskrant
Newspapers,3289443,2021-03-06,Trouw
Newspapers,2691455,2021-01-13,NRC Handelsblad
Newspapers,2691456,2021-01-13,NRC Handelsblad
Newspapers,2716033,2021-01-13,Algemeen Dagblad
Newspapers,2757010,2021-02-05,De Volkskrant
Newspapers,3297697,2021-03-13,NRC Handelsblad
Newspapers,3289539,2021-03-06,De Telegraaf
Newspapers,2765257,2021-02-17,Trouw
Newspapers,2716117,2021-01-14,Algemeen Dagblad
Newspapers,2716120,2021-01-14,Algemeen Dagblad
Newspapers,2716128,2021-01-14,Algemeen Dagblad
Newspapers,3297770,2021-03-13,NRC Handelsblad
Newspapers,2765295,2021-02-17,Trouw
Newspapers,2716183,2021-01-15,Algemeen Dagblad
Newspapers,2765339,2021-02-17,De Telegraaf
Newspapers,2716216,2021-01-15,Algemeen Dagblad
Newspapers,2716246,2021-01-15,Algemeen Dagblad
Newspapers,3297880,2021-03-15,Trouw
Newspapers,3289693,2021-03-06,Algemeen Dagblad
Newspapers,3289695,2021-03-06,Algemeen Dagblad
Newspapers,2716260,2021-01-16,Algemeen Dagblad
Newspapers,2716261,2021-01-16,Algemeen Dagblad
Newspapers,2691687,2021-01-14,De Telegraaf
Newspapers,3289703,2021-03-06,Algemeen Dagblad
Newspapers,2691692,2021-01-14,De Telegraaf
Newspapers,2691695,2021-01-14,De Telegraaf
Newspapers,3289724,2021-03-06,Algemeen Dagblad
Newspapers,2716292,2021-01-16,Algemeen Dagblad
Newspapers,2757255,2021-02-05,NRC Handelsblad
Newspapers,2757293,2021-02-05,NRC Handelsblad
Newspapers,3289831,2021-03-06,De Volkskrant
Newspapers,3289848,2021-03-06,De Volkskrant
Newspapers,3289886,2021-03-06,De Volkskrant
Newspapers,2765643,2021-02-17,De Volkskrant
Newspapers,3298135,2021-03-15,De Volkskrant
Newspapers,2675574,2021-01-07,De Telegraaf
Newspapers,2741122,2021-01-27,NRC Handelsblad
Newspapers,2716547,2021-01-22,NRC Handelsblad
Newspapers,2691979,2021-01-14,NRC Handelsblad
Newspapers,3298147,2021-03-15,De Volkskrant
Newspapers,3298188,2021-03-15,NRC Handelsblad
Newspapers,2765728,2021-02-17,NRC Handelsblad
Newspapers,2716580,2021-01-22,NRC Handelsblad
Newspapers,3290035,2021-03-06,NRC Handelsblad
Newspapers,2716598,2021-01-22,NRC Handelsblad
Newspapers,2692052,2021-01-14,NRC Handelsblad
Newspapers,2675705,2021-01-07,De Telegraaf
Newspapers,2692090,2021-01-15,De Telegraaf
Newspapers,2692130,2021-01-15,De Telegraaf
Newspapers,2675753,2021-01-07,Algemeen Dagblad
Newspapers,2675754,2021-01-07,Algemeen Dagblad
