iisID,wave,start_date,end_date,duration_min,progress,A1,A1_not,A1_vote,A2,A2_otherparty,order_A2,A3,order_A3,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,order_B2,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B3_12,B3_13,H1,H2,H7,H7a,H7b,H8,H9,H10,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I1_8,I1_9,I2_1,I2_2,I2_3,I2_4,I2_5,I2_6,I2_7,I2_8,I2_9,I2_10,I2_11,I2_12,I2_13,I2_other,I3_17,I3_1,I3_2,I3_3,I3_4,I3_5,I3_6,I3_7,I3_8,I3_9,I3_10,I3_11,I3_12,I3_13,I3_14,I3_15,I3_other,I4_1,I4_2,I4_3,I4_4,I4_5,I4_6,I4_7,I4_8,I4_15,I4_other_blogs,I4_other_sites,I5_1,I5_2,I5_3,I5_4,I5_5,I5_6,I5_7,I5_8,I5_9,I5_10,I5_11,I5_other,I6_1,I6_2,I6_3,I6_4,I6_5,I6_6,I6_other,I7_1,I7_2,I7_12,I7_3,I7_4,I7_5,I7_6,I7_7,I7_8,I7_9,I7_11,I7_other
9992,wave 1,2021-01-29T11:26:30Z,2021-01-29T11:28:31Z,2.02,100,1,NA,testdata,12,NA,10|3|13|5|7|2|11|8|12|6|4|1|9|14|15|16,2|5|0|0|0|0|0,6|2|11|7|1|12|10|3|9|5|13|4|8,2,5,0,0,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,1|8|6|7|5|12|2|13|11|4|3|10|9,999,999,999,999,999,999,999,999,999,999,999,999,999,1,2,2,4,4,Testdata,Testdata,Testdata,1,2,2,5,1,2,3,2,7,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558671,wave 1,2021-02-04T14:49:13Z,2021-02-04T15:11:05Z,21.85,100,998,NA,NA,5,NA,13|5|1|4|9|11|10|6|12|2|8|3|7|14|15|16,5|8|0|0|0|0|0,10|11|1|5|8|12|7|6|2|3|9|4|13,5,8,0,0,0,0,0,999,999,999,999,3,999,999,999,999,999,999,999,999,9|3|4|12|2|6|13|8|5|7|11|10|1,999,999,999,999,10,999,999,999,999,999,999,999,999,1,3,4,8,6,discrominatie,geen idee,geen idee,7,0,7,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558677,wave 1,2021-02-02T08:53:57Z,2021-02-02T09:25:43Z,31.75,100,1,NA,het is een recht waar ik graag gebruik van maak,999,NA,4|7|3|9|11|5|8|2|13|10|1|6|12|14|15|16,1|3|6|7|12|0|0,11|10|6|3|1|9|12|7|4|5|2|8|13,1,3,6,7,12,0,0,2,2,1,1,1,1,2,999,2,1,1,2,999,1|8|10|11|7|3|9|6|5|12|13|4|2,6,6,999,999,999,999,6,999,6,999,999,6,999,2,3,2,5,2,weet niet,weet niet,terugschroeven bezuinigingen gezondheidszorg en economie weer snel op gang,1,2,5,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geen van deze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,nee
558678,wave 1,2021-02-03T10:18:58Z,2021-02-03T10:27:55Z,8.95,100,998,NA,NA,2,NA,6|7|3|4|10|2|5|13|11|1|8|12|9|14|15|16,1|2|10|0|0|0|0,1|7|4|13|5|8|12|11|3|2|10|6|9,1,2,10,0,0,0,0,2,2,2,999,999,2,2,999,2,1,2,3,999,8|2|5|6|9|11|7|13|12|3|1|4|10,7,9,4,999,999,5,4,999,5,999,5,6,999,2,2,1,3,3,strijd voor vrijheid,weet ik niet,meer verdraagzaamheid,7,6,0,1,4,0,1,4,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
558688,wave 1,2021-02-02T19:49:35Z,2021-02-02T19:57:14Z,7.65,100,1,NA,Het is een recht en plicht om dit te doen Vind ik heel belangrijk dat ik een stem heb,2,NA,10|2|4|6|9|11|3|5|12|1|13|7|8|14|15|16,1|2|10|12|0|0|0,7|4|10|13|9|12|5|2|8|1|6|11|3,1,2,10,12,0,0,0,999,999,999,999,999,999,999,999,999,999,999,3,999,9|11|13|6|5|2|10|12|8|1|3|4|7,999,999,999,999,999,999,999,999,999,999,999,7,999,3,2,3,0,3,Uitvinding van elektriciteit,Willem van Oranje,Meer tolerantie,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558689,wave 1,2021-02-02T22:19:24Z,2021-02-02T22:26:52Z,7.45,100,1,NA,Omdat je je stem moet laten horen,999,NA,4|9|8|11|5|10|1|2|6|7|3|12|13|14|15|16,1|3|9|11|12|0|0,1|2|6|10|5|8|4|3|9|11|12|13|7,1,3,9,11,12,0,0,2,1,2,1,2,2,2,1,1,1,2,3,2,7|3|11|12|1|5|8|10|4|6|9|2|13,7,999,7,999,2,7,7,999,999,999,8,7,7,2,2,2,6,7,De strijd tegen het water,Willem Drees,Voor iedereen een aangenaam leven,3,5,1,4,6,2,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,BD,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Geen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Geen
558719,wave 1,2021-02-03T21:22:30Z,2021-02-03T21:35:58Z,13.45,100,1,NA,heel belangrijk nu  weg met de VVd,7,NA,5|3|6|10|12|7|9|8|4|13|1|2|11|14|15|16,6|11|0|0|0|0|0,1|8|10|12|7|11|3|13|6|5|2|9|4,6,11,0,0,0,0,0,1,1,1,999,999,2,3,2,1,2,2,3,1,6|4|9|7|8|3|5|10|2|1|13|12|11,999,999,999,999,999,6,7,5,999,4,9,0,999,1,1,1,1,0,vernielingen met geweld,niemand  gaat niet meer om de mens,nadenkende mensen die leiding geven         vrij zijn,5,0,0,0,2,0,2,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,voetbal wedstrijd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,geen
558720,wave 1,2021-02-02T12:50:25Z,2021-02-02T13:00:48Z,10.37,100,1,NA,rutte moet weg,9,NA,13|4|7|1|6|2|10|12|11|9|5|8|3|14|15|16,5|9|0|0|0|0|0,9|7|12|13|3|10|11|6|1|4|8|5|2,5,9,0,0,0,0,0,2,999,1,999,2,2,2,999,2,999,2,3,999,2|5|13|1|11|7|6|8|4|12|3|9|10,6,999,999,999,9,2,5,999,9,999,6,1,999,2,3,3,5,5,corona,pim fortuin,pvv of fvd aan de macht,1,0,0,0,7,7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558721,wave 1,2021-02-02T12:51:51Z,2021-02-02T12:58:51Z,7,100,1,NA,anders krijg een ander partij mijn stem,11,NA,3|5|9|2|10|6|1|8|13|12|7|11|4|14|15|16,7|8|11|0|0|0|0,13|11|9|4|3|8|5|12|6|10|2|7|1,7,8,11,0,0,0,0,2,1,2,1,2,2,2,2,2,1,2,2,2,10|2|9|5|12|8|4|13|3|1|11|6|7,7,999,4,999,2,4,6,7,5,999,8,4,5,2,3,3,7,5,dat de oranje voor antwoordelijk zijn op de moord van de famielie de witt,de ruyter,dat de ornaje moder geld krijgen,4,6,4,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558722,wave 1,2021-02-02T17:47:14Z,2021-02-04T17:35:07Z,2867.87,100,1,NA,ik vindt het belangrijk om van mijn stemrecht gebruik te maken,1,NA,2|9|12|11|8|3|5|7|10|4|1|13|6|14|15|16,1|2|12|0|0|0|0,13|4|7|12|2|11|9|10|1|8|5|6|3,1,2,12,0,0,0,0,2,2,2,999,2,2,3,999,2,1,2,3,1,12|4|5|3|10|6|2|13|8|9|1|7|11,9,9,9,999,0,1,8,999,5,999,0,10,999,1,3,1,0,0,oorlog,Hans Wiegel,goede economie,5,6,1,5,0,4,0,0,3,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,nee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
