"name","platform","day_only","variable","value"
"Annabel Nanninga
(JA21)","Twitter",2021-01-03,"Number of Messages",4
"Annabel Nanninga
(JA21)","Twitter",2021-01-04,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-05,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-06,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-07,"Number of Messages",8
"Annabel Nanninga
(JA21)","Twitter",2021-01-08,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-09,"Number of Messages",7
"Annabel Nanninga
(JA21)","Twitter",2021-01-10,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-11,"Number of Messages",4
"Annabel Nanninga
(JA21)","Twitter",2021-01-12,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-13,"Number of Messages",3
"Annabel Nanninga
(JA21)","Twitter",2021-01-14,"Number of Messages",2
"Annabel Nanninga
(JA21)","Twitter",2021-01-15,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-16,"Number of Messages",3
"Annabel Nanninga
(JA21)","Twitter",2021-01-17,"Number of Messages",18
"Annabel Nanninga
(JA21)","Twitter",2021-01-18,"Number of Messages",17
"Annabel Nanninga
(JA21)","Twitter",2021-01-19,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-21,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-22,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-24,"Number of Messages",7
"Annabel Nanninga
(JA21)","Twitter",2021-01-25,"Number of Messages",7
"Annabel Nanninga
(JA21)","Twitter",2021-01-26,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-27,"Number of Messages",3
"Annabel Nanninga
(JA21)","Twitter",2021-01-28,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-01-29,"Number of Messages",5
"Annabel Nanninga
(JA21)","Twitter",2021-01-30,"Number of Messages",3
"Annabel Nanninga
(JA21)","Twitter",2021-01-31,"Number of Messages",1
"Annabel Nanninga
(JA21)","Twitter",2021-02-01,"Number of Messages",3
