"name_label","date","platform","dif","final_label"
"Mark Rutte (VVD)",2021-01-01,"facebook",0,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-02,"facebook",0.05,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-03,"facebook",0.1,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-04,"facebook",0.15,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-05,"facebook",0.2,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-06,"facebook",0.25,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-07,"facebook",0.3,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-08,"facebook",0.35,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-09,"facebook",0.43,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-10,"facebook",0.53,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-11,"facebook",0.64,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-12,"facebook",0.74,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-13,"facebook",0.86,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-14,"facebook",1.04,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-15,"facebook",1.21,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-16,"facebook",1.26,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-17,"facebook",1.4,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-18,"facebook",1.54,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-19,"facebook",1.69,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-20,"facebook",1.83,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-21,"facebook",1.97,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-22,"facebook",2.2,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-23,"facebook",2.41,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-24,"facebook",2.56,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-25,"facebook",2.71,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-26,"facebook",2.86,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-27,"facebook",3.05,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-28,"facebook",3.35,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-29,"facebook",3.61,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-30,"facebook",3.71,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-01-31,"facebook",3.86,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-01,"facebook",4.61,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-02,"facebook",5.36,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-03,"facebook",6.07,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-04,"facebook",6.44,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-05,"facebook",6.6,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-06,"facebook",6.71,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-07,"facebook",6.82,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-08,"facebook",6.9,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-09,"facebook",6.95,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-10,"facebook",7,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-11,"facebook",7.07,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-12,"facebook",7.16,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-13,"facebook",7.25,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-14,"facebook",7.29,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Mark Rutte (VVD)",2021-02-15,"facebook",7.33,"Mark Rutte (VVD): 177,772 to 190,806 (+7%)"
"Farid Azarkan (DENK)",2021-01-01,"facebook",0,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-02,"facebook",0.07,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-03,"facebook",0.14,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-04,"facebook",0.2,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-05,"facebook",0.27,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-06,"facebook",0.27,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-07,"facebook",0.28,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-08,"facebook",0.27,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-09,"facebook",0.26,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-10,"facebook",0.26,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-11,"facebook",0.25,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-12,"facebook",0.3,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-13,"facebook",0.32,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-14,"facebook",0.32,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-15,"facebook",0.39,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-16,"facebook",0.51,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-17,"facebook",0.64,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-18,"facebook",0.76,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-19,"facebook",0.91,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-20,"facebook",1.24,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-22,"facebook",1.87,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-23,"facebook",2.16,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-24,"facebook",2.37,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-25,"facebook",2.59,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-26,"facebook",2.71,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-27,"facebook",2.8,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-29,"facebook",2.95,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-30,"facebook",3.01,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-31,"facebook",3.08,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-02,"facebook",3.2,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-03,"facebook",3.25,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-04,"facebook",3.43,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-05,"facebook",3.61,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-06,"facebook",3.71,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
