"date","instagram","diff","name_label","final_label"
2021-01-01,"minpres",0,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-02,"minpres",0.18,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-03,"minpres",0.36,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-04,"minpres",0.54,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-05,"minpres",0.72,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-06,"minpres",0.9,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-07,"minpres",1.08,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-08,"minpres",1.26,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-09,"minpres",1.44,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-10,"minpres",1.62,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-11,"minpres",1.8,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-12,"minpres",1.98,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-13,"minpres",2.16,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-14,"minpres",2.31,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-15,"minpres",2.45,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-16,"minpres",2.56,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-17,"minpres",2.82,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-18,"minpres",3.19,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-19,"minpres",3.56,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-20,"minpres",3.93,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-21,"minpres",4.3,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-22,"minpres",4.66,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-23,"minpres",4.94,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-24,"minpres",5.17,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-25,"minpres",5.4,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-26,"minpres",5.62,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-27,"minpres",5.85,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-28,"minpres",6.29,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-29,"minpres",6.84,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-30,"minpres",7.22,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-01-31,"minpres",7.37,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-01,"minpres",7.47,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-02,"minpres",7.58,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-03,"minpres",7.7,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-04,"minpres",7.79,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-05,"minpres",7.85,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-06,"minpres",7.96,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
2021-02-07,"minpres",8.07,"Mark Rutte (VVD)","Mark Rutte (VVD): 329,704 to 363,097 (+10%)"
