"name_label","date","twitter_diff","final_label"
"Mark Rutte (VVD)",2021-01-21,0,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-22,0.09,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-23,0.19,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-24,0.28,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-25,0.37,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-26,0.47,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-27,0.56,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-28,0.66,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-29,0.75,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-30,0.85,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-01-31,0.95,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-01,1.06,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-02,1.16,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-03,1.27,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-04,1.35,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-05,1.36,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-06,1.37,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-07,1.38,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-08,1.39,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-09,1.4,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-10,1.41,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-11,1.42,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-12,1.43,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-13,1.48,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-14,1.57,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
"Mark Rutte (VVD)",2021-02-15,1.65,"Mark Rutte (VVD): 1,175,093 to 1,195,068 (+2%)"
