"name","platform","followers"
"Geert Wilders (PVV)","Twitter",843332
"Geert Wilders (PVV)","Facebook",428258
"Jesse Klaver (GL)","Twitter",275721
"Thierry Baudet (FvD)","Twitter",243590
"Geert Wilders (PVV)","Instagram",169744
"Mark Rutte (VVD)","Twitter",134944
"Jesse Klaver (GL)","Facebook",127774
"Thierry Baudet (FvD)","Instagram",117436
"Mark Rutte (VVD)","Instagram",96199
"Thierry Baudet (FvD)","Facebook",92933
"Kees van der Staaij (SGP)","Twitter",85366
"Mark Rutte (VVD)","Facebook",81741
"Lilian Marijnissen (SP)","Facebook",81275
"Jesse Klaver (GL)","Instagram",71689
"Sigird Kaag (D66)","Twitter",57318
"Gert-Jan Segers (CU)","Twitter",54897
"Lilian Marijnissen (SP)","Twitter",43122
"Wopke Hoekstra (CDA )","Twitter",38188
"Gert-Jan Segers (CU)","Facebook",36214
"Sigird Kaag (D66)","Instagram",31309
"Esther Ouwehand (PvdD)","Twitter",30209
"Farid Azarkan (DENK)","Facebook",27449
"Lilianne Ploumen (PvdA)","Facebook",22209
"Kees van der Staaij (SGP)","Facebook",22011
"Wopke Hoekstra (CDA )","Instagram",17596
"Lilian Marijnissen (SP)","Instagram",15945
"Gert-Jan Segers (CU)","Instagram",15325
"Kees van der Staaij (SGP)","Instagram",14084
"Farid Azarkan (DENK)","Twitter",13055
"Lilianne Ploumen (PvdA)","Twitter",10899
"Lilianne Ploumen (PvdA)","Instagram",10316
"Esther Ouwehand (PvdD)","Instagram",6834
"Esther Ouwehand (PvdD)","Facebook",5858
"Wopke Hoekstra (CDA )","Facebook",4718
"Farid Azarkan (DENK)","Instagram",3650
"Sigird Kaag (D66)","Facebook",3255
"Liane den Haan (50PLUS)","Twitter",2828
"Liane den Haan (50PLUS)","Facebook",1916
"Liane den Haan (50PLUS)","Instagram",389
"Mark Rutte (PM account)","Twitter",1171913
"Mark Rutte (PM account)","Facebook",190806
"Mark Rutte (PM account)","Instagram",363097
