"name_a","name_b","share","pair"
"Mark Rutte (VVD)","Farid Azarkan (DENK)",2,"Farid Azarkan (DENK)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Thierry Baudet (FvD)",18,"Mark Rutte (VVD)&Thierry Baudet (FvD)"
"Mark Rutte (VVD)","Jesse Klaver (GL)",20,"Jesse Klaver (GL)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Lilian Marijnissen (SP)",7,"Lilian Marijnissen (SP)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Esther Ouwehand (PvdD)",4,"Esther Ouwehand (PvdD)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Gert-Jan Segers (CU)",9,"Gert-Jan Segers (CU)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Kees van der Staaij (SGP)",11,"Kees van der Staaij (SGP)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Sigird Kaag (D66)",8,"Mark Rutte (VVD)&Sigird Kaag (D66)"
"Mark Rutte (VVD)","Liane den Haan (50PLUS)",0,"Liane den Haan (50PLUS)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Wopke Hoekstra (CDA)",8,"Mark Rutte (VVD)&Wopke Hoekstra (CDA)"
"Mark Rutte (VVD)","Lilianne Ploumen (PvdA)",2,"Lilianne Ploumen (PvdA)&Mark Rutte (VVD)"
"Mark Rutte (VVD)","Geert Wilders (PVV)",36,"Geert Wilders (PVV)&Mark Rutte (VVD)"
"Farid Azarkan (DENK)","Mark Rutte (VVD)",22,"Farid Azarkan (DENK)&Mark Rutte (VVD)"
"Farid Azarkan (DENK)","Thierry Baudet (FvD)",39,"Farid Azarkan (DENK)&Thierry Baudet (FvD)"
"Farid Azarkan (DENK)","Jesse Klaver (GL)",44,"Farid Azarkan (DENK)&Jesse Klaver (GL)"
"Farid Azarkan (DENK)","Lilian Marijnissen (SP)",26,"Farid Azarkan (DENK)&Lilian Marijnissen (SP)"
"Farid Azarkan (DENK)","Esther Ouwehand (PvdD)",15,"Esther Ouwehand (PvdD)&Farid Azarkan (DENK)"
"Farid Azarkan (DENK)","Gert-Jan Segers (CU)",28,"Farid Azarkan (DENK)&Gert-Jan Segers (CU)"
"Farid Azarkan (DENK)","Kees van der Staaij (SGP)",27,"Farid Azarkan (DENK)&Kees van der Staaij (SGP)"
"Farid Azarkan (DENK)","Sigird Kaag (D66)",24,"Farid Azarkan (DENK)&Sigird Kaag (D66)"
"Farid Azarkan (DENK)","Liane den Haan (50PLUS)",1,"Farid Azarkan (DENK)&Liane den Haan (50PLUS)"
"Farid Azarkan (DENK)","Wopke Hoekstra (CDA)",18,"Farid Azarkan (DENK)&Wopke Hoekstra (CDA)"
"Farid Azarkan (DENK)","Lilianne Ploumen (PvdA)",7,"Farid Azarkan (DENK)&Lilianne Ploumen (PvdA)"
"Farid Azarkan (DENK)","Geert Wilders (PVV)",39,"Farid Azarkan (DENK)&Geert Wilders (PVV)"
"Thierry Baudet (FvD)","Mark Rutte (VVD)",10,"Mark Rutte (VVD)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Farid Azarkan (DENK)",2,"Farid Azarkan (DENK)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Jesse Klaver (GL)",43,"Jesse Klaver (GL)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Lilian Marijnissen (SP)",8,"Lilian Marijnissen (SP)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Esther Ouwehand (PvdD)",3,"Esther Ouwehand (PvdD)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Gert-Jan Segers (CU)",9,"Gert-Jan Segers (CU)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Kees van der Staaij (SGP)",13,"Kees van der Staaij (SGP)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Sigird Kaag (D66)",6,"Sigird Kaag (D66)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Liane den Haan (50PLUS)",0,"Liane den Haan (50PLUS)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Wopke Hoekstra (CDA)",6,"Thierry Baudet (FvD)&Wopke Hoekstra (CDA)"
"Thierry Baudet (FvD)","Lilianne Ploumen (PvdA)",1,"Lilianne Ploumen (PvdA)&Thierry Baudet (FvD)"
"Thierry Baudet (FvD)","Geert Wilders (PVV)",53,"Geert Wilders (PVV)&Thierry Baudet (FvD)"
"Jesse Klaver (GL)","Mark Rutte (VVD)",10,"Jesse Klaver (GL)&Mark Rutte (VVD)"
"Jesse Klaver (GL)","Farid Azarkan (DENK)",2,"Farid Azarkan (DENK)&Jesse Klaver (GL)"
"Jesse Klaver (GL)","Thierry Baudet (FvD)",38,"Jesse Klaver (GL)&Thierry Baudet (FvD)"
"Jesse Klaver (GL)","Lilian Marijnissen (SP)",8,"Jesse Klaver (GL)&Lilian Marijnissen (SP)"
"Jesse Klaver (GL)","Esther Ouwehand (PvdD)",5,"Esther Ouwehand (PvdD)&Jesse Klaver (GL)"
"Jesse Klaver (GL)","Gert-Jan Segers (CU)",10,"Gert-Jan Segers (CU)&Jesse Klaver (GL)"
"Jesse Klaver (GL)","Kees van der Staaij (SGP)",15,"Jesse Klaver (GL)&Kees van der Staaij (SGP)"
"Jesse Klaver (GL)","Sigird Kaag (D66)",8,"Jesse Klaver (GL)&Sigird Kaag (D66)"
"Jesse Klaver (GL)","Liane den Haan (50PLUS)",0,"Jesse Klaver (GL)&Liane den Haan (50PLUS)"
"Jesse Klaver (GL)","Wopke Hoekstra (CDA)",5,"Jesse Klaver (GL)&Wopke Hoekstra (CDA)"
"Jesse Klaver (GL)","Lilianne Ploumen (PvdA)",2,"Jesse Klaver (GL)&Lilianne Ploumen (PvdA)"
"Jesse Klaver (GL)","Geert Wilders (PVV)",43,"Geert Wilders (PVV)&Jesse Klaver (GL)"
"Lilian Marijnissen (SP)","Mark Rutte (VVD)",22,"Lilian Marijnissen (SP)&Mark Rutte (VVD)"
"Lilian Marijnissen (SP)","Farid Azarkan (DENK)",8,"Farid Azarkan (DENK)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Thierry Baudet (FvD)",44,"Lilian Marijnissen (SP)&Thierry Baudet (FvD)"
"Lilian Marijnissen (SP)","Jesse Klaver (GL)",51,"Jesse Klaver (GL)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Esther Ouwehand (PvdD)",17,"Esther Ouwehand (PvdD)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Gert-Jan Segers (CU)",30,"Gert-Jan Segers (CU)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Kees van der Staaij (SGP)",27,"Kees van der Staaij (SGP)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Sigird Kaag (D66)",22,"Lilian Marijnissen (SP)&Sigird Kaag (D66)"
"Lilian Marijnissen (SP)","Liane den Haan (50PLUS)",2,"Liane den Haan (50PLUS)&Lilian Marijnissen (SP)"
"Lilian Marijnissen (SP)","Wopke Hoekstra (CDA)",18,"Lilian Marijnissen (SP)&Wopke Hoekstra (CDA)"
"Lilian Marijnissen (SP)","Lilianne Ploumen (PvdA)",6,"Lilian Marijnissen (SP)&Lilianne Ploumen (PvdA)"
