"day_only","platform","cum_messages","person","type"
2020-08-14,"Facebook",0,"Geert Wilders (PVV)","Number of Messages"
2020-08-15,"Facebook",6,"Geert Wilders (PVV)","Number of Messages"
2020-08-16,"Facebook",7,"Geert Wilders (PVV)","Number of Messages"
2020-08-17,"Facebook",10,"Geert Wilders (PVV)","Number of Messages"
2020-08-18,"Facebook",11,"Geert Wilders (PVV)","Number of Messages"
2020-08-19,"Facebook",20,"Geert Wilders (PVV)","Number of Messages"
2020-08-20,"Facebook",21,"Geert Wilders (PVV)","Number of Messages"
2020-08-21,"Facebook",23,"Geert Wilders (PVV)","Number of Messages"
2020-08-22,"Facebook",24,"Geert Wilders (PVV)","Number of Messages"
2020-08-23,"Facebook",26,"Geert Wilders (PVV)","Number of Messages"
2020-08-24,"Facebook",29,"Geert Wilders (PVV)","Number of Messages"
2020-08-25,"Facebook",30,"Geert Wilders (PVV)","Number of Messages"
2020-08-26,"Facebook",31,"Geert Wilders (PVV)","Number of Messages"
2020-08-27,"Facebook",32,"Geert Wilders (PVV)","Number of Messages"
2020-08-28,"Facebook",36,"Geert Wilders (PVV)","Number of Messages"
2020-08-29,"Facebook",36,"Geert Wilders (PVV)","Number of Messages"
2020-08-30,"Facebook",38,"Geert Wilders (PVV)","Number of Messages"
2020-08-31,"Facebook",41,"Geert Wilders (PVV)","Number of Messages"
2020-09-01,"Facebook",44,"Geert Wilders (PVV)","Number of Messages"
2020-09-02,"Facebook",51,"Geert Wilders (PVV)","Number of Messages"
2020-09-03,"Facebook",54,"Geert Wilders (PVV)","Number of Messages"
2020-09-04,"Facebook",60,"Geert Wilders (PVV)","Number of Messages"
2020-09-05,"Facebook",60,"Geert Wilders (PVV)","Number of Messages"
2020-09-06,"Facebook",62,"Geert Wilders (PVV)","Number of Messages"
2020-09-07,"Facebook",64,"Geert Wilders (PVV)","Number of Messages"
2020-09-08,"Facebook",68,"Geert Wilders (PVV)","Number of Messages"
2020-09-09,"Facebook",74,"Geert Wilders (PVV)","Number of Messages"
2020-09-10,"Facebook",76,"Geert Wilders (PVV)","Number of Messages"
2020-09-11,"Facebook",80,"Geert Wilders (PVV)","Number of Messages"
2020-09-12,"Facebook",82,"Geert Wilders (PVV)","Number of Messages"
2020-09-13,"Facebook",83,"Geert Wilders (PVV)","Number of Messages"
2020-09-14,"Facebook",85,"Geert Wilders (PVV)","Number of Messages"
2020-09-15,"Facebook",90,"Geert Wilders (PVV)","Number of Messages"
2020-09-16,"Facebook",96,"Geert Wilders (PVV)","Number of Messages"
2020-09-17,"Facebook",104,"Geert Wilders (PVV)","Number of Messages"
2020-09-18,"Facebook",113,"Geert Wilders (PVV)","Number of Messages"
2020-09-19,"Facebook",116,"Geert Wilders (PVV)","Number of Messages"
2020-09-20,"Facebook",117,"Geert Wilders (PVV)","Number of Messages"
2020-09-21,"Facebook",121,"Geert Wilders (PVV)","Number of Messages"
2020-09-22,"Facebook",126,"Geert Wilders (PVV)","Number of Messages"
2020-09-23,"Facebook",129,"Geert Wilders (PVV)","Number of Messages"
2020-09-24,"Facebook",133,"Geert Wilders (PVV)","Number of Messages"
2020-09-25,"Facebook",135,"Geert Wilders (PVV)","Number of Messages"
2020-09-26,"Facebook",136,"Geert Wilders (PVV)","Number of Messages"
2020-09-27,"Facebook",138,"Geert Wilders (PVV)","Number of Messages"
2020-09-28,"Facebook",141,"Geert Wilders (PVV)","Number of Messages"
2020-09-29,"Facebook",144,"Geert Wilders (PVV)","Number of Messages"
2020-09-30,"Facebook",150,"Geert Wilders (PVV)","Number of Messages"
2020-10-01,"Facebook",152,"Geert Wilders (PVV)","Number of Messages"
2020-10-02,"Facebook",154,"Geert Wilders (PVV)","Number of Messages"
2020-10-03,"Facebook",158,"Geert Wilders (PVV)","Number of Messages"
2020-10-04,"Facebook",159,"Geert Wilders (PVV)","Number of Messages"
2020-10-05,"Facebook",164,"Geert Wilders (PVV)","Number of Messages"
2020-10-06,"Facebook",167,"Geert Wilders (PVV)","Number of Messages"
2020-10-07,"Facebook",172,"Geert Wilders (PVV)","Number of Messages"
2020-10-08,"Facebook",175,"Geert Wilders (PVV)","Number of Messages"
2020-10-09,"Facebook",179,"Geert Wilders (PVV)","Number of Messages"
2020-10-10,"Facebook",180,"Geert Wilders (PVV)","Number of Messages"
2020-10-11,"Facebook",185,"Geert Wilders (PVV)","Number of Messages"
2020-10-12,"Facebook",187,"Geert Wilders (PVV)","Number of Messages"
2020-10-13,"Facebook",190,"Geert Wilders (PVV)","Number of Messages"
2020-10-14,"Facebook",198,"Geert Wilders (PVV)","Number of Messages"
2020-10-15,"Facebook",201,"Geert Wilders (PVV)","Number of Messages"
2020-10-16,"Facebook",204,"Geert Wilders (PVV)","Number of Messages"
2020-10-17,"Facebook",205,"Geert Wilders (PVV)","Number of Messages"
2020-10-18,"Facebook",209,"Geert Wilders (PVV)","Number of Messages"
2020-10-19,"Facebook",213,"Geert Wilders (PVV)","Number of Messages"
2020-10-20,"Facebook",215,"Geert Wilders (PVV)","Number of Messages"
2020-10-21,"Facebook",220,"Geert Wilders (PVV)","Number of Messages"
2020-10-22,"Facebook",225,"Geert Wilders (PVV)","Number of Messages"
2020-10-23,"Facebook",230,"Geert Wilders (PVV)","Number of Messages"
2020-10-24,"Facebook",231,"Geert Wilders (PVV)","Number of Messages"
2020-10-25,"Facebook",236,"Geert Wilders (PVV)","Number of Messages"
2020-10-26,"Facebook",238,"Geert Wilders (PVV)","Number of Messages"
2020-10-27,"Facebook",245,"Geert Wilders (PVV)","Number of Messages"
2020-10-28,"Facebook",253,"Geert Wilders (PVV)","Number of Messages"
2020-10-29,"Facebook",256,"Geert Wilders (PVV)","Number of Messages"
2020-10-30,"Facebook",259,"Geert Wilders (PVV)","Number of Messages"
2020-10-31,"Facebook",262,"Geert Wilders (PVV)","Number of Messages"
2020-11-01,"Facebook",266,"Geert Wilders (PVV)","Number of Messages"
2020-11-02,"Facebook",274,"Geert Wilders (PVV)","Number of Messages"
2020-11-03,"Facebook",282,"Geert Wilders (PVV)","Number of Messages"
2020-11-04,"Facebook",291,"Geert Wilders (PVV)","Number of Messages"
2020-11-05,"Facebook",298,"Geert Wilders (PVV)","Number of Messages"
2020-11-06,"Facebook",299,"Geert Wilders (PVV)","Number of Messages"
2020-11-07,"Facebook",301,"Geert Wilders (PVV)","Number of Messages"
2020-11-08,"Facebook",304,"Geert Wilders (PVV)","Number of Messages"
2020-11-09,"Facebook",307,"Geert Wilders (PVV)","Number of Messages"
2020-11-10,"Facebook",313,"Geert Wilders (PVV)","Number of Messages"
2020-11-11,"Facebook",317,"Geert Wilders (PVV)","Number of Messages"
2020-11-12,"Facebook",325,"Geert Wilders (PVV)","Number of Messages"
2020-11-13,"Facebook",331,"Geert Wilders (PVV)","Number of Messages"
2020-11-14,"Facebook",333,"Geert Wilders (PVV)","Number of Messages"
2020-11-15,"Facebook",338,"Geert Wilders (PVV)","Number of Messages"
2020-11-16,"Facebook",339,"Geert Wilders (PVV)","Number of Messages"
2020-11-17,"Facebook",342,"Geert Wilders (PVV)","Number of Messages"
2020-11-18,"Facebook",350,"Geert Wilders (PVV)","Number of Messages"
2020-11-19,"Facebook",353,"Geert Wilders (PVV)","Number of Messages"
2020-11-20,"Facebook",353,"Geert Wilders (PVV)","Number of Messages"
2020-11-21,"Facebook",356,"Geert Wilders (PVV)","Number of Messages"
2020-11-22,"Facebook",358,"Geert Wilders (PVV)","Number of Messages"
2020-11-23,"Facebook",361,"Geert Wilders (PVV)","Number of Messages"
2020-11-24,"Facebook",363,"Geert Wilders (PVV)","Number of Messages"
