"person","platform","item","lwr","pe","upr"
"Geert Wilders
(PVV)","Facebook","Number of Likes
(per post)",2821.81703969873,2999.83333333333,3177.84962696794
"Geert Wilders
(PVV)","Facebook","Number of Shares
(per post)",548.556054081909,617.605654761905,686.655255441901
"Geert Wilders
(PVV)","Instagram","Number of Likes
(per post)",6979.45871566236,7555.47682119205,8131.49492672175
"Geert Wilders
(PVV)","Instagram","Number of Shares
(per post)",NA,NA,NA
"Geert Wilders
(PVV)","Twitter","Number of Likes
(per post)",1951.86611435115,2048.19054054054,2144.51496672994
"Geert Wilders
(PVV)","Twitter","Number of Shares
(per post)",449.550137820547,474.360810810811,499.171483801075
"Jesse Klaver
(GL)","Facebook","Number of Likes
(per post)",688.871587662308,792.244444444444,895.617301226581
"Jesse Klaver
(GL)","Facebook","Number of Shares
(per post)",81.3180063408062,115.288888888889,149.259771436972
"Jesse Klaver
(GL)","Instagram","Number of Likes
(per post)",3403.33618105126,4057.34482758621,4711.35347412116
"Jesse Klaver
(GL)","Instagram","Number of Shares
(per post)",NA,NA,NA
"Jesse Klaver
(GL)","Twitter","Number of Likes
(per post)",300.132843274658,347.360128617363,394.587413960069
"Jesse Klaver
(GL)","Twitter","Number of Shares
(per post)",54.8579402760665,62.8038585209003,70.7497767657342
"Mark Rutte
(VVD)","Facebook","Number of Likes
(per post)",886.54902678275,1014.4,1142.25097321725
"Mark Rutte
(VVD)","Facebook","Number of Shares
(per post)",157.608665169805,184.161290322581,210.713915475356
"Mark Rutte
(VVD)","Instagram","Number of Likes
(per post)",7953.67511405805,9289.95454545455,10626.233976851
"Mark Rutte
(VVD)","Instagram","Number of Shares
(per post)",NA,NA,NA
"Mark Rutte
(VVD)","Twitter","Number of Likes
(per post)",394.998216154185,584.680216802168,774.362217450151
"Mark Rutte
(VVD)","Twitter","Number of Shares
(per post)",52.0840978636473,83.1192411924119,114.154384521177
"Thierry Baudet
(FvD)","Facebook","Number of Likes
(per post)",1558.11763999949,1725.48089171975,1892.84414344
"Thierry Baudet
(FvD)","Facebook","Number of Shares
(per post)",284.668579405529,376.292993630573,467.917407855618
"Thierry Baudet
(FvD)","Instagram","Number of Likes
(per post)",5711.79530361459,6227.17924528302,6742.56318695145
"Thierry Baudet
(FvD)","Instagram","Number of Shares
(per post)",NA,NA,NA
"Thierry Baudet
(FvD)","Twitter","Number of Likes
(per post)",928.248806384757,988.546853146853,1048.84489990895
"Thierry Baudet
(FvD)","Twitter","Number of Shares
(per post)",220.695235543882,237.075524475524,253.455813407167
