"term","platform","pe","lwr","upr"
"campagne","Twitter",197.714285714286,135.045528063339,260.383043365233
"campagne","Facebook",176.8,87.417084144752,266.182915855248
"jaar","Twitter",231.157894736842,179.489529632475,282.826259841209
"jaar","Facebook",307.810810810811,159.851899412153,455.769722209469
"nl","Twitter",242.575,188.467332635918,296.682667364082
"nl","Facebook",403.061224489796,272.785676126707,533.336772852885
"immigratie","Twitter",256.114285714286,183.625025310432,328.603546118139
"immigratie","Facebook",251.782608695652,145.669682735929,357.895534655376
"eu","Twitter",258.323170731707,227.267450123496,289.378891339919
"eu","Facebook",437.516129032258,308.519086808573,566.513171255943
"rutte","Twitter",270.972972972973,156.911773930922,385.034172015024
"rutte","Facebook",657.466666666667,79.1207318884033,1235.81260144493
"nederland","Twitter",275.592105263158,229.160457930913,322.023752595403
"nederland","Facebook",373.942307692308,216.944715131478,530.939900253138
"kamer","Twitter",281.868421052632,204.181143050957,359.555699054306
"kamer","Facebook",436.294117647059,95.6833396085679,776.90489568555
"vvd","Twitter",283.92,197.448075355097,370.391924644903
"vvd","Facebook",319.714285714286,167.045773059418,472.382798369153
"steun","Twitter",296.451612903226,243.394613767011,349.50861203944
"steun","Facebook",479.021739130435,276.392416487684,681.651061773186
"land","Twitter",299.733333333333,259.627399880755,339.839266785912
"land","Facebook",639.44578313253,359.325950990302,919.565615274758
"maart","Twitter",301.533333333333,252.821826951029,350.244839715638
"maart","Facebook",656.782608695652,212.811858515053,1100.75335887625
"stem","Twitter",307.9,242.069264294595,373.730735705405
"stem","Facebook",585.1,360.409170823414,809.790829176586
"terug","Twitter",314.179487179487,226.670625029745,401.688349329229
"terug","Facebook",641.5,340.18206627003,942.81793372997
"vrijheid","Twitter",318.944444444444,259.777416239768,378.111472649121
"vrijheid","Facebook",714.727272727273,520.812471565008,908.642073889538
"weer","Twitter",319.137931034483,260.333053173596,377.94280889537
"weer","Facebook",657.605263157895,425.975962110241,889.234564205548
"kabinet","Twitter",339.666666666667,240.715564249963,438.61776908337
"kabinet","Facebook",894.142857142857,256.993873414174,1531.29184087154
"lockdown","Twitter",349.183673469388,292.020150088683,406.347196850092
"lockdown","Facebook",894.473684210526,564.630709355666,1224.31665906539
"mensen","Twitter",385.269230769231,262.616647084609,507.921814453853
"mensen","Facebook",643.48275862069,306.286458345746,980.679058895633
"corona","Twitter",388.710144927536,319.445818096523,457.97447175855
"corona","Facebook",1109.2,476.961306789831,1741.43869321017
