"term","platform","pe","lwr","upr"
"zorgmedewerkers","Twitter",365.869565217391,266.938608186442,464.800522248341
"zorgmedewerkers","Facebook",1164.31818181818,67.980152250127,2260.65621138624
"motie","Twitter",389,290.248053838567,487.751946161433
"motie","Facebook",581.722222222222,324.41725120069,839.027193243754
"zorg","Twitter",416.709677419355,367.923304294117,465.496050544593
"zorg","Facebook",891.547619047619,511.58069727444,1271.5145408208
"kabinet","Twitter",424,347.725858333128,500.274141666872
"kabinet","Facebook",726.1,441.344243742982,1010.85575625702
"kamer","Twitter",457.118421052632,388.685664366466,525.551177738797
"kamer","Facebook",743.188405797101,426.281884646874,1060.09492694733
"nooit","Twitter",464.409090909091,370.656605961491,558.161575856691
"nooit","Facebook",521.722222222222,336.834659751223,706.609784693221
"weer","Twitter",477.279069767442,398.789547307395,555.768592227489
"weer","Facebook",746.642857142857,517.302714080402,975.983000205312
"mensen","Twitter",481.283582089552,420.75094766954,541.816216509565
"mensen","Facebook",711.016129032258,584.360668562266,837.67158950225
"week","Twitter",514,387.232767242844,640.767232757156
"week","Facebook",415.36,276.078554218642,554.641445781358
"land","Twitter",514.227513227513,468.277451060819,560.177575394207
"land","Facebook",752.543352601156,599.653213534588,905.433491667724
"nederland","Twitter",522.933333333333,468.460065312406,577.40660135426
"nederland","Facebook",716.861111111111,563.458144641794,870.264077580428
"vvd","Twitter",538.138888888889,446.85408686084,629.423690916938
"vvd","Facebook",912.848484848485,467.783359508787,1357.91361018818
"jonge","Twitter",540.285714285714,368.609332928721,711.962095642707
"jonge","Facebook",554.757575757576,324.385037395985,785.130114119166
"maart","Twitter",545.85,441.208461438187,650.491538561813
"maart","Facebook",586.4,371.714147939093,801.085852060907
"nederlanders","Twitter",547,457.458194890143,636.541805109857
"nederlanders","Facebook",1162.5652173913,531.521324691989,1793.60911009062
"grenzen","Twitter",577.3,468.548781464608,686.051218535392
"grenzen","Facebook",548.555555555556,391.136721440275,705.974389670836
"islam","Twitter",583,500.858280063015,665.141719936985
"islam","Facebook",629.660714285714,494.66913580441,764.652292767018
"jaar","Twitter",600.125,496.799606446571,703.450393553429
"jaar","Facebook",573.166666666667,461.13080242272,685.202530910613
"rutte","Twitter",605.29,542.380537329912,668.199462670088
"rutte","Facebook",894.301075268817,709.487888739767,1079.11426179787
"geweld","Twitter",649.473684210526,512.914353495086,786.033014925967
"geweld","Facebook",749.757575757576,423.377515436339,1076.13763607881
