"term","platform","pe","lwr","upr"
"statement","Twitter",22.027027027027,17.9773255199787,26.0767285340753
"statement","Facebook",130.0625,101.293544006122,158.831455993878
"inleidend","Twitter",22.6,18.4141914842676,26.7858085157324
"inleidend","Facebook",135.4,106.974842205907,163.825157794093
"terugkijken","Twitter",24.6944444444444,18.8129571753355,30.5759317135534
"terugkijken","Facebook",144.5,111.721382738352,177.278617261648
"jonge","Twitter",27.9,17.3032161864683,38.4967838135317
"jonge","Facebook",146.230769230769,109.235684886514,183.225853575025
"kijk","Twitter",29.51,19.9159283823689,39.1040716176311
"kijk","Facebook",102.864864864865,74.1555032346541,131.574226495076
"persconferentie","Twitter",31.1616161616162,27.0910260951788,35.2322062280535
"persconferentie","Facebook",204.566666666667,158.751483896948,250.381849436386
"coronacrisis","Twitter",36.4074074074074,25.0841697996368,47.7306450151781
"coronacrisis","Facebook",126.533333333333,78.8103128615508,174.256353805116
"aanpak","Twitter",37.6764705882353,31.192940302922,44.1600008735485
"aanpak","Facebook",169.625,122.685332299734,216.564667700266
"sprak","Twitter",41.0625,29.4066914822713,52.7183085177287
"sprak","Facebook",93.56,62.202078569108,124.917921430892
"laatste","Twitter",41.71875,30.3734771252926,53.0640228747074
"laatste","Facebook",219,152.324759204877,285.675240795123
"zaken","Twitter",43.7222222222222,32.5609910926455,54.8834533517989
"zaken","Facebook",232.153846153846,160.789794697912,303.51789760978
"jaar","Twitter",50.48,26.6668913970545,74.2931086029455
"jaar","Facebook",91.9,53.0558726723678,130.744127327632
"samen","Twitter",53.6590909090909,38.671896630458,68.6462851877238
"samen","Facebook",148.230769230769,90.4256500087281,206.03588845281
"coronavirus","Twitter",58.3389830508475,43.5514124983925,73.1265536033024
"coronavirus","Facebook",271.035714285714,198.515393313084,343.556035258345
"mensen","Twitter",68.24,41.4799865095187,95.0000134904813
"mensen","Facebook",162.631578947368,74.6792313910438,250.583926503693
"blijven","Twitter",69.3529411764706,32.3121204474173,106.393761905524
"blijven","Facebook",151.125,89.9823982482476,212.267601751752
"kabinet","Twitter",78.5833333333333,33.286995228426,123.879671438241
"kabinet","Facebook",96.625,57.6281733377613,135.621826662239
"nederland","Twitter",83.8684210526316,49.565164272938,118.171677832325
"nederland","Facebook",101.975,64.7489835308485,139.201016469152
"stand","Twitter",115.829268292683,-31.4408069102845,263.09934349565
"stand","Facebook",201.03125,143.585146326057,258.477353673943
"informatie","Twitter",122.85,93.3030782566355,152.396921743365
"informatie","Facebook",281.909090909091,210.190710794226,353.627471023956
