period,mtype,party,n,ntot,perc
1,Newspapers,50Plus,9,397,0.022670025188916875
1,Newspapers,BBB,2,397,0.005037783375314861
1,Newspapers,Bij1,5,397,0.012594458438287154
1,Newspapers,CDA,122,397,0.30730478589420657
1,Newspapers,CodeOranje,4,397,0.010075566750629723
1,Newspapers,CU,46,397,0.11586901763224182
1,Newspapers,D66,94,397,0.2367758186397985
1,Newspapers,Denk,5,397,0.012594458438287154
1,Newspapers,FvD,45,397,0.11335012594458438
1,Newspapers,GL,81,397,0.2040302267002519
1,Newspapers,JA21,8,397,0.020151133501259445
1,Newspapers,PvdA,93,397,0.23425692695214106
1,Newspapers,PvdD,17,397,0.042821158690176324
1,Newspapers,PVV,74,397,0.18639798488664988
1,Newspapers,SGP,18,397,0.04534005037783375
1,Newspapers,SP,50,397,0.12594458438287154
1,Newspapers,Volt,1,397,0.0025188916876574307
1,Newspapers,VVD,183,397,0.4609571788413098
1,Online (nos.nl/nu.nl),50Plus,1,96,0.010416666666666666
1,Online (nos.nl/nu.nl),BBB,0,96,0
1,Online (nos.nl/nu.nl),Bij1,0,96,0
1,Online (nos.nl/nu.nl),CDA,18,96,0.1875
1,Online (nos.nl/nu.nl),CodeOranje,0,96,0
1,Online (nos.nl/nu.nl),CU,16,96,0.16666666666666666
1,Online (nos.nl/nu.nl),D66,20,96,0.20833333333333334
1,Online (nos.nl/nu.nl),Denk,3,96,0.03125
1,Online (nos.nl/nu.nl),FvD,11,96,0.11458333333333333
1,Online (nos.nl/nu.nl),GL,15,96,0.15625
1,Online (nos.nl/nu.nl),JA21,1,96,0.010416666666666666
1,Online (nos.nl/nu.nl),PvdA,22,96,0.22916666666666666
1,Online (nos.nl/nu.nl),PvdD,3,96,0.03125
1,Online (nos.nl/nu.nl),PVV,12,96,0.125
1,Online (nos.nl/nu.nl),SGP,5,96,0.052083333333333336
1,Online (nos.nl/nu.nl),SP,11,96,0.11458333333333333
1,Online (nos.nl/nu.nl),Volt,0,96,0
1,Online (nos.nl/nu.nl),VVD,61,96,0.6354166666666666
1,TV,50Plus,0,44,0
1,TV,BBB,0,44,0
1,TV,Bij1,0,44,0
1,TV,CDA,13,44,0.29545454545454547
1,TV,CodeOranje,2,44,0.045454545454545456
1,TV,CU,4,44,0.09090909090909091
1,TV,D66,8,44,0.18181818181818182
1,TV,Denk,1,44,0.022727272727272728
1,TV,FvD,5,44,0.11363636363636363
1,TV,GL,7,44,0.1590909090909091
1,TV,JA21,1,44,0.022727272727272728
1,TV,PvdA,7,44,0.1590909090909091
1,TV,PvdD,0,44,0
1,TV,PVV,8,44,0.18181818181818182
1,TV,SGP,0,44,0
1,TV,SP,2,44,0.045454545454545456
1,TV,Volt,0,44,0
1,TV,VVD,20,44,0.45454545454545453
2,Newspapers,50Plus,29,950,0.030526315789473683
2,Newspapers,BBB,2,950,0.002105263157894737
2,Newspapers,Bij1,6,950,0.00631578947368421
2,Newspapers,CDA,313,950,0.3294736842105263
2,Newspapers,CodeOranje,4,950,0.004210526315789474
2,Newspapers,CU,122,950,0.12842105263157894
2,Newspapers,D66,311,950,0.3273684210526316
2,Newspapers,Denk,8,950,0.008421052631578947
2,Newspapers,FvD,104,950,0.10947368421052632
2,Newspapers,GL,216,950,0.22736842105263158
2,Newspapers,JA21,13,950,0.01368421052631579
2,Newspapers,PvdA,243,950,0.2557894736842105
2,Newspapers,PvdD,47,950,0.049473684210526316
2,Newspapers,PVV,166,950,0.17473684210526316
2,Newspapers,SGP,60,950,0.06315789473684211
2,Newspapers,SP,137,950,0.14421052631578948
2,Newspapers,Volt,2,950,0.002105263157894737
2,Newspapers,VVD,533,950,0.5610526315789474
2,Online (nos.nl/nu.nl),50Plus,12,255,0.047058823529411764
2,Online (nos.nl/nu.nl),BBB,0,255,0
2,Online (nos.nl/nu.nl),Bij1,1,255,0.00392156862745098
2,Online (nos.nl/nu.nl),CDA,87,255,0.3411764705882353
2,Online (nos.nl/nu.nl),CodeOranje,0,255,0
2,Online (nos.nl/nu.nl),CU,41,255,0.1607843137254902
2,Online (nos.nl/nu.nl),D66,70,255,0.27450980392156865
2,Online (nos.nl/nu.nl),Denk,5,255,0.0196078431372549
2,Online (nos.nl/nu.nl),FvD,28,255,0.10980392156862745
2,Online (nos.nl/nu.nl),GL,57,255,0.2235294117647059
2,Online (nos.nl/nu.nl),JA21,9,255,0.03529411764705882
2,Online (nos.nl/nu.nl),PvdA,68,255,0.26666666666666666
2,Online (nos.nl/nu.nl),PvdD,19,255,0.07450980392156863
2,Online (nos.nl/nu.nl),PVV,46,255,0.1803921568627451
2,Online (nos.nl/nu.nl),SGP,13,255,0.050980392156862744
2,Online (nos.nl/nu.nl),SP,36,255,0.1411764705882353
2,Online (nos.nl/nu.nl),Volt,0,255,0
2,Online (nos.nl/nu.nl),VVD,144,255,0.5647058823529412
2,TV,50Plus,4,112,0.03571428571428571
2,TV,BBB,0,112,0
2,TV,Bij1,1,112,0.008928571428571428
2,TV,CDA,34,112,0.30357142857142855
2,TV,CodeOranje,0,112,0
2,TV,CU,14,112,0.125
2,TV,D66,32,112,0.2857142857142857
2,TV,Denk,5,112,0.044642857142857144
2,TV,FvD,5,112,0.044642857142857144
2,TV,GL,27,112,0.24107142857142858
2,TV,JA21,3,112,0.026785714285714284
2,TV,PvdA,28,112,0.25
2,TV,PvdD,1,112,0.008928571428571428
2,TV,PVV,25,112,0.22321428571428573
2,TV,SGP,4,112,0.03571428571428571
2,TV,SP,21,112,0.1875
2,TV,Volt,0,112,0
2,TV,VVD,50,112,0.44642857142857145
3,Newspapers,50Plus,25,676,0.03698224852071006
3,Newspapers,BBB,2,676,0.0029585798816568047
3,Newspapers,Bij1,11,676,0.016272189349112426
