A2,value,n,perc,per,check
50+,BBB,9,0.02,2 %,0
50+,Bij1,1,0,0 %,0
50+,CDA,41,0.07,7 %,0
50+,CU,12,0.02,2 %,0
50+,D66,27,0.05,5 %,0
50+,Denk,4,0.01,1 %,0
50+,FvD,8,0.01,1 %,0
50+,GL,18,0.03,3 %,0
50+,PvdA,28,0.05,5 %,0
50+,PvDD,17,0.03,3 %,0
50+,PVV,26,0.04,4 %,0
50+,SGP,1,0,0 %,0
50+,SP,19,0.03,3 %,0
50+,VVD,49,0.08,8 %,0
BBB,50+,1,0,0 %,0
BBB,Bij1,2,0.01,1 %,0
BBB,CDA,46,0.14,14 %,0
BBB,CU,58,0.18,18 %,0
BBB,D66,28,0.09,9 %,0
BBB,GL,9,0.03,3 %,0
BBB,PvdA,18,0.06,6 %,0
BBB,PvDD,9,0.03,3 %,0
BBB,PVV,1,0,0 %,0
BBB,SGP,11,0.03,3 %,0
BBB,SP,4,0.01,1 %,0
BBB,VOLT,3,0.01,1 %,0
BBB,VVD,49,0.15,15 %,0
Bij1,50+,1,0,0 %,0
Bij1,BBB,6,0.01,1 %,0
Bij1,CDA,82,0.18,18 %,0
Bij1,CU,31,0.07,7 %,0
Bij1,D66,65,0.14,14 %,0
Bij1,FvD,2,0,0 %,0
Bij1,GL,4,0.01,1 %,0
Bij1,PvdA,18,0.04,4 %,0
Bij1,PvDD,1,0,0 %,0
Bij1,PVV,8,0.02,2 %,0
Bij1,SGP,2,0,0 %,0
Bij1,SP,6,0.01,1 %,0
Bij1,VOLT,2,0,0 %,0
Bij1,VVD,78,0.17,17 %,0
CDA,50+,37,0.01,1 %,0
CDA,BBB,31,0.01,1 %,0
CDA,Bij1,2,0,0 %,0
CDA,CU,153,0.05,5 %,0
CDA,D66,234,0.08,8 %,0
CDA,Denk,5,0,0 %,0
CDA,FvD,10,0,0 %,0
CDA,GL,93,0.03,3 %,0
CDA,JA21,3,0,0 %,0
CDA,PvdA,175,0.06,6 %,0
CDA,PvDD,34,0.01,1 %,0
CDA,PVV,42,0.02,2 %,0
CDA,SGP,22,0.01,1 %,0
CDA,SP,49,0.02,2 %,0
CDA,VOLT,2,0,0 %,0
CDA,VVD,362,0.13,13 %,0
CU,50+,16,0.01,1 %,0
CU,CDA,206,0.14,14 %,0
CU,D66,37,0.02,2 %,0
CU,Denk,13,0.01,1 %,0
CU,FvD,5,0,0 %,0
CU,GL,53,0.04,4 %,0
CU,JA21,1,0,0 %,0
CU,PvdA,81,0.05,5 %,0
CU,PvDD,12,0.01,1 %,0
CU,PVV,9,0.01,1 %,0
CU,SGP,65,0.04,4 %,0
CU,SP,39,0.03,3 %,0
CU,VOLT,1,0,0 %,0
CU,VVD,88,0.06,6 %,0
D66,50+,12,0.01,1 %,0
D66,BBB,2,0,0 %,0
D66,Bij1,18,0.01,1 %,0
D66,CDA,89,0.05,5 %,0
D66,CU,42,0.02,2 %,0
D66,Denk,5,0,0 %,0
D66,FvD,51,0.03,3 %,0
D66,GL,158,0.09,9 %,0
D66,PvdA,151,0.09,9 %,0
D66,PvDD,42,0.02,2 %,0
D66,PVV,46,0.03,3 %,0
D66,SGP,7,0,0 %,0
D66,SP,70,0.04,4 %,0
D66,VOLT,12,0.01,1 %,0
D66,VVD,118,0.07,7 %,0
