wave,A2,value,n,perc,check
pre-wave,50+,CDA,12,0.06,0
pre-wave,50+,CU,5,0.03,0
pre-wave,50+,D66,3,0.02,0
pre-wave,50+,Denk,1,0.01,0
pre-wave,50+,FvD,4,0.02,0
pre-wave,50+,GL,4,0.02,0
pre-wave,50+,PvdA,9,0.05,0
pre-wave,50+,PvDD,5,0.03,0
pre-wave,50+,PVV,8,0.04,0
pre-wave,50+,SP,5,0.03,0
pre-wave,50+,VVD,13,0.07,0
pre-wave,CDA,50+,10,0.02,0
pre-wave,CDA,CU,30,0.05,0
pre-wave,CDA,D66,25,0.04,0
pre-wave,CDA,Denk,1,0,0
pre-wave,CDA,FvD,2,0,0
pre-wave,CDA,GL,10,0.02,0
pre-wave,CDA,PvdA,31,0.05,0
pre-wave,CDA,PvDD,4,0.01,0
pre-wave,CDA,PVV,8,0.01,0
pre-wave,CDA,SGP,5,0.01,0
pre-wave,CDA,SP,11,0.02,0
pre-wave,CDA,VVD,76,0.12,0
pre-wave,CU,50+,3,0.01,0
pre-wave,CU,CDA,52,0.13,0
pre-wave,CU,D66,6,0.01,0
pre-wave,CU,Denk,1,0,0
pre-wave,CU,FvD,3,0.01,0
pre-wave,CU,GL,10,0.02,0
pre-wave,CU,PvdA,18,0.04,0
pre-wave,CU,PvDD,1,0,0
pre-wave,CU,PVV,1,0,0
pre-wave,CU,SGP,13,0.03,0
pre-wave,CU,SP,9,0.02,0
pre-wave,CU,VVD,20,0.05,0
pre-wave,D66,CDA,24,0.05,0
pre-wave,D66,CU,6,0.01,0
pre-wave,D66,FvD,1,0,0
pre-wave,D66,GL,44,0.09,0
pre-wave,D66,PvdA,44,0.09,0
pre-wave,D66,PvDD,8,0.02,0
pre-wave,D66,PVV,2,0,0
pre-wave,D66,SP,17,0.04,0
pre-wave,D66,VVD,27,0.06,0
pre-wave,Denk,50+,1,0.01,0
pre-wave,Denk,CDA,2,0.02,0
pre-wave,Denk,CU,5,0.06,0
pre-wave,Denk,D66,4,0.05,0
pre-wave,Denk,FvD,3,0.04,0
pre-wave,Denk,GL,6,0.08,0
pre-wave,Denk,PvdA,2,0.02,0
pre-wave,Denk,PvDD,1,0.01,0
pre-wave,Denk,SGP,1,0.01,0
pre-wave,Denk,SP,3,0.04,0
pre-wave,Denk,VVD,2,0.02,0
pre-wave,FvD,50+,5,0.02,0
pre-wave,FvD,CDA,5,0.02,0
pre-wave,FvD,CU,5,0.02,0
pre-wave,FvD,D66,1,0,0
pre-wave,FvD,Denk,3,0.01,0
pre-wave,FvD,GL,1,0,0
pre-wave,FvD,PvdA,3,0.01,0
pre-wave,FvD,PvDD,7,0.03,0
pre-wave,FvD,PVV,35,0.13,0
pre-wave,FvD,SGP,3,0.01,0
pre-wave,FvD,SP,6,0.02,0
pre-wave,FvD,VVD,8,0.03,0
pre-wave,GL,50+,2,0,0
pre-wave,GL,CDA,13,0.02,0
pre-wave,GL,CU,8,0.01,0
pre-wave,GL,D66,56,0.09,0
pre-wave,GL,Denk,2,0,0
pre-wave,GL,FvD,4,0.01,0
pre-wave,GL,PvdA,63,0.1,0
pre-wave,GL,PvDD,27,0.04,0
pre-wave,GL,PVV,6,0.01,0
pre-wave,GL,SGP,2,0,0
pre-wave,GL,SP,37,0.06,0
pre-wave,GL,VVD,22,0.04,0
pre-wave,PvdA,50+,3,0,0
pre-wave,PvdA,CDA,29,0.04,0
pre-wave,PvdA,CU,12,0.02,0
pre-wave,PvdA,D66,52,0.07,0
pre-wave,PvdA,Denk,2,0,0
pre-wave,PvdA,FvD,1,0,0
pre-wave,PvdA,GL,69,0.1,0
pre-wave,PvdA,PvDD,13,0.02,0
pre-wave,PvdA,PVV,9,0.01,0
pre-wave,PvdA,SGP,2,0,0
pre-wave,PvdA,SP,47,0.07,0
pre-wave,PvdA,VVD,23,0.03,0
pre-wave,PvDD,50+,5,0.02,0
pre-wave,PvDD,CDA,7,0.02,0
pre-wave,PvDD,CU,7,0.02,0
pre-wave,PvDD,D66,10,0.03,0
pre-wave,PvDD,Denk,3,0.01,0
pre-wave,PvDD,FvD,6,0.02,0
pre-wave,PvDD,GL,25,0.08,0
pre-wave,PvDD,PvdA,15,0.05,0
pre-wave,PvDD,PVV,8,0.02,0
pre-wave,PvDD,SGP,2,0.01,0
pre-wave,PvDD,SP,11,0.03,0
pre-wave,PvDD,VVD,6,0.02,0
pre-wave,PVV,50+,42,0.03,0
pre-wave,PVV,CDA,28,0.02,0
pre-wave,PVV,CU,14,0.01,0
pre-wave,PVV,D66,11,0.01,0
pre-wave,PVV,Denk,4,0,0
pre-wave,PVV,FvD,121,0.08,0
pre-wave,PVV,GL,13,0.01,0
pre-wave,PVV,PvdA,30,0.02,0
pre-wave,PVV,PvDD,22,0.02,0
pre-wave,PVV,SGP,7,0,0
pre-wave,PVV,SP,49,0.03,0
pre-wave,PVV,VVD,60,0.04,0
pre-wave,SGP,CDA,16,0.09,0
pre-wave,SGP,CU,25,0.14,0
pre-wave,SGP,Denk,1,0.01,0
pre-wave,SGP,FvD,4,0.02,0
