A2,name,value,means
50+,Work from home,8.217391304347826,7.308717445053013
50+,Washing hands,8.391304347826088,7.308717445053013
50+,Social distancing,9.217391304347826,7.308717445053013
50+,Wearing Mask,8.782608695652174,7.308717445053013
50+,Testing if symptomatic,8.956521739130435,7.308717445053013
50+,Staying home after testing yourself or anyone in household,9.391304347826088,7.308717445053013
50+,Quarantaine after traveling,8.695652173913043,7.308717445053013
50+,Curfew,7.913043478260869,7.308717445053013
50+,"Shops, bars, and restaurants open",5.478260869565218,7.308717445053013
CDA,Work from home,7.852941176470588,7.308717445053013
CDA,Washing hands,8.147058823529411,7.308717445053013
CDA,Social distancing,8.254901960784315,7.308717445053013
CDA,Wearing Mask,8.049019607843137,7.308717445053013
CDA,Testing if symptomatic,8.313725490196079,7.308717445053013
CDA,Staying home after testing yourself or anyone in household,8.794117647058824,7.308717445053013
CDA,Quarantaine after traveling,8.46078431372549,7.308717445053013
CDA,Curfew,6.764705882352941,7.308717445053013
CDA,"Shops, bars, and restaurants open",5.166666666666667,7.308717445053013
CU,Work from home,8.169230769230769,7.308717445053013
CU,Washing hands,8.384615384615385,7.308717445053013
CU,Social distancing,8.384615384615385,7.308717445053013
CU,Wearing Mask,8.076923076923077,7.308717445053013
CU,Testing if symptomatic,8.492307692307692,7.308717445053013
CU,Staying home after testing yourself or anyone in household,9,7.308717445053013
CU,Quarantaine after traveling,8.8,7.308717445053013
CU,Curfew,6.630769230769231,7.308717445053013
CU,"Shops, bars, and restaurants open",5.2615384615384615,7.308717445053013
D66,Work from home,8.14516129032258,7.308717445053013
D66,Washing hands,8.403225806451612,7.308717445053013
D66,Social distancing,8.5,7.308717445053013
D66,Wearing Mask,8.209677419354838,7.308717445053013
D66,Testing if symptomatic,8.82258064516129,7.308717445053013
D66,Staying home after testing yourself or anyone in household,9.096774193548388,7.308717445053013
D66,Quarantaine after traveling,8,7.308717445053013
D66,Curfew,6.274193548387097,7.308717445053013
D66,"Shops, bars, and restaurants open",5.451612903225806,7.308717445053013
Denk,Work from home,7.545454545454546,7.308717445053013
Denk,Washing hands,7.181818181818182,7.308717445053013
Denk,Social distancing,6,7.308717445053013
Denk,Wearing Mask,4.909090909090909,7.308717445053013
Denk,Testing if symptomatic,6.545454545454546,7.308717445053013
Denk,Staying home after testing yourself or anyone in household,7.454545454545454,7.308717445053013
Denk,Quarantaine after traveling,5.636363636363637,7.308717445053013
Denk,Curfew,4.181818181818182,7.308717445053013
Denk,"Shops, bars, and restaurants open",4.454545454545454,7.308717445053013
Don't Know,Work from home,7.649532710280374,7.308717445053013
Don't Know,Washing hands,7.925233644859813,7.308717445053013
Don't Know,Social distancing,7.906542056074766,7.308717445053013
Don't Know,Wearing Mask,7.658878504672897,7.308717445053013
Don't Know,Testing if symptomatic,7.9953271028037385,7.308717445053013
Don't Know,Staying home after testing yourself or anyone in household,8.532710280373832,7.308717445053013
Don't Know,Quarantaine after traveling,7.929906542056075,7.308717445053013
Don't Know,Curfew,5.5046728971962615,7.308717445053013
Don't Know,"Shops, bars, and restaurants open",4.364485981308412,7.308717445053013
FvD,Work from home,4.878787878787879,7.308717445053013
FvD,Washing hands,5.909090909090909,7.308717445053013
FvD,Social distancing,4.787878787878788,7.308717445053013
FvD,Wearing Mask,4.2727272727272725,7.308717445053013
FvD,Testing if symptomatic,4.848484848484849,7.308717445053013
FvD,Staying home after testing yourself or anyone in household,5.696969696969697,7.308717445053013
FvD,Quarantaine after traveling,4.787878787878788,7.308717445053013
FvD,Curfew,3.121212121212121,7.308717445053013
FvD,"Shops, bars, and restaurants open",2.3636363636363638,7.308717445053013
GL,Work from home,8.826666666666666,7.308717445053013
GL,Washing hands,8.346666666666666,7.308717445053013
GL,Social distancing,8.8,7.308717445053013
GL,Wearing Mask,8.773333333333333,7.308717445053013
GL,Testing if symptomatic,8.946666666666667,7.308717445053013
GL,Staying home after testing yourself or anyone in household,9.32,7.308717445053013
GL,Quarantaine after traveling,8.946666666666667,7.308717445053013
GL,Curfew,6.706666666666667,7.308717445053013
GL,"Shops, bars, and restaurants open",5.946666666666666,7.308717445053013
PvdA,Work from home,8.157894736842104,7.308717445053013
PvdA,Washing hands,8.694736842105263,7.308717445053013
PvdA,Social distancing,8.74736842105263,7.308717445053013
PvdA,Wearing Mask,8.442105263157895,7.308717445053013
PvdA,Testing if symptomatic,8.557894736842105,7.308717445053013
PvdA,Staying home after testing yourself or anyone in household,9.115789473684211,7.308717445053013
PvdA,Quarantaine after traveling,8.442105263157895,7.308717445053013
PvdA,Curfew,6.88421052631579,7.308717445053013
PvdA,"Shops, bars, and restaurants open",5.6421052631578945,7.308717445053013
PvDD,Work from home,7.238095238095238,7.308717445053013
PvDD,Washing hands,7.5,7.308717445053013
PvDD,Social distancing,7.833333333333333,7.308717445053013
PvDD,Wearing Mask,7.380952380952381,7.308717445053013
PvDD,Testing if symptomatic,7.738095238095238,7.308717445053013
PvDD,Staying home after testing yourself or anyone in household,8.523809523809524,7.308717445053013
PvDD,Quarantaine after traveling,7.666666666666667,7.308717445053013
PvDD,Curfew,5.071428571428571,7.308717445053013
PvDD,"Shops, bars, and restaurants open",4.261904761904762,7.308717445053013
