name,Niet,Anders,PVV,FvD,SGP,SP,Denk,Weet niet,PvdD,50+,PvdA,GroenLinks,D66,CDA,ChristenUnie,VVD,Gemiddeld
Zondag met Lubach,2.7714285714285714,3.1739130434782608,3.411067193675889,4.02,1.9393939393939394,4.375,4.857142857142857,4.0855263157894735,4.456140350877193,3.2333333333333334,4.288,6.017857142857143,4.920454545454546,4.026086956521739,3.8219178082191783,4.282608695652174,4.1336073997944505
Twitter,1.457142857142857,1.6956521739130435,2.0988142292490117,2.4,2.1515151515151514,1.825,3.5,1.9210526315789473,2.2982456140350878,2.466666666666667,2.016,2.482142857142857,1.8977272727272727,2.1565217391304348,1.8356164383561644,2.2577639751552794,2.0760534429599176
Facebook,1.3428571428571427,1.434782608695652,2.7549407114624507,3.28,2.757575757575758,2.33125,5.214285714285714,2.348684210526316,2.56140350877193,3.8333333333333335,2.448,2.1517857142857144,2.034090909090909,2.7304347826086954,2.0821917808219177,2.360248447204969,2.447070914696814
NRC,2.142857142857143,3.869565217391304,3.130434782608696,3.16,3.6666666666666665,4.44375,3.5714285714285716,4.484649122807017,4.684210526315789,4.1,5.448,6.276785714285714,6.136363636363637,4.921739130434783,5.2465753424657535,5.385093167701863,4.644398766700925
NOS journaal,4.142857142857143,4.826086956521739,5.260869565217392,4.38,4.848484848484849,7.08125,5.142857142857143,6.817982456140351,6.771929824561403,7.166666666666667,7.472,8.026785714285714,7.386363636363637,7.434782608695652,7.4520547945205475,7.565217391304348,6.782631038026722
RTL nieuws,2.857142857142857,3.8260869565217392,5.205533596837944,4.46,3.606060606060606,5.83125,5.285714285714286,5.826754385964913,5.333333333333333,6.3,5.648,5.946428571428571,5.5,6.026086956521739,5.739726027397261,6.403726708074534,5.670092497430627
SBS (Hart van Nederland),2.142857142857143,2.8260869565217392,4.284584980237154,3.92,3.0606060606060606,4.54375,4.428571428571429,4.177631578947368,4.280701754385965,5.666666666666667,3.84,3.892857142857143,3.4204545454545454,4.556521739130435,4.232876712328767,4.472049689440993,4.172147995889003
NU.nl,3.1714285714285713,3.9130434782608696,4.482213438735178,4.44,4.393939393939394,5.3375,5.571428571428571,5.552631578947368,5.087719298245614,5.333333333333333,6.008,5.9375,5.7272727272727275,5.756521739130434,6.027397260273973,6.055900621118012,5.440904419321686
Algemeen Dagblad,2.4571428571428573,4.478260869565218,4.16205533596838,4.04,4.575757575757576,5.11875,4.642857142857143,4.899122807017544,4.649122807017544,4.7,5.264,5.580357142857143,5.625,5.356521739130435,5.3561643835616435,5.795031055900621,5.020554984583762
De Telegraaf,2.3142857142857145,3.260869565217391,4.150197628458498,3.82,2.696969696969697,3.975,4.142857142857143,4.048245614035087,3.754385964912281,4.366666666666666,4.16,3.705357142857143,4.2727272727272725,4.826086956521739,3.684931506849315,4.894409937888199,4.153134635149024
De Volkskrant,2.4857142857142858,3.9565217391304346,3.205533596837945,3.52,3.242424242424242,4.9875,4.142857142857143,4.706140350877193,4.842105263157895,4.266666666666667,5.912,6.589285714285714,6.284090909090909,5.2,5.315068493150685,5.385093167701863,4.8448098663926
GeenStijl,1.3142857142857143,1.7391304347826086,2.7233201581027666,2.82,1.303030303030303,2.075,3.857142857142857,2.0482456140350878,2.2280701754385963,2.566666666666667,1.96,2.169642857142857,2.022727272727273,2.356521739130435,1.643835616438356,2.139751552795031,2.1731757451181912
De Correspondent,1.2,3.1739130434782608,2.2648221343873516,2.68,1.8181818181818181,2.7875,2.9285714285714284,2.8728070175438596,3.754385964912281,3.2,3.272,4.535714285714286,3.727272727272727,3.0608695652173914,3.2054794520547945,3.1552795031055902,2.998972250770812
