mtype,week,object,n,total,perc
Newspapers,2021-01-07,Bedrijfsleven,129,318,0.4056603773584906
Newspapers,2021-01-07,Corona,175,318,0.550314465408805
Newspapers,2021-01-07,Integratie,59,318,0.18553459119496854
Newspapers,2021-01-07,Klimaat,54,318,0.16981132075471697
Newspapers,2021-01-07,Onderwijs,126,318,0.39622641509433965
Newspapers,2021-01-07,Sociale Zekerheid,101,318,0.31761006289308175
Newspapers,2021-01-07,Zorg,116,318,0.36477987421383645
Newspapers,2021-01-14,Bedrijfsleven,186,430,0.4325581395348837
Newspapers,2021-01-14,Corona,241,430,0.5604651162790698
Newspapers,2021-01-14,Integratie,62,430,0.14418604651162792
Newspapers,2021-01-14,Klimaat,90,430,0.20930232558139536
Newspapers,2021-01-14,Onderwijs,150,430,0.3488372093023256
Newspapers,2021-01-14,Sociale Zekerheid,208,430,0.48372093023255813
Newspapers,2021-01-14,Zorg,114,430,0.2651162790697674
Newspapers,2021-01-21,Bedrijfsleven,184,348,0.5287356321839081
Newspapers,2021-01-21,Corona,198,348,0.5689655172413793
Newspapers,2021-01-21,Integratie,58,348,0.16666666666666666
Newspapers,2021-01-21,Klimaat,84,348,0.2413793103448276
Newspapers,2021-01-21,Onderwijs,138,348,0.39655172413793105
Newspapers,2021-01-21,Sociale Zekerheid,106,348,0.3045977011494253
Newspapers,2021-01-21,Zorg,124,348,0.3563218390804598
Newspapers,2021-01-28,Bedrijfsleven,186,340,0.5470588235294118
Newspapers,2021-01-28,Corona,208,340,0.611764705882353
Newspapers,2021-01-28,Integratie,59,340,0.17352941176470588
Newspapers,2021-01-28,Klimaat,77,340,0.22647058823529412
Newspapers,2021-01-28,Onderwijs,157,340,0.46176470588235297
Newspapers,2021-01-28,Sociale Zekerheid,84,340,0.24705882352941178
Newspapers,2021-01-28,Zorg,132,340,0.38823529411764707
Newspapers,2021-02-04,Bedrijfsleven,163,378,0.4312169312169312
Newspapers,2021-02-04,Corona,215,378,0.5687830687830688
Newspapers,2021-02-04,Integratie,64,378,0.1693121693121693
Newspapers,2021-02-04,Klimaat,83,378,0.21957671957671956
Newspapers,2021-02-04,Onderwijs,165,378,0.4365079365079365
Newspapers,2021-02-04,Sociale Zekerheid,90,378,0.23809523809523808
Newspapers,2021-02-04,Zorg,149,378,0.3941798941798942
Newspapers,2021-02-11,Bedrijfsleven,165,357,0.46218487394957986
Newspapers,2021-02-11,Corona,186,357,0.5210084033613446
Newspapers,2021-02-11,Integratie,67,357,0.1876750700280112
Newspapers,2021-02-11,Klimaat,81,357,0.226890756302521
Newspapers,2021-02-11,Onderwijs,146,357,0.40896358543417366
Newspapers,2021-02-11,Sociale Zekerheid,103,357,0.28851540616246496
Newspapers,2021-02-11,Zorg,109,357,0.30532212885154064
Newspapers,2021-02-18,Bedrijfsleven,215,402,0.5348258706467661
Newspapers,2021-02-18,Corona,239,402,0.5945273631840796
Newspapers,2021-02-18,Integratie,66,402,0.16417910447761194
Newspapers,2021-02-18,Klimaat,96,402,0.23880597014925373
Newspapers,2021-02-18,Onderwijs,174,402,0.43283582089552236
Newspapers,2021-02-18,Sociale Zekerheid,98,402,0.24378109452736318
Newspapers,2021-02-18,Zorg,128,402,0.31840796019900497
Newspapers,2021-02-25,Bedrijfsleven,290,512,0.56640625
Newspapers,2021-02-25,Corona,280,512,0.546875
Newspapers,2021-02-25,Integratie,82,512,0.16015625
Newspapers,2021-02-25,Klimaat,170,512,0.33203125
Newspapers,2021-02-25,Onderwijs,208,512,0.40625
Newspapers,2021-02-25,Sociale Zekerheid,160,512,0.3125
Newspapers,2021-02-25,Zorg,160,512,0.3125
