party,issue,n,score,perc
50Plus Partij,Asielzoekers en migranten,14,6.357142857142857,0.6779661016949152
50Plus Partij,Bestuurlijke vernieuwing,22,6.045454545454546,1.0653753026634383
50Plus Partij,Coronabeleid,75,6.333333333333333,3.631961259079903
50Plus Partij,Criminaliteitsbestrijding,20,6.85,0.9685230024213075
50Plus Partij,Een ander onderwerp,50,4.714285714285714,2.4213075060532687
50Plus Partij,Europese Unie en de Euro,22,6.136363636363637,1.0653753026634383
50Plus Partij,Gezondheidszorg,270,6.425373134328358,13.075060532687651
50Plus Partij,"Klimaat, natuur, en milieu",24,6.375,1.162227602905569
50Plus Partij,Mobiliteit en infrastructuur,21,6.571428571428571,1.0169491525423728
50Plus Partij,Normen en waarden,118,6.52542372881356,5.714285714285714
50Plus Partij,Ondernemingsklimaat,17,7,0.8232445520581114
50Plus Partij,Onderwijs en wetenschap,24,7.25,1.162227602905569
50Plus Partij,Ontwikkelingshulp,16,5.25,0.774818401937046
50Plus Partij,Overheidsuitgaven en belastingen,68,6.0588235294117645,3.2929782082324457
50Plus Partij,Sociale zekerheid,410,6.28361858190709,19.854721549636803
50Plus Partij,Terreurbestrijding,15,6.6,0.7263922518159807
50Plus Partij,Vrijheidsrechten,32,6.28125,1.549636803874092
50Plus Partij,Werk en inkomen,53,5.547169811320755,2.566585956416465
50Plus Partij,Woningen,45,6.177777777777778,2.1791767554479415
CDA,Asielzoekers en migranten,39,5.3076923076923075,1.8886198547215496
CDA,Bestuurlijke vernieuwing,41,5.878048780487805,1.9854721549636805
CDA,Coronabeleid,252,6.504,12.203389830508476
CDA,Criminaliteitsbestrijding,46,6.369565217391305,2.2276029055690074
CDA,Een ander onderwerp,33,5.424242424242424,1.5980629539951572
CDA,Europese Unie en de Euro,159,5.8742138364779874,7.699757869249395
CDA,Gezondheidszorg,137,6.751824817518248,6.634382566585957
CDA,"Klimaat, natuur, en milieu",57,5.684210526315789,2.7602905569007263
CDA,Mobiliteit en infrastructuur,66,6.318181818181818,3.1961259079903144
CDA,Normen en waarden,320,6.334375,15.49636803874092
CDA,Ondernemingsklimaat,128,5.9453125,6.198547215496368
CDA,Onderwijs en wetenschap,102,6.333333333333333,4.939467312348668
CDA,Ontwikkelingshulp,40,5.675,1.937046004842615
CDA,Overheidsuitgaven en belastingen,354,6.406779661016949,17.142857142857142
CDA,Sociale zekerheid,201,6.398009950248756,9.73365617433414
CDA,Terreurbestrijding,30,6.333333333333333,1.4527845036319613
CDA,Vrijheidsrechten,51,7.019607843137255,2.469733656174334
CDA,Werk en inkomen,191,6.2460732984293195,9.249394673123486
CDA,Woningen,69,6.217391304347826,3.3414043583535107
ChristenUnie,Asielzoekers en migranten,90,5.355555555555555,4.358353510895883
ChristenUnie,Bestuurlijke vernieuwing,20,5.75,0.9685230024213075
ChristenUnie,Coronabeleid,112,6.405405405405405,5.423728813559322
ChristenUnie,Criminaliteitsbestrijding,34,6.117647058823529,1.6464891041162228
ChristenUnie,Een ander onderwerp,40,2.875,1.937046004842615
ChristenUnie,Europese Unie en de Euro,34,6.363636363636363,1.6464891041162228
ChristenUnie,Gezondheidszorg,128,6.5,6.198547215496368
ChristenUnie,"Klimaat, natuur, en milieu",73,6.534246575342466,3.5351089588377724
ChristenUnie,Mobiliteit en infrastructuur,18,6.111111111111111,0.8716707021791767
ChristenUnie,Normen en waarden,594,6.14695945945946,28.765133171912833
ChristenUnie,Ondernemingsklimaat,33,5.909090909090909,1.5980629539951572
ChristenUnie,Onderwijs en wetenschap,156,6.673076923076923,7.554479418886198
ChristenUnie,Ontwikkelingshulp,98,5.5,4.745762711864407
ChristenUnie,Overheidsuitgaven en belastingen,52,6.5576923076923075,2.5181598062953996
ChristenUnie,Sociale zekerheid,131,6.5038167938931295,6.343825665859564
ChristenUnie,Terreurbestrijding,19,6.105263157894737,0.9200968523002421
ChristenUnie,Vrijheidsrechten,148,6.101351351351352,7.167070217917676
ChristenUnie,Werk en inkomen,41,6.780487804878049,1.9854721549636805
ChristenUnie,Woningen,38,6.105263157894737,1.8401937046004841
D66,Asielzoekers en migranten,74,4.175675675675675,3.583535108958838
D66,Bestuurlijke vernieuwing,192,5.578125,9.297820823244551
D66,Coronabeleid,124,5.879032258064516,6.004842615012106
D66,Criminaliteitsbestrijding,24,6.666666666666667,1.162227602905569
D66,Een ander onderwerp,25,3.92,1.2106537530266344
D66,Europese Unie en de Euro,209,5.3798076923076925,10.121065375302663
D66,Gezondheidszorg,118,6.440677966101695,5.714285714285714
D66,"Klimaat, natuur, en milieu",146,5.7465753424657535,7.070217917675545
D66,Mobiliteit en infrastructuur,54,6.166666666666667,2.6150121065375305
D66,Normen en waarden,80,6.425,3.87409200968523
D66,Ondernemingsklimaat,63,6.079365079365079,3.050847457627119
D66,Onderwijs en wetenschap,278,6.765342960288809,13.462469733656174
D66,Ontwikkelingshulp,128,4.692913385826771,6.198547215496368
D66,Overheidsuitgaven en belastingen,82,6.036585365853658,3.970944309927361
D66,Sociale zekerheid,87,5.977011494252873,4.213075060532687
D66,Terreurbestrijding,27,6.555555555555555,1.3075060532687652
D66,Vrijheidsrechten,140,6.578571428571428,6.779661016949152
D66,Werk en inkomen,97,6.360824742268041,4.697336561743342
D66,Woningen,79,5.962025316455696,3.8256658595641646
Denk,Asielzoekers en migranten,399,3.550251256281407,19.322033898305087
Denk,Bestuurlijke vernieuwing,35,5.205882352941177,1.694915254237288
Denk,Coronabeleid,48,5.395833333333333,2.324455205811138
Denk,Criminaliteitsbestrijding,37,5.702702702702703,1.791767554479419
Denk,Een ander onderwerp,42,2.5,2.0338983050847457
Denk,Europese Unie en de Euro,34,4.205882352941177,1.6464891041162228
Denk,Gezondheidszorg,30,6.266666666666667,1.4527845036319613
Denk,"Klimaat, natuur, en milieu",20,6.15,0.9685230024213075
Denk,Mobiliteit en infrastructuur,13,6.230769230769231,0.6295399515738499
Denk,Normen en waarden,111,4.891891891891892,5.375302663438257
Denk,Ondernemingsklimaat,14,5.571428571428571,0.6779661016949152
Denk,Onderwijs en wetenschap,34,6.294117647058823,1.6464891041162228
Denk,Ontwikkelingshulp,47,4.829787234042553,2.2760290556900724
Denk,Overheidsuitgaven en belastingen,26,5.076923076923077,1.2590799031476998
Denk,Sociale zekerheid,79,4.962025316455696,3.8256658595641646
Denk,Terreurbestrijding,39,4.897435897435898,1.8886198547215496
Denk,Vrijheidsrechten,338,4.186943620178042,16.368038740920095
Denk,Werk en inkomen,46,6,2.2276029055690074
Denk,Woningen,20,5.25,0.9685230024213075
Forum voor Democratie,Asielzoekers en migranten,527,3.846299810246679,25.520581113801455
Forum voor Democratie,Bestuurlijke vernieuwing,120,3.9916666666666667,5.811138014527845
Forum voor Democratie,Coronabeleid,283,3.698581560283688,13.704600484261501
Forum voor Democratie,Criminaliteitsbestrijding,55,5.927272727272728,2.663438256658596
Forum voor Democratie,Een ander onderwerp,69,1.855072463768116,3.3414043583535107
