wave,name,value
w0,Kranten (print en digitaal),3.2720588235294117
w0,Online (bv nu.nl),3.625
w0,Sociale media,2.5210084033613445
w0,TV,4.6344537815126055
w1,Kranten (print en digitaal),3.282668500687758
w1,Online (bv nu.nl),3.455295735900963
w1,Sociale media,2.3803301237964236
w1,TV,4.704264099037139
w2,Kranten (print en digitaal),3.5684547638110486
w2,Online (bv nu.nl),3.6733386709367495
w2,Sociale media,2.313851080864692
w2,TV,4.958366693354684
w3,Kranten (print en digitaal),3.3933933933933935
w3,Online (bv nu.nl),3.3205705705705704
w3,Sociale media,1.9174174174174174
w3,TV,4.434684684684685
w4,Kranten (print en digitaal),3.168379446640316
w4,Online (bv nu.nl),2.9304347826086956
w4,Sociale media,1.865612648221344
w4,TV,4.489328063241107
