week,party,name,mtype,value
2021-01-07,50PLUS,Liane den Haan (50PLUS),Activity,35
2021-01-07,50PLUS,Liane den Haan (50PLUS),Engagement,193
2021-01-07,BBB,Caroline van der Plas (BBB),Activity,262
2021-01-07,BBB,Caroline van der Plas (BBB),Engagement,2186
2021-01-07,BIJ1,Sylvana Simons (BIJ1),Activity,219
2021-01-07,BIJ1,Sylvana Simons (BIJ1),Engagement,3469
2021-01-07,CDA,Wopke Hoekstra (CDA),Activity,2
2021-01-07,CDA,Wopke Hoekstra (CDA),Engagement,165
2021-01-07,CU,Gert-Jan Segers (CU),Activity,33
2021-01-07,CU,Gert-Jan Segers (CU),Engagement,6969
2021-01-07,D66,Sigird Kaag (D66),Activity,10
2021-01-07,D66,Sigird Kaag (D66),Engagement,14637
2021-01-07,DENK,Farid Azarkan (DENK),Activity,43
2021-01-07,DENK,Farid Azarkan (DENK),Engagement,2374
2021-01-07,FvD,Thierry Baudet (FvD),Activity,110
2021-01-07,FvD,Thierry Baudet (FvD),Engagement,39809
2021-01-07,GL,Jesse Klaver (GL),Activity,17
2021-01-07,GL,Jesse Klaver (GL),Engagement,7425
2021-01-07,JA21,Annabel Nanninga (JA21),Activity,33
2021-01-07,JA21,Annabel Nanninga (JA21),Engagement,3879
2021-01-07,JA21,Joost Eerdmans (JA21),Activity,7
2021-01-07,JA21,Joost Eerdmans (JA21),Engagement,793
2021-01-07,PvdA,Lilianne Ploumen (PvdA),Activity,20
2021-01-07,PvdA,Lilianne Ploumen (PvdA),Engagement,1842
2021-01-07,PvdD,Esther Ouwehand (PvdD),Activity,0
2021-01-07,PvdD,Esther Ouwehand (PvdD),Engagement,0
2021-01-07,PVV,Geert Wilders (PVV),Activity,66
2021-01-07,PVV,Geert Wilders (PVV),Engagement,148889
2021-01-07,SGP,Kees van der Staaij (SGP),Activity,20
2021-01-07,SGP,Kees van der Staaij (SGP),Engagement,2313
2021-01-07,SP,Lilian Marijnissen (SP),Activity,28
2021-01-07,SP,Lilian Marijnissen (SP),Engagement,7015
2021-01-07,Volt,Laurens Dassen (Volt),Activity,29
2021-01-07,Volt,Laurens Dassen (Volt),Engagement,342
2021-01-07,VVD,Mark Rutte (VVD),Activity,28
2021-01-07,VVD,Mark Rutte (VVD),Engagement,13364
2021-01-14,50PLUS,Liane den Haan (50PLUS),Activity,37
2021-01-14,50PLUS,Liane den Haan (50PLUS),Engagement,263
2021-01-14,BBB,Caroline van der Plas (BBB),Activity,309
2021-01-14,BBB,Caroline van der Plas (BBB),Engagement,2177
2021-01-14,BIJ1,Sylvana Simons (BIJ1),Activity,191
2021-01-14,BIJ1,Sylvana Simons (BIJ1),Engagement,4536
2021-01-14,CDA,Wopke Hoekstra (CDA),Activity,13
2021-01-14,CDA,Wopke Hoekstra (CDA),Engagement,3260
2021-01-14,CU,Gert-Jan Segers (CU),Activity,22
2021-01-14,CU,Gert-Jan Segers (CU),Engagement,3169
2021-01-14,D66,Sigird Kaag (D66),Activity,10
2021-01-14,D66,Sigird Kaag (D66),Engagement,6090
2021-01-14,DENK,Farid Azarkan (DENK),Activity,74
2021-01-14,DENK,Farid Azarkan (DENK),Engagement,5660
2021-01-14,FvD,Thierry Baudet (FvD),Activity,126
2021-01-14,FvD,Thierry Baudet (FvD),Engagement,83596
2021-01-14,GL,Jesse Klaver (GL),Activity,29
2021-01-14,GL,Jesse Klaver (GL),Engagement,12045
2021-01-14,JA21,Annabel Nanninga (JA21),Activity,46
2021-01-14,JA21,Annabel Nanninga (JA21),Engagement,2504
2021-01-14,JA21,Joost Eerdmans (JA21),Activity,11
2021-01-14,JA21,Joost Eerdmans (JA21),Engagement,1298
2021-01-14,PvdA,Lilianne Ploumen (PvdA),Activity,10
2021-01-14,PvdA,Lilianne Ploumen (PvdA),Engagement,6121
2021-01-14,PvdD,Esther Ouwehand (PvdD),Activity,0
2021-01-14,PvdD,Esther Ouwehand (PvdD),Engagement,0
2021-01-14,PVV,Geert Wilders (PVV),Activity,55
2021-01-14,PVV,Geert Wilders (PVV),Engagement,164636
2021-01-14,SGP,Kees van der Staaij (SGP),Activity,21
2021-01-14,SGP,Kees van der Staaij (SGP),Engagement,893
2021-01-14,SP,Lilian Marijnissen (SP),Activity,33
2021-01-14,SP,Lilian Marijnissen (SP),Engagement,16959
2021-01-14,Volt,Laurens Dassen (Volt),Activity,23
2021-01-14,Volt,Laurens Dassen (Volt),Engagement,216
2021-01-14,VVD,Mark Rutte (VVD),Activity,40
2021-01-14,VVD,Mark Rutte (VVD),Engagement,40613
2021-01-21,50PLUS,Liane den Haan (50PLUS),Activity,33
2021-01-21,50PLUS,Liane den Haan (50PLUS),Engagement,183
2021-01-21,BBB,Caroline van der Plas (BBB),Activity,453
2021-01-21,BBB,Caroline van der Plas (BBB),Engagement,3455
2021-01-21,BIJ1,Sylvana Simons (BIJ1),Activity,293
2021-01-21,BIJ1,Sylvana Simons (BIJ1),Engagement,5835
2021-01-21,CDA,Wopke Hoekstra (CDA),Activity,22
2021-01-21,CDA,Wopke Hoekstra (CDA),Engagement,2876
2021-01-21,CU,Gert-Jan Segers (CU),Activity,34
2021-01-21,CU,Gert-Jan Segers (CU),Engagement,10267
2021-01-21,D66,Sigird Kaag (D66),Activity,20
2021-01-21,D66,Sigird Kaag (D66),Engagement,5574
2021-01-21,DENK,Farid Azarkan (DENK),Activity,100
2021-01-21,DENK,Farid Azarkan (DENK),Engagement,5534
2021-01-21,FvD,Thierry Baudet (FvD),Activity,132
2021-01-21,FvD,Thierry Baudet (FvD),Engagement,100220
2021-01-21,GL,Jesse Klaver (GL),Activity,40
2021-01-21,GL,Jesse Klaver (GL),Engagement,24339
2021-01-21,JA21,Annabel Nanninga (JA21),Activity,24
2021-01-21,JA21,Annabel Nanninga (JA21),Engagement,1381
2021-01-21,JA21,Joost Eerdmans (JA21),Activity,12
2021-01-21,JA21,Joost Eerdmans (JA21),Engagement,410
2021-01-21,PvdA,Lilianne Ploumen (PvdA),Activity,13
2021-01-21,PvdA,Lilianne Ploumen (PvdA),Engagement,4960
2021-01-21,PvdD,Esther Ouwehand (PvdD),Activity,0
2021-01-21,PvdD,Esther Ouwehand (PvdD),Engagement,136
2021-01-21,PVV,Geert Wilders (PVV),Activity,85
2021-01-21,PVV,Geert Wilders (PVV),Engagement,233034
2021-01-21,SGP,Kees van der Staaij (SGP),Activity,16
2021-01-21,SGP,Kees van der Staaij (SGP),Engagement,2743
2021-01-21,SP,Lilian Marijnissen (SP),Activity,25
2021-01-21,SP,Lilian Marijnissen (SP),Engagement,12512
2021-01-21,Volt,Laurens Dassen (Volt),Activity,13
2021-01-21,Volt,Laurens Dassen (Volt),Engagement,296
2021-01-21,VVD,Mark Rutte (VVD),Activity,65
2021-01-21,VVD,Mark Rutte (VVD),Engagement,58297
2021-01-28,50PLUS,Liane den Haan (50PLUS),Activity,42
2021-01-28,50PLUS,Liane den Haan (50PLUS),Engagement,295
2021-01-28,BBB,Caroline van der Plas (BBB),Activity,378
2021-01-28,BBB,Caroline van der Plas (BBB),Engagement,3754
2021-01-28,BIJ1,Sylvana Simons (BIJ1),Activity,266
2021-01-28,BIJ1,Sylvana Simons (BIJ1),Engagement,5923
2021-01-28,CDA,Wopke Hoekstra (CDA),Activity,12
2021-01-28,CDA,Wopke Hoekstra (CDA),Engagement,2872
2021-01-28,CU,Gert-Jan Segers (CU),Activity,36
2021-01-28,CU,Gert-Jan Segers (CU),Engagement,5628
2021-01-28,D66,Sigird Kaag (D66),Activity,10
2021-01-28,D66,Sigird Kaag (D66),Engagement,4756
2021-01-28,DENK,Farid Azarkan (DENK),Activity,79
2021-01-28,DENK,Farid Azarkan (DENK),Engagement,4864
2021-01-28,FvD,Thierry Baudet (FvD),Activity,146
2021-01-28,FvD,Thierry Baudet (FvD),Engagement,95444
2021-01-28,GL,Jesse Klaver (GL),Activity,21
2021-01-28,GL,Jesse Klaver (GL),Engagement,11001
2021-01-28,JA21,Annabel Nanninga (JA21),Activity,19
2021-01-28,JA21,Annabel Nanninga (JA21),Engagement,140
2021-01-28,JA21,Joost Eerdmans (JA21),Activity,10
2021-01-28,JA21,Joost Eerdmans (JA21),Engagement,483
2021-01-28,PvdA,Lilianne Ploumen (PvdA),Activity,27
2021-01-28,PvdA,Lilianne Ploumen (PvdA),Engagement,10774
2021-01-28,PvdD,Esther Ouwehand (PvdD),Activity,0
2021-01-28,PvdD,Esther Ouwehand (PvdD),Engagement,417
2021-01-28,PVV,Geert Wilders (PVV),Activity,39
2021-01-28,PVV,Geert Wilders (PVV),Engagement,82632
2021-01-28,SGP,Kees van der Staaij (SGP),Activity,8
2021-01-28,SGP,Kees van der Staaij (SGP),Engagement,594
2021-01-28,SP,Lilian Marijnissen (SP),Activity,42
2021-01-28,SP,Lilian Marijnissen (SP),Engagement,14718
2021-01-28,Volt,Laurens Dassen (Volt),Activity,18
