k17,w0,w4,n
CDA,CDA,CDA,38
CDA,CDA,ChristenUnie,3
CDA,CDA,PvdA,2
CDA,CDA,PVV,2
CDA,CDA,VOLT,1
CDA,CDA,VVD,2
CDA,ChristenUnie,PVV,1
CDA,D66,CDA,1
CDA,D66,D66,1
CDA,Denk,VVD,1
CDA,PvdA,VVD,1
CDA,PVV,JA21,1
CDA,SGP,GL,1
CDA,SP,D66,1
CDA,SP,BBB,1
CDA,VVD,ChristenUnie,1
CDA,VVD,D66,1
CDA,VVD,VVD,5
CDA,50+,CDA,1
CDA,Other,CDA,1
CDA,?,CDA,5
CDA,?,D66,1
CDA,?,JA21,2
CDA,?,PvdA,1
CDA,?,VVD,3
CDA,?,FvD,1
CDA,?,Other,1
ChristenUnie,CDA,ChristenUnie,1
ChristenUnie,ChristenUnie,CDA,1
ChristenUnie,ChristenUnie,ChristenUnie,41
ChristenUnie,ChristenUnie,PvdA,2
ChristenUnie,ChristenUnie,SP,1
ChristenUnie,PvdA,PvdA,1
ChristenUnie,PVV,D66,1
ChristenUnie,PVV,PVV,1
ChristenUnie,SGP,FvD,1
ChristenUnie,PvdD,PvdD,2
ChristenUnie,?,CDA,1
ChristenUnie,?,ChristenUnie,4
ChristenUnie,?,D66,2
ChristenUnie,?,SGP,1
ChristenUnie,?,SP,1
ChristenUnie,?,VOLT,1
D66,CDA,D66,2
D66,CDA,JA21,1
D66,CDA,VOLT,1
D66,CDA,VVD,2
D66,ChristenUnie,CDA,1
D66,D66,CDA,1
D66,D66,D66,32
D66,D66,Denk,1
D66,D66,VOLT,1
D66,Denk,PvdA,1
D66,GL,D66,2
D66,GL,GL,2
D66,PvdA,PvdA,3
D66,PvdA,SP,2
D66,PVV,PVV,1
D66,PVV,SP,2
D66,SP,PvdA,1
D66,SP,SP,1
D66,SP,VVD,1
D66,VVD,D66,1
D66,VVD,VVD,2
D66,Other,D66,1
D66,Not,D66,1
D66,?,CDA,1
D66,?,D66,9
D66,?,PvdA,3
D66,?,SP,1
D66,?,PvdD,1
Denk,Denk,D66,1
Denk,Denk,Denk,2
Denk,?,Denk,1
GL,CDA,CDA,1
GL,CDA,ChristenUnie,1
GL,CDA,GL,1
GL,D66,D66,4
GL,D66,GL,2
GL,Denk,Denk,1
GL,GL,Bij1,2
GL,GL,D66,7
GL,GL,GL,27
GL,GL,PvdA,2
GL,GL,SP,1
GL,GL,VVD,2
GL,GL,FvD,1
GL,PvdA,GL,2
GL,PvdA,PvdA,8
GL,SP,GL,1
GL,SP,PvdA,1
GL,VVD,VVD,4
GL,PvdD,SP,2
GL,Other,Bij1,1
GL,Not,Other,1
GL,?,ChristenUnie,1
GL,?,D66,4
GL,?,Denk,1
GL,?,GL,10
GL,?,PvdA,4
GL,?,SP,3
GL,?,VVD,1
GL,?,PvdD,1
PvdA,CDA,SP,1
PvdA,CDA,VVD,1
PvdA,D66,D66,1
PvdA,D66,PvdA,1
PvdA,Denk,D66,1
PvdA,GL,GL,2
PvdA,PvdA,D66,1
PvdA,PvdA,GL,3
PvdA,PvdA,PvdA,32
PvdA,PvdA,SP,4
PvdA,PvdA,FvD,1
PvdA,PvdA,Other,1
PvdA,PVV,VVD,1
PvdA,PVV,Other,1
PvdA,SP,D66,1
PvdA,SP,PvdA,3
PvdA,SP,SP,4
PvdA,VVD,Bij1,1
PvdA,VVD,PvdA,1
PvdA,VVD,VVD,1
PvdA,FvD,VVD,1
PvdA,FvD,FvD,1
PvdA,PvdD,PvdD,1
PvdA,Other,BBB,1
PvdA,?,PvdA,7
PvdA,?,PVV,1
PvdA,?,SP,2
PvdA,?,VVD,1
PVV,CDA,CDA,1
PVV,CDA,PVV,1
PVV,ChristenUnie,SP,1
PVV,D66,VOLT,1
PVV,PVV,CDA,1
PVV,PVV,JA21,5
PVV,PVV,PVV,74
PVV,PVV,VVD,3
PVV,PVV,FvD,9
PVV,SP,D66,1
PVV,SP,SP,1
PVV,VVD,D66,1
PVV,VVD,JA21,1
PVV,VVD,PVV,2
PVV,VVD,VVD,2
PVV,FvD,FvD,6
PVV,50+,VVD,1
PVV,?,JA21,1
PVV,?,PVV,5
PVV,?,SP,1
PVV,?,Other,1
SGP,CDA,CDA,1
SGP,ChristenUnie,ChristenUnie,1
SGP,SGP,SGP,20
SGP,FvD,FvD,1
SGP,?,CDA,1
SP,CDA,PVV,1
SP,ChristenUnie,ChristenUnie,1
SP,D66,D66,1
SP,D66,PvdA,1
SP,D66,SP,1
SP,GL,SP,2
SP,GL,Other,1
SP,GL,Not,1
SP,PvdA,ChristenUnie,1
SP,PvdA,PvdA,4
SP,PvdA,SP,1
SP,PVV,PVV,4
SP,PVV,SP,1
SP,SP,CDA,1
SP,SP,D66,2
SP,SP,GL,1
SP,SP,PvdA,1
SP,SP,PVV,1
SP,SP,SP,52
SP,SP,VVD,1
SP,SP,FvD,1
SP,SP,PvdD,1
SP,SP,50+,1
SP,SP,Other,1
SP,VVD,PVV,1
SP,VVD,VVD,3
SP,FvD,FvD,2
SP,PvdD,PvdD,1
SP,Not,GL,1
SP,Not,SP,1
SP,?,Bij1,1
SP,?,D66,2
SP,?,SP,11
SP,?,VVD,2
SP,?,FvD,1
SP,?,PvdD,2
SP,?,Other,3
VVD,CDA,CDA,1
VVD,CDA,D66,1
VVD,CDA,GL,1
VVD,CDA,PVV,1
VVD,CDA,VVD,3
VVD,GL,GL,1
VVD,PvdA,VVD,3
VVD,PVV,ChristenUnie,1
VVD,PVV,PVV,3
VVD,PVV,VVD,1
VVD,SP,SP,2
VVD,VVD,CDA,1
VVD,VVD,D66,7
VVD,VVD,PVV,1
VVD,VVD,VOLT,3
VVD,VVD,VVD,112
VVD,VVD,FvD,1
VVD,VVD,BBB,1
VVD,FvD,Denk,1
VVD,FvD,VVD,1
VVD,PvdD,PVV,1
VVD,50+,CDA,1
VVD,50+,D66,1
VVD,Not,D66,1
VVD,?,CDA,1
VVD,?,ChristenUnie,1
VVD,?,D66,1
VVD,?,JA21,1
VVD,?,PVV,1
VVD,?,VVD,10
VVD,?,PvdD,1
VVD,?,50+,1
FvD,CDA,CDA,2
FvD,CDA,VVD,1
FvD,CDA,FvD,1
FvD,ChristenUnie,PVV,1
FvD,ChristenUnie,FvD,1
FvD,D66,CDA,1
FvD,D66,D66,1
FvD,D66,VVD,1
FvD,Denk,VVD,1
FvD,PvdA,PvdA,1
FvD,PvdA,FvD,1
FvD,PVV,PVV,14
FvD,PVV,SP,1
FvD,PVV,VVD,1
FvD,SP,PvdA,1
FvD,SP,SP,2
FvD,VVD,D66,1
FvD,VVD,JA21,1
FvD,VVD,PvdA,1
FvD,VVD,VVD,3
FvD,FvD,PVV,2
FvD,FvD,FvD,4
FvD,Other,JA21,3
FvD,Other,VVD,1
FvD,?,CDA,3
FvD,?,PVV,5
FvD,?,SP,3
FvD,?,VVD,1
FvD,?,FvD,1
PvdD,CDA,CDA,1
PvdD,ChristenUnie,50+,1
PvdD,GL,CDA,1
PvdD,GL,GL,1
PvdD,PVV,JA21,1
PvdD,PVV,SP,1
PvdD,VVD,SP,1
PvdD,FvD,PvdD,2
PvdD,PvdD,Bij1,1
PvdD,PvdD,D66,3
PvdD,PvdD,GL,1
PvdD,PvdD,SP,4
PvdD,PvdD,FvD,1
PvdD,PvdD,PvdD,15
PvdD,PvdD,Other,1
PvdD,50+,PVV,1
PvdD,50+,PvdD,1
PvdD,Other,PvdD,1
PvdD,?,GL,1
PvdD,?,SP,1
PvdD,?,FvD,1
PvdD,?,PvdD,3
50+,CDA,CDA,1
50+,CDA,VVD,1
50+,D66,D66,1
50+,GL,CDA,1
50+,PvdA,D66,2
50+,PvdA,PvdA,1
50+,PvdA,PVV,1
50+,PVV,ChristenUnie,1
50+,PVV,PVV,3
50+,PVV,SP,1
50+,PVV,PvdD,1
50+,SP,D66,1
50+,SP,SP,2
50+,VVD,CDA,1
50+,VVD,VVD,5
50+,50+,D66,1
50+,50+,JA21,1
50+,50+,PVV,2
50+,50+,SP,4
50+,50+,VVD,2
50+,50+,50+,1
50+,?,CDA,1
50+,?,D66,1
50+,?,PvdA,3
50+,?,SP,1
50+,?,VVD,1
50+,?,FvD,1
50+,?,50+,2
Other,GL,GL,1
