mtype,week,object,n,total,perc
Newspapers,2021-01-07,CDA,101,318,0.31761006289308175
Newspapers,2021-01-07,CU,41,318,0.1289308176100629
Newspapers,2021-01-07,D66,77,318,0.24213836477987422
Newspapers,2021-01-07,FvD,31,318,0.09748427672955975
Newspapers,2021-01-07,GL,61,318,0.1918238993710692
Newspapers,2021-01-07,PvdA,74,318,0.23270440251572327
Newspapers,2021-01-07,PVV,56,318,0.1761006289308176
Newspapers,2021-01-07,SP,38,318,0.11949685534591195
Newspapers,2021-01-07,VVD,154,318,0.48427672955974843
Newspapers,2021-01-14,CDA,141,430,0.32790697674418606
Newspapers,2021-01-14,CU,73,430,0.1697674418604651
Newspapers,2021-01-14,D66,161,430,0.3744186046511628
Newspapers,2021-01-14,FvD,32,430,0.07441860465116279
Newspapers,2021-01-14,GL,106,430,0.24651162790697675
Newspapers,2021-01-14,PvdA,161,430,0.3744186046511628
Newspapers,2021-01-14,PVV,65,430,0.1511627906976744
Newspapers,2021-01-14,SP,76,430,0.17674418604651163
Newspapers,2021-01-14,VVD,268,430,0.6232558139534884
Newspapers,2021-01-21,CDA,119,348,0.34195402298850575
Newspapers,2021-01-21,CU,33,348,0.09482758620689655
Newspapers,2021-01-21,D66,114,348,0.3275862068965517
Newspapers,2021-01-21,FvD,42,348,0.1206896551724138
Newspapers,2021-01-21,GL,77,348,0.22126436781609196
Newspapers,2021-01-21,PvdA,67,348,0.1925287356321839
Newspapers,2021-01-21,PVV,74,348,0.21264367816091953
Newspapers,2021-01-21,SP,55,348,0.15804597701149425
Newspapers,2021-01-21,VVD,187,348,0.5373563218390804
Newspapers,2021-01-28,CDA,129,340,0.37941176470588234
Newspapers,2021-01-28,CU,37,340,0.10882352941176471
Newspapers,2021-01-28,D66,80,340,0.23529411764705882
Newspapers,2021-01-28,FvD,39,340,0.11470588235294117
Newspapers,2021-01-28,GL,66,340,0.19411764705882353
Newspapers,2021-01-28,PvdA,53,340,0.15588235294117647
Newspapers,2021-01-28,PVV,48,340,0.1411764705882353
Newspapers,2021-01-28,SP,43,340,0.1264705882352941
Newspapers,2021-01-28,VVD,156,340,0.4588235294117647
Newspapers,2021-02-04,CDA,142,378,0.37566137566137564
Newspapers,2021-02-04,CU,52,378,0.13756613756613756
Newspapers,2021-02-04,D66,107,378,0.2830687830687831
Newspapers,2021-02-04,FvD,46,378,0.12169312169312169
Newspapers,2021-02-04,GL,91,378,0.24074074074074073
Newspapers,2021-02-04,PvdA,84,378,0.2222222222222222
Newspapers,2021-02-04,PVV,71,378,0.18783068783068782
Newspapers,2021-02-04,SP,64,378,0.1693121693121693
Newspapers,2021-02-04,VVD,193,378,0.5105820105820106
Newspapers,2021-02-11,CDA,127,357,0.3557422969187675
Newspapers,2021-02-11,CU,45,357,0.12605042016806722
Newspapers,2021-02-11,D66,96,357,0.2689075630252101
Newspapers,2021-02-11,FvD,43,357,0.12044817927170869
Newspapers,2021-02-11,GL,73,357,0.20448179271708683
Newspapers,2021-02-11,PvdA,89,357,0.24929971988795518
Newspapers,2021-02-11,PVV,83,357,0.23249299719887956
Newspapers,2021-02-11,SP,68,357,0.19047619047619047
Newspapers,2021-02-11,VVD,176,357,0.49299719887955185
Newspapers,2021-02-18,CDA,147,402,0.3656716417910448
Newspapers,2021-02-18,CU,50,402,0.12437810945273632
Newspapers,2021-02-18,D66,115,402,0.2860696517412935
Newspapers,2021-02-18,FvD,68,402,0.1691542288557214
Newspapers,2021-02-18,GL,101,402,0.2512437810945274
Newspapers,2021-02-18,PvdA,108,402,0.26865671641791045
Newspapers,2021-02-18,PVV,67,402,0.16666666666666666
Newspapers,2021-02-18,SP,85,402,0.21144278606965175
Newspapers,2021-02-18,VVD,193,402,0.48009950248756217
Newspapers,2021-02-25,CDA,226,512,0.44140625
Newspapers,2021-02-25,CU,100,512,0.1953125
Newspapers,2021-02-25,D66,208,512,0.40625
Newspapers,2021-02-25,FvD,89,512,0.173828125
Newspapers,2021-02-25,GL,171,512,0.333984375
Newspapers,2021-02-25,PvdA,157,512,0.306640625
Newspapers,2021-02-25,PVV,100,512,0.1953125
Newspapers,2021-02-25,SP,139,512,0.271484375
Newspapers,2021-02-25,VVD,282,512,0.55078125
Newspapers,2021-03-04,CDA,206,516,0.3992248062015504
Newspapers,2021-03-04,CU,77,516,0.14922480620155038
Newspapers,2021-03-04,D66,189,516,0.36627906976744184
Newspapers,2021-03-04,FvD,92,516,0.17829457364341086
Newspapers,2021-03-04,GL,132,516,0.2558139534883721
Newspapers,2021-03-04,PvdA,147,516,0.28488372093023256
Newspapers,2021-03-04,PVV,114,516,0.22093023255813954
Newspapers,2021-03-04,SP,95,516,0.18410852713178294
Newspapers,2021-03-04,VVD,258,516,0.5
Newspapers,2021-03-11,CDA,221,482,0.45850622406639
Newspapers,2021-03-11,CU,98,482,0.2033195020746888
Newspapers,2021-03-11,D66,199,482,0.41286307053941906
Newspapers,2021-03-11,FvD,114,482,0.23651452282157676
