wave,variable,varlabel,name,value,fillcolor
w0,B2,Opgevallen,50Plus,0.7019806540764625,6.201980654076462
w0,B2,Opgevallen,CDA,1.6780285582680792,7.178028558268079
w0,B2,Opgevallen,CU,1.0492860432980193,6.54928604329802
w0,B2,Opgevallen,D66,1.2717641639797328,6.771764163979733
w0,B2,Opgevallen,Denk,0.9341317365269461,6.434131736526946
w0,B2,Opgevallen,FvD,1.8369415016121602,7.33694150161216
w0,B2,Opgevallen,GL,1.596038691847075,7.096038691847075
w0,B2,Opgevallen,PvdA,1.9401197604790419,7.440119760479042
w0,B2,Opgevallen,PvdD,0.7121142330723169,6.212114233072317
w0,B2,Opgevallen,PVV,1.847535697835099,7.347535697835099
w0,B2,Opgevallen,SGP,0.8668816213726394,6.36688162137264
w0,B2,Opgevallen,SP,1.3454629203132198,6.84546292031322
w0,B2,Opgevallen,VVD,2.4790419161676644,7.979041916167665
w0,B3,Positief / Negatief,50Plus,5.3884297520661155,5.3884297520661155
w0,B3,Positief / Negatief,CDA,5.782735918068764,5.782735918068764
w0,B3,Positief / Negatief,CU,6.22847100175747,6.22847100175747
w0,B3,Positief / Negatief,D66,5.675294117647059,5.675294117647059
w0,B3,Positief / Negatief,Denk,3.826171875,3.826171875
w0,B3,Positief / Negatief,FvD,2.848127600554785,2.848127600554785
w0,B3,Positief / Negatief,GL,5.220298977183321,5.220298977183321
w0,B3,Positief / Negatief,PvdA,4.919085855466337,4.919085855466337
w0,B3,Positief / Negatief,PvdD,6.25984251968504,6.25984251968504
w0,B3,Positief / Negatief,PVV,4.7774834437086096,4.7774834437086096
w0,B3,Positief / Negatief,SGP,5.762569832402234,5.762569832402234
w0,B3,Positief / Negatief,SP,6.093555093555094,6.093555093555094
w0,B3,Positief / Negatief,VVD,5.374312843578211,5.374312843578211
w1,B2,Opgevallen,50Plus,0.7556313993174062,6.255631399317406
w1,B2,Opgevallen,CDA,1.6887372013651878,7.188737201365187
w1,B2,Opgevallen,CU,1.1399317406143346,6.639931740614335
w1,B2,Opgevallen,D66,1.3733788395904436,6.873378839590444
w1,B2,Opgevallen,Denk,1.0368600682593856,6.536860068259386
w1,B2,Opgevallen,FvD,1.649146757679181,7.149146757679181
w1,B2,Opgevallen,GL,1.581569965870307,7.081569965870307
w1,B2,Opgevallen,PvdA,1.4293515358361775,6.929351535836178
w1,B2,Opgevallen,PvdD,0.7815699658703071,6.2815699658703075
w1,B2,Opgevallen,PVV,1.8880546075085325,7.388054607508533
w1,B2,Opgevallen,SGP,0.9119453924914676,6.411945392491468
w1,B2,Opgevallen,SP,1.4245733788395905,6.9245733788395905
w1,B2,Opgevallen,VVD,2.2996587030716724,7.799658703071673
w1,B3,Positief / Negatief,50Plus,5.8342857142857145,5.8342857142857145
w1,B3,Positief / Negatief,CDA,5.848101265822785,5.848101265822785
w1,B3,Positief / Negatief,CU,6.363829787234042,6.363829787234042
w1,B3,Positief / Negatief,D66,5.617339312406577,5.617339312406577
w1,B3,Positief / Negatief,Denk,3.902200488997555,3.902200488997555
w1,B3,Positief / Negatief,FvD,3.197149643705463,3.197149643705463
w1,B3,Positief / Negatief,GL,5.3125,5.3125
w1,B3,Positief / Negatief,PvdA,6.161684782608695,6.161684782608695
w1,B3,Positief / Negatief,PvdD,6.128342245989304,6.128342245989304
w1,B3,Positief / Negatief,PVV,4.688760806916426,4.688760806916426
w1,B3,Positief / Negatief,SGP,5.879699248120301,5.879699248120301
w1,B3,Positief / Negatief,SP,6.166898470097357,6.166898470097357
w1,B3,Positief / Negatief,VVD,5.714399363564041,5.714399363564041
w2,B2,Opgevallen,50Plus,0.7527733755942948,6.252773375594295
w2,B2,Opgevallen,CDA,1.676703645007924,7.176703645007924
w2,B2,Opgevallen,CU,1.1053882725832012,6.605388272583201
w2,B2,Opgevallen,D66,1.3264659270998416,6.826465927099841
w2,B2,Opgevallen,Denk,1.067353407290016,6.567353407290016
w2,B2,Opgevallen,FvD,1.8549920760697305,7.35499207606973
w2,B2,Opgevallen,GL,1.4374009508716323,6.937400950871632
w2,B2,Opgevallen,PvdA,1.3993660855784469,6.899366085578447
w2,B2,Opgevallen,PvdD,0.9603803486529319,6.460380348652932
w2,B2,Opgevallen,PVV,1.93026941362916,7.43026941362916
w2,B2,Opgevallen,SGP,1.172741679873217,6.6727416798732175
w2,B2,Opgevallen,SP,1.3938193343898573,6.893819334389857
w2,B2,Opgevallen,VVD,2.281299524564184,7.781299524564184
