id,value,n,perc
Gender,female,442,0.49
Gender,male,451,0.51
Ideologie,Links,169,0.19
Ideologie,Midden,330,0.37
Ideologie,Rechts,270,0.3
Leeftijd,<24,106,0.12
Leeftijd,>64,192,0.22
Leeftijd,25-34,177,0.2
Leeftijd,35-44,118,0.13
Leeftijd,45-54,168,0.19
Leeftijd,55-64,132,0.15
Opleiding,Geen informatie,2,0
Opleiding,Hoog opgeleid,309,0.35
Opleiding,Laag opgeleid,230,0.26
Opleiding,Medium opgeleid,352,0.39
Regio,Een van de 3 grote steden,135,0.15
Regio,Het noorden,81,0.09
Regio,Het oosten,194,0.22
Regio,Het westen,285,0.32
Regio,Het zuiden,198,0.22
Spiral of Silence,Alleen tegen bekenden ,551,0.62
Spiral of Silence,Houd mening voor me,109,0.12
Spiral of Silence,Kom altijd voor mening uit,233,0.26
Stemmen,Ja,793,0.89
Stemmen,Nee,21,0.02
Stemmen,Weet niet,79,0.09
Stemvoorkeur,50Plus,13,0.01
Stemvoorkeur,Andere,11,0.01
Stemvoorkeur,Blanco,13,0.01
Stemvoorkeur,CDA,69,0.08
Stemvoorkeur,CU,45,0.05
Stemvoorkeur,D66,36,0.04
Stemvoorkeur,Denk,5,0.01
Stemvoorkeur,FvD,11,0.01
Stemvoorkeur,GL,51,0.06
Stemvoorkeur,PvD,23,0.03
Stemvoorkeur,PvdA,87,0.1
Stemvoorkeur,PVV,100,0.11
Stemvoorkeur,SGP,9,0.01
Stemvoorkeur,SP,79,0.09
Stemvoorkeur,VVD,186,0.21
Stemvoorkeur,Weet niet,155,0.17
Vaccineren,Doen,168,0.19
Vaccineren,Niet doen,81,0.09
Vaccineren,Zeer zeker doen,600,0.67
Vaccineren,Zeer zeker niet doen,44,0.05
Vertrouwen banken & grote bedrijven,Medium vertrouwen,442,0.49
Vertrouwen banken & grote bedrijven,Veel vertrouwen,102,0.11
Vertrouwen banken & grote bedrijven,Weinig vertrouwen,202,0.23
Vertrouwen democratie,Medium vertrouwen,264,0.3
Vertrouwen democratie,Veel vertrouwen,343,0.38
Vertrouwen democratie,Weinig vertrouwen,139,0.16
Vertrouwen EU,Medium vertrouwen,315,0.35
Vertrouwen EU,Veel vertrouwen,269,0.3
Vertrouwen EU,Weinig vertrouwen,162,0.18
Vertrouwen journalistiek,Medium vertrouwen,293,0.33
Vertrouwen journalistiek,Veel vertrouwen,256,0.29
Vertrouwen journalistiek,Weinig vertrouwen,197,0.22
Vertrouwen NL politiek,Medium vertrouwen,399,0.45
Vertrouwen NL politiek,Veel vertrouwen,180,0.2
Vertrouwen NL politiek,Weinig vertrouwen,167,0.19
Vertrouwen wetenschap,Medium vertrouwen,182,0.2
Vertrouwen wetenschap,Veel vertrouwen,507,0.57
Vertrouwen wetenschap,Weinig vertrouwen,57,0.06
