partij,name,gem
50+ & Liane den Haan,Waardering,5.7
50+ & Liane den Haan,Zichtbaarheid,2
CDA & Wopke Hoekstra,Waardering,5.9
CDA & Wopke Hoekstra,Zichtbaarheid,2
CU & Gert-Jan Segers,Waardering,5.9
CU & Gert-Jan Segers,Zichtbaarheid,1.5
D66 & Sigrid Kaag,Waardering,5.7
D66 & Sigrid Kaag,Zichtbaarheid,2
Denk & Farid Azarkan,Waardering,3.6
Denk & Farid Azarkan,Zichtbaarheid,2
FvD & Thierry Baudet,Waardering,3
FvD & Thierry Baudet,Zichtbaarheid,2
GL & Jesse Klaver,Waardering,5.2
GL & Jesse Klaver,Zichtbaarheid,2
PvdA & Lilianne Ploumen,Waardering,6
PvdA & Lilianne Ploumen,Zichtbaarheid,2
PvdD & Esther Ouwehand,Waardering,5.9
PvdD & Esther Ouwehand,Zichtbaarheid,1.2
PVV & Geert Wilders,Waardering,4.3
PVV & Geert Wilders,Zichtbaarheid,2
SGP  & Kees van der Staaij,Waardering,5.5
SGP  & Kees van der Staaij,Zichtbaarheid,2
SP & Lilian Marijnissen,Waardering,6
SP & Lilian Marijnissen,Zichtbaarheid,2
VVD & Mark Rutte,Waardering,5.6
VVD & Mark Rutte,Zichtbaarheid,2
