iisID,A2_1,A2_0
9,VVD,Weet niet
80,SP,Weet niet
94,D66,VVD
152,VVD,PVV
128,PvdA,D66
66,VVD,Weet niet
38,PVV,Weet niet
35,VVD,Weet niet
140,PvdA,CU
142,PVV,PvdA
8,PVV,Weet niet
167,PVV,Weet niet
54,CDA,Weet niet
169,VVD,VVD
74,SP,Weet niet
91,CDA,SP
44,VVD,Weet niet
163,PvD,Weet niet
101,PvD,SGP
118,SP,PVV
1,PvdA,Weet niet
171,VVD,Weet niet
77,PvD,VVD
73,VVD,CDA
145,PVV,Weet niet
109,SP,Weet niet
45,PVV,SGP
68,50Plus,PVV
107,VVD,Weet niet
96,SP,VVD
33,Weet niet,Weet niet
113,PVV,Weet niet
139,PVV,VVD
165,SP,CU
144,CDA,VVD
55,Weet niet,Andere
150,D66,Weet niet
76,VVD,GL
36,GL,VVD
42,Andere,Weet niet
34,SGP,Weet niet
12,PvdA,Weet niet
168,PVV,VVD
16,SP,VVD
27,VVD,SP
6,VVD,VVD
170,CU,Weet niet
147,CDA,PVV
120,SP,Weet niet
10,PvdA,Weet niet
64,PvdA,Weet niet
92,SP,VVD
1239,SP,Weet niet
23,Weet niet,Weet niet
116,SP,D66
99,VVD,Weet niet
1235,SP,PVV
122,CU,Weet niet
1190,PVV,Weet niet
1395,VVD,Weet niet
40,Weet niet,Weet niet
1359,VVD,VVD
47,GL,VVD
1444,PvdA,Weet niet
1219,SP,Weet niet
1281,CDA,Weet niet
1401,CDA,PVV
1351,Blanco,Weet niet
103,CU,Weet niet
1472,SGP,CDA
106,GL,Weet niet
148,PVV,SP
1314,CDA,Weet niet
89,VVD,50Plus
1303,GL,Weet niet
1328,VVD,Weet niet
132,SP,Weet niet
1398,SP,Weet niet
1329,SP,FvD
1288,Weet niet,PvdA
63,VVD,PVV
1186,CU,Weet niet
158,PvdA,Weet niet
59,PVV,Weet niet
1216,VVD,PVV
104,CDA,PvD
164,VVD,VVD
1277,VVD,Weet niet
1268,VVD,Weet niet
1409,PvdA,Weet niet
1482,VVD,Weet niet
141,CDA,CDA
1465,VVD,Weet niet
1227,VVD,VVD
1451,Weet niet,Weet niet
1419,VVD,Weet niet
1185,SP,Weet niet
1410,CDA,Weet niet
1270,Weet niet,Weet niet
1202,CDA,GL
1455,PVV,Weet niet
1393,PVV,Weet niet
1386,VVD,Weet niet
1469,Weet niet,Weet niet
1481,SP,CDA
1412,50Plus,Weet niet
1434,Weet niet,VVD
1365,50Plus,PvdA
1221,VVD,SP
1323,VVD,Weet niet
1179,PVV,CDA
1428,PvdA,Weet niet
1388,VVD,Weet niet
1475,Weet niet,VVD
1220,SP,Weet niet
1457,D66,Weet niet
1294,PvdA,Weet niet
1291,SP,Weet niet
1384,SP,Weet niet
1354,VVD,D66
1476,GL,Weet niet
1413,D66,Weet niet
1315,VVD,VVD
1477,VVD,Weet niet
1353,50Plus,Weet niet
65,Weet niet,GL
1255,VVD,PVV
1402,SP,SP
1237,Weet niet,Weet niet
1415,FvD,FvD
1324,50Plus,Weet niet
1355,VVD,VVD
