feature,frequency,rank,docfreq,group
rt,257,1,1,F_azarkan
@denknl,71,2,1,F_azarkan
@f_azarkan,40,3,1,F_azarkan
denk,36,4,1,F_azarkan
#denkanders,26,5,1,F_azarkan
we,23,6,1,F_azarkan
@tunahankuzu,22,7,1,F_azarkan
vandaag,21,8,1,F_azarkan
mensen,20,9,1,F_azarkan
discriminatie,19,10,1,F_azarkan
motie,19,10,1,F_azarkan
onze,18,12,1,F_azarkan
campagne,17,13,1,F_azarkan
#toeslagenaffaire,15,14,1,F_azarkan
@stephanvbaarle,15,14,1,F_azarkan
kabinet,14,16,1,F_azarkan
gaat,14,16,1,F_azarkan
alle,13,18,1,F_azarkan
stem,12,19,1,F_azarkan
racisme,11,20,1,F_azarkan
overheid,11,20,1,F_azarkan
daarom,11,20,1,F_azarkan
#17maart2021,11,20,1,F_azarkan
begonnen,11,20,1,F_azarkan
gaan,10,25,1,F_azarkan
@natashahoesein,10,25,1,F_azarkan
belastingdienst,10,25,1,F_azarkan
tijd,10,25,1,F_azarkan
weer,10,25,1,F_azarkan
rutte,9,30,1,F_azarkan
wel,9,30,1,F_azarkan
echt,9,30,1,F_azarkan
nederland,9,30,1,F_azarkan
waar,9,30,1,F_azarkan
waarom,9,30,1,F_azarkan
onderzoek,9,30,1,F_azarkan
laat,9,30,1,F_azarkan
mee,8,38,1,F_azarkan
tweede,8,38,1,F_azarkan
jongeren,8,38,1,F_azarkan
maakt,8,38,1,F_azarkan
ouders,8,38,1,F_azarkan
o,8,38,1,F_azarkan
goed,8,38,1,F_azarkan
maart,8,38,1,F_azarkan
anders,8,38,1,F_azarkan
rotterdam,8,38,1,F_azarkan
komen,7,48,1,F_azarkan
gediscrimineerd,7,48,1,F_azarkan
gemaakt,7,48,1,F_azarkan
tijdens,7,48,1,F_azarkan
@pieterkleinrtl,7,48,1,F_azarkan
azarkan,7,48,1,F_azarkan
iedereen,7,48,1,F_azarkan
17,7,48,1,F_azarkan
diende,7,48,1,F_azarkan
politie,7,48,1,F_azarkan
staan,7,48,1,F_azarkan
wij,7,48,1,F_azarkan
burgers,7,48,1,F_azarkan
@buitenhoftv,7,48,1,F_azarkan
15,7,48,1,F_azarkan
samen,6,63,1,F_azarkan
willen,6,63,1,F_azarkan
politieke,6,63,1,F_azarkan
partijen,6,63,1,F_azarkan
kamer,6,63,1,F_azarkan
jij,6,63,1,F_azarkan
3,6,63,1,F_azarkan
@pieteromtzigt,6,63,1,F_azarkan
d,6,63,1,F_azarkan
hele,6,63,1,F_azarkan
1,6,63,1,F_azarkan
2,6,63,1,F_azarkan
jaar,6,63,1,F_azarkan
vergeet,6,63,1,F_azarkan
aangenomen,6,63,1,F_azarkan
land,6,63,1,F_azarkan
#denk,6,63,1,F_azarkan
vanaf,6,63,1,F_azarkan
extra,6,63,1,F_azarkan
@nrc,5,82,1,F_azarkan
mooie,5,82,1,F_azarkan
stemmen,5,82,1,F_azarkan
valt,5,82,1,F_azarkan
den,5,82,1,F_azarkan
haag,5,82,1,F_azarkan
@tahsinbulbul3,5,82,1,F_azarkan
alleen,5,82,1,F_azarkan
@minpres,5,82,1,F_azarkan
aantal,5,82,1,F_azarkan
etnisch,5,82,1,F_azarkan
weten,5,82,1,F_azarkan
gewoon,5,82,1,F_azarkan
eindelijk,5,82,1,F_azarkan
nationaliteit,5,82,1,F_azarkan
werden,5,82,1,F_azarkan
nooit,5,82,1,F_azarkan
gebeuren,5,82,1,F_azarkan
politiek,5,82,1,F_azarkan
farid,5,82,1,F_azarkan
samenleving,5,82,1,F_azarkan
pvv,5,82,1,F_azarkan
thierry,5,82,1,F_azarkan
achter,5,82,1,F_azarkan
@jboppositie,5,82,1,F_azarkan
verkiezingen,5,82,1,F_azarkan
#stemdenk,5,82,1,F_azarkan
16,5,82,1,F_azarkan
@denkdenhaag,5,82,1,F_azarkan
@christenvdenk,5,82,1,F_azarkan
😳,5,82,1,F_azarkan
steeds,5,82,1,F_azarkan
nederlanders,4,114,1,F_azarkan
kijk,4,114,1,F_azarkan
jouw,4,114,1,F_azarkan
jou,4,114,1,F_azarkan
amersfoort,4,114,1,F_azarkan
@denk_amsterdam,4,114,1,F_azarkan
@yaskeay,4,114,1,F_azarkan
bijna,4,114,1,F_azarkan
keer,4,114,1,F_azarkan
groot,4,114,1,F_azarkan
zoals,4,114,1,F_azarkan
kracht,4,114,1,F_azarkan
toe,4,114,1,F_azarkan
partij,4,114,1,F_azarkan
weinig,4,114,1,F_azarkan
profileren,4,114,1,F_azarkan
@avinashbhikhie,4,114,1,F_azarkan
toeslagenaffaire,4,114,1,F_azarkan
vaak,4,114,1,F_azarkan
ontvangen,4,114,1,F_azarkan
s,4,114,1,F_azarkan
verschillende,4,114,1,F_azarkan
@nos,4,114,1,F_azarkan
@sjenettt,4,114,1,F_azarkan
t,4,114,1,F_azarkan
fraudeur,4,114,1,F_azarkan
dubbele,4,114,1,F_azarkan
amp,4,114,1,F_azarkan
kapot,4,114,1,F_azarkan
mag,4,114,1,F_azarkan
zien,4,114,1,F_azarkan
@overlistener,4,114,1,F_azarkan
#rutte,4,114,1,F_azarkan
discrimineren,4,114,1,F_azarkan
zetels,4,114,1,F_azarkan
#tk2021,4,114,1,F_azarkan
aandacht,4,114,1,F_azarkan
@keesvee,4,114,1,F_azarkan
wilders,4,114,1,F_azarkan
rapport,4,114,1,F_azarkan
via,4,114,1,F_azarkan
steunt,4,114,1,F_azarkan
dag,4,114,1,F_azarkan
ieder,4,114,1,F_azarkan
zwarte,4,114,1,F_azarkan
lijsten,4,114,1,F_azarkan
vanavond,4,114,1,F_azarkan
houden,4,114,1,F_azarkan
wet,4,114,1,F_azarkan
algoritmes,4,114,1,F_azarkan
ondernemers,4,114,1,F_azarkan
amsterdam,4,114,1,F_azarkan
één,4,114,1,F_azarkan
af,4,114,1,F_azarkan
gebruik,4,114,1,F_azarkan
volgens,4,114,1,F_azarkan
gelukkig,4,114,1,F_azarkan
#rotterdam,4,114,1,F_azarkan
@drzemouri,4,114,1,F_azarkan
@esariakce,4,114,1,F_azarkan
kinderen,4,114,1,F_azarkan
e,4,114,1,F_azarkan
@denknl⁩,4,114,1,F_azarkan
