publisher,party,perc
De Vooravond,50Plus,0.029411764705882353
De Vooravond,BBB,0.00980392156862745
De Vooravond,Bij1,0.0196078431372549
De Vooravond,CDA,0.10784313725490197
De Vooravond,CodeOranje,0.00980392156862745
De Vooravond,CU,0.0392156862745098
De Vooravond,D66,0.11764705882352941
De Vooravond,Denk,0.0196078431372549
De Vooravond,FvD,0.058823529411764705
De Vooravond,GL,0.10784313725490197
De Vooravond,JA21,0.029411764705882353
De Vooravond,PvdA,0.0392156862745098
De Vooravond,PvdD,0.029411764705882353
De Vooravond,PVV,0.06862745098039216
De Vooravond,SGP,0.0196078431372549
De Vooravond,SP,0.0784313725490196
De Vooravond,Volt,0.0392156862745098
De Vooravond,VVD,0.17647058823529413
EenVandaag,50Plus,0.011834319526627219
EenVandaag,BBB,0.005917159763313609
EenVandaag,Bij1,0.011834319526627219
EenVandaag,CDA,0.1242603550295858
EenVandaag,CodeOranje,0.005917159763313609
EenVandaag,CU,0.05917159763313609
EenVandaag,D66,0.1242603550295858
EenVandaag,Denk,0.01775147928994083
EenVandaag,FvD,0.05325443786982249
EenVandaag,GL,0.11242603550295859
EenVandaag,JA21,0.023668639053254437
EenVandaag,PvdA,0.05917159763313609
EenVandaag,PvdD,0.01775147928994083
EenVandaag,PVV,0.08284023668639054
EenVandaag,SGP,0.023668639053254437
EenVandaag,SP,0.07100591715976332
EenVandaag,Volt,0.011834319526627219
EenVandaag,VVD,0.1834319526627219
Goedemorgen NL,50Plus,0.018808777429467086
Goedemorgen NL,BBB,0.003134796238244514
Goedemorgen NL,Bij1,0.006269592476489028
Goedemorgen NL,CDA,0.11285266457680251
Goedemorgen NL,CodeOranje,0.009404388714733543
Goedemorgen NL,CU,0.05329153605015674
Goedemorgen NL,D66,0.11285266457680251
Goedemorgen NL,Denk,0.03761755485893417
Goedemorgen NL,FvD,0.07210031347962383
Goedemorgen NL,GL,0.08463949843260188
Goedemorgen NL,JA21,0.034482758620689655
Goedemorgen NL,PvdA,0.07836990595611286
Goedemorgen NL,PvdD,0.0219435736677116
Goedemorgen NL,PVV,0.09717868338557993
Goedemorgen NL,SGP,0.034482758620689655
Goedemorgen NL,SP,0.06269592476489028
Goedemorgen NL,Volt,0.018808777429467086
Goedemorgen NL,VVD,0.14106583072100312
M,50Plus,0.01904761904761905
M,BBB,0
M,Bij1,0.009523809523809525
M,CDA,0.1619047619047619
M,CodeOranje,0
M,CU,0.06666666666666667
M,D66,0.09523809523809523
M,Denk,0.02857142857142857
M,FvD,0.0380952380952381
M,GL,0.09523809523809523
M,JA21,0
M,PvdA,0.10476190476190476
M,PvdD,0.01904761904761905
M,PVV,0.10476190476190476
M,SGP,0.009523809523809525
M,SP,0.0761904761904762
M,Volt,0
M,VVD,0.17142857142857143
NOS Journaal 20h,50Plus,0.01744186046511628
NOS Journaal 20h,BBB,0
NOS Journaal 20h,Bij1,0.01744186046511628
NOS Journaal 20h,CDA,0.11627906976744186
NOS Journaal 20h,CodeOranje,0.023255813953488372
NOS Journaal 20h,CU,0.029069767441860465
NOS Journaal 20h,D66,0.13953488372093023
NOS Journaal 20h,Denk,0.029069767441860465
NOS Journaal 20h,FvD,0.05232558139534884
NOS Journaal 20h,GL,0.08139534883720931
NOS Journaal 20h,JA21,0.01744186046511628
NOS Journaal 20h,PvdA,0.09883720930232558
NOS Journaal 20h,PvdD,0.03488372093023256
NOS Journaal 20h,PVV,0.08139534883720931
NOS Journaal 20h,SGP,0.011627906976744186
NOS Journaal 20h,SP,0.046511627906976744
NOS Journaal 20h,Volt,0.029069767441860465
NOS Journaal 20h,VVD,0.1744186046511628
Op1,50Plus,0.01646090534979424
Op1,BBB,0.00411522633744856
Op1,Bij1,0.012345679012345678
Op1,CDA,0.13991769547325103
Op1,CodeOranje,0.012345679012345678
Op1,CU,0.053497942386831275
Op1,D66,0.09876543209876543
Op1,Denk,0.00411522633744856
Op1,FvD,0.053497942386831275
Op1,GL,0.09053497942386832
Op1,JA21,0.0205761316872428
Op1,PvdA,0.09053497942386832
Op1,PvdD,0.0411522633744856
Op1,PVV,0.07818930041152264
Op1,SGP,0.024691358024691357
Op1,SP,0.07407407407407407
Op1,Volt,0.00411522633744856
Op1,VVD,0.18106995884773663
Peilingen,50Plus,0.006666666666666667
Peilingen,BBB,0
Peilingen,Bij1,0
Peilingen,CDA,0.13333333333333333
Peilingen,CodeOranje,0
Peilingen,CU,0.04
Peilingen,D66,0.1
Peilingen,Denk,0.013333333333333334
Peilingen,FvD,0.02
Peilingen,GL,0.07333333333333333
Peilingen,JA21,0.006666666666666667
Peilingen,PvdA,0.08
Peilingen,PvdD,0.04666666666666667
Peilingen,PVV,0.14666666666666667
Peilingen,SGP,0.013333333333333334
Peilingen,SP,0.06666666666666667
Peilingen,Volt,0
Peilingen,VVD,0.25333333333333335
