naam,show,date,correct,corona,gender,migratie,vakgebied,wetenschap,partij,polfunctie,Datum,GEM
barbara baarsma,Op1,2020-10-13,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,10/13/2020,1094000
barbara baarsma,DWDD,2020-03-16,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,03/16/2020,3894000
barbara baarsma,M,2020-11-04,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,11/04/2020,1198000
barbara baarsma,M,2020-06-08,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,06/08/2020,835000
barbara baarsma,M,2020-05-15,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,05/15/2020,943000
barbara baarsma,Beau,2020-12-07,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,12/07/2020,1081000
barbara baarsma,Jinek,2020-09-10,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,09/10/2020,607000
barbara baarsma,Jinek,2021-02-01,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,02/01/2021,1080000
barbara baarsma,Humberto,2021-02-21,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,02/21/2021,662000
barbara baarsma,Jinek,2020-03-13,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,03/13/2020,1075000
barbara baarsma,Jinek,2020-03-19,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,03/19/2020,793000
barbara baarsma,Jinek,2020-04-06,NA,1,v,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,04/06/2020,888000
barbara barend,Op1,2020-08-17,NA,0,v,0,Journalist,NA,NA,NA,08/17/2020,944000
barbara barend,Op1,2020-08-04,NA,0,v,0,Journalist,NA,NA,NA,08/04/2020,1020000
barbara barend,M,2020-06-26,NA,0,v,0,Journalist,NA,NA,NA,06/26/2020,635000
barbara rijlaarsdam,Op1,2020-05-07,NA,1,v,0,Journalist,NA,NA,NA,05/07/2020,1112000
barbara rijlaarsdam,Op1,2020-04-09,NA,1,v,0,Journalist,NA,NA,NA,04/09/2020,1317000
barbara rijlaarsdam,Op1,2020-03-26,NA,1,v,0,Journalist,NA,NA,NA,03/26/2020,1161000
barbara takacs,Op1,2020-04-02,NA,1,v,0,Medisch personeel,NA,NA,NA,04/02/2020,1076000
barrie stevens,Op1,2020-05-01,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,05/01/2020,1062000
barry atsma,Op1,2020-09-22,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,09/22/2020,940000
barry hay,DWDD,2020-03-24,NA,0,m,0,Muzikant,NA,NA,NA,03/24/2020,1973000
bart berden,Jinek,2020-03-16,NA,0,m,0,Medisch personeel,NA,NA,NA,03/16/2020,1006000
bart berden,Jinek,2020-03-24,NA,0,m,0,Medisch personeel,NA,NA,NA,03/24/2020,775000
bart chabot,M,2020-06-22,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,06/22/2020,710000
bart chabot,Vooravond,2021-03-05,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/05/2021,787000
bart chabot,Vooravond,2021-02-15,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,02/15/2021,1252000
bart chabot,Vooravond,2021-03-15,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/15/2021,1174000
bart kemp,Op1,2020-05-26,NA,0,m,0,Burger,NA,NA,NA,05/26/2020,1034000
bart moeyaert,Vooravond,2020-10-06,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,10/06/2020,976000
bart rijnders,Op1,2020-04-14,NA,1,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,04/14/2020,1288000
bart siemerink,Op1,2020-04-10,NA,0,m,0,Bedrijfsleven,NA,NA,NA,04/10/2020,1355000
bart swier,Vooravond,2020-09-17,NA,0,m,0,Jurist,NA,NA,NA,09/17/2020,837000
bart vriends,Op1,2020-07-09,NA,0,m,0,Sporter,NA,NA,NA,07/09/2020,926000
bart vriends,Vooravond,2020-10-01,NA,0,m,0,Sporter,NA,NA,NA,10/01/2020,789000
bart vriends,Op1,2021-02-17,NA,0,m,0,Sporter,NA,NA,NA,02/17/2021,902000
bas bloem,Op1,2020-03-11,NA,0,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,03/11/2020,820000
bas heijne,Op1,2020-11-01,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/01/2020,1105000
bas heijne,M,2021-02-12,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,02/12/2021,885000
bas heijne,M,2021-02-05,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,02/05/2021,929000
bas heijne,M,2021-01-26,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,01/26/2021,1355000
bas heijne,M,2020-11-26,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/26/2020,782000
bas heijne,M,2020-11-20,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/20/2020,1002000
bas heijne,M,2020-11-09,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,11/09/2020,999000
bas heijne,M,2020-10-29,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,10/29/2020,845000
bas heijne,M,2020-03-30,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,03/30/2020,1242000
bas heijne,Vooravond,2020-10-14,NA,0,m,0,Schrijver/Kunstenaar,NA,NA,NA,10/14/2020,1040000
bas hoebink,Op1,2020-12-03,NA,0,m,0,Bedrijfsleven,NA,NA,NA,12/03/2020,889000
bas louissen,Vooravond,2020-10-12,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,10/12/2020,1165000
bas nijhuis,Op1,2020-04-14,NA,0,m,0,Sporter,NA,NA,NA,04/14/2020,1288000
bas nijhuis,Beau,2020-05-26,NA,0,m,0,Sporter,NA,NA,NA,05/26/2020,795000
