partij,type,name,gem
50+ & Liane den Haan,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.77
50+ & Liane den Haan,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.73
50+ & Liane den Haan,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.39
50+ & Liane den Haan,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.5
50+ & Liane den Haan,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.76
50+ & Liane den Haan,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.71
50+ & Liane den Haan,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.74
50+ & Liane den Haan,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",6.12
CDA & Wopke Hoekstra,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.74
CDA & Wopke Hoekstra,Coalitievoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.78
CDA & Wopke Hoekstra,Niet stemmer,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",0.73
CDA & Wopke Hoekstra,Niet stemmer,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.88
CDA & Wopke Hoekstra,Partijvoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.69
CDA & Wopke Hoekstra,Partijvoorkeur,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.77
CDA & Wopke Hoekstra,Zwevend,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.47
CDA & Wopke Hoekstra,Zwevend,"Waardering 
 Erg negatief (0) - Erg Positief (10)",5.84
CU & Gert-Jan Segers,Coalitievoorkeur,"Zichtbaarheid 
 Nooit iets van vernomen (0) - Zeer opvallend (3)",1.18
