partij,type,medium,days,gezien,waardering
50+ & Liane den Haan,Coalitievoorkeur,Krant,Nauwelijks,0.7,5.6
50+ & Liane den Haan,Coalitievoorkeur,Krant,Regelmatig,0.83,5.66
50+ & Liane den Haan,Coalitievoorkeur,Krant,Vaak,0.83,5.89
50+ & Liane den Haan,Coalitievoorkeur,Socials,Nauwelijks,0.73,5.52
50+ & Liane den Haan,Coalitievoorkeur,Socials,Regelmatig,0.84,5.63
50+ & Liane den Haan,Coalitievoorkeur,Socials,Vaak,0.9,6.28
50+ & Liane den Haan,Coalitievoorkeur,TV,Nauwelijks,0.55,5.78
50+ & Liane den Haan,Coalitievoorkeur,TV,Regelmatig,0.8,6.16
50+ & Liane den Haan,Coalitievoorkeur,TV,Vaak,0.85,5.63
50+ & Liane den Haan,Niet stemmer,Krant,Nauwelijks,0.38,5.33
50+ & Liane den Haan,Niet stemmer,Krant,Regelmatig,0.56,6
50+ & Liane den Haan,Niet stemmer,Krant,Vaak,0.2,NaN
50+ & Liane den Haan,Niet stemmer,Socials,Nauwelijks,0.32,5.44
50+ & Liane den Haan,Niet stemmer,Socials,Regelmatig,0.52,5.5
50+ & Liane den Haan,Niet stemmer,Socials,Vaak,0.67,6
50+ & Liane den Haan,Niet stemmer,TV,Nauwelijks,0.37,5.67
50+ & Liane den Haan,Niet stemmer,TV,Regelmatig,0.33,NaN
50+ & Liane den Haan,Niet stemmer,TV,Vaak,0.46,5
50+ & Liane den Haan,Partijvoorkeur,Krant,Nauwelijks,0.68,5.61
50+ & Liane den Haan,Partijvoorkeur,Krant,Regelmatig,0.82,5.64
50+ & Liane den Haan,Partijvoorkeur,Krant,Vaak,0.82,5.83
50+ & Liane den Haan,Partijvoorkeur,Socials,Nauwelijks,0.71,5.51
50+ & Liane den Haan,Partijvoorkeur,Socials,Regelmatig,0.82,5.58
50+ & Liane den Haan,Partijvoorkeur,Socials,Vaak,0.88,6.22
50+ & Liane den Haan,Partijvoorkeur,TV,Nauwelijks,0.53,5.81
50+ & Liane den Haan,Partijvoorkeur,TV,Regelmatig,0.81,6.08
50+ & Liane den Haan,Partijvoorkeur,TV,Vaak,0.83,5.61
50+ & Liane den Haan,Zwevend,Krant,Nauwelijks,0.66,6.62
50+ & Liane den Haan,Zwevend,Krant,Regelmatig,0.88,5.29
50+ & Liane den Haan,Zwevend,Krant,Vaak,0.82,5.91
50+ & Liane den Haan,Zwevend,Socials,Nauwelijks,0.73,6.15
50+ & Liane den Haan,Zwevend,Socials,Regelmatig,0.89,5.45
50+ & Liane den Haan,Zwevend,Socials,Vaak,0.65,7
50+ & Liane den Haan,Zwevend,TV,Nauwelijks,0.43,NaN
50+ & Liane den Haan,Zwevend,TV,Regelmatig,1.08,5
50+ & Liane den Haan,Zwevend,TV,Vaak,0.78,6.58
CDA & Wopke Hoekstra,Coalitievoorkeur,Krant,Nauwelijks,1.58,5.66
CDA & Wopke Hoekstra,Coalitievoorkeur,Krant,Regelmatig,1.69,5.87
CDA & Wopke Hoekstra,Coalitievoorkeur,Krant,Vaak,1.93,5.86
CDA & Wopke Hoekstra,Coalitievoorkeur,Socials,Nauwelijks,1.71,5.72
CDA & Wopke Hoekstra,Coalitievoorkeur,Socials,Regelmatig,1.73,5.98
CDA & Wopke Hoekstra,Coalitievoorkeur,Socials,Vaak,1.83,5.85
CDA & Wopke Hoekstra,Coalitievoorkeur,TV,Nauwelijks,1.31,5.16
CDA & Wopke Hoekstra,Coalitievoorkeur,TV,Regelmatig,1.67,5.82
