date,query,medium,n,id
2021-01-25,50Plus,de Volkskrant,1,krant
2021-01-25,CDA,AD,4,krant
2021-01-25,CDA,NRC,2,krant
2021-01-25,CDA,De Telegraaf,1,krant
2021-01-25,CDA,Trouw,4,krant
2021-01-25,CDA,de Volkskrant,3,krant
2021-01-25,CU,NRC,1,krant
2021-01-25,CU,Trouw,1,krant
2021-01-25,CU,de Volkskrant,1,krant
2021-01-25,D66,AD,2,krant
2021-01-25,D66,NRC,4,krant
2021-01-25,D66,De Telegraaf,2,krant
2021-01-25,D66,Trouw,2,krant
2021-01-25,D66,de Volkskrant,3,krant
2021-01-25,Denk,NA,0,NA
2021-01-25,FvD,AD,1,krant
2021-01-25,FvD,NRC,2,krant
2021-01-25,FvD,De Telegraaf,2,krant
2021-01-25,FvD,Trouw,2,krant
2021-01-25,FvD,de Volkskrant,2,krant
2021-01-25,GL,AD,1,krant
2021-01-25,GL,NRC,1,krant
2021-01-25,GL,De Telegraaf,2,krant
2021-01-25,GL,Trouw,5,krant
2021-01-25,GL,de Volkskrant,2,krant
2021-01-25,PvdA,AD,1,krant
2021-01-25,PvdA,NRC,2,krant
2021-01-25,PvdA,De Telegraaf,3,krant
2021-01-25,PvdA,Trouw,4,krant
2021-01-25,PvdA,de Volkskrant,2,krant
2021-01-25,PvdD,NA,0,NA
2021-01-25,PVV,Trouw,1,krant
2021-01-25,SGP,NA,0,NA
2021-01-25,SP,AD,1,krant
2021-01-25,SP,NRC,2,krant
2021-01-25,SP,De Telegraaf,2,krant
2021-01-25,SP,Trouw,2,krant
2021-01-25,SP,de Volkskrant,1,krant
2021-01-25,VVD,AD,5,krant
2021-01-25,VVD,NRC,4,krant
2021-01-25,VVD,De Telegraaf,2,krant
2021-01-25,VVD,Trouw,6,krant
2021-01-25,VVD,de Volkskrant,1,krant
2021-01-26,50Plus,AD,2,krant
2021-01-26,50Plus,NRC,3,krant
2021-01-26,CDA,AD,4,krant
2021-01-26,CDA,NRC,4,krant
2021-01-26,CDA,De Telegraaf,6,krant
2021-01-26,CDA,Trouw,2,krant
2021-01-26,CDA,de Volkskrant,4,krant
2021-01-26,CU,AD,3,krant
2021-01-26,CU,NRC,2,krant
2021-01-26,D66,AD,2,krant
2021-01-26,D66,NRC,2,krant
2021-01-26,D66,De Telegraaf,8,krant
2021-01-26,D66,Trouw,2,krant
2021-01-26,D66,de Volkskrant,1,krant
2021-01-26,Denk,de Volkskrant,1,krant
2021-01-26,FvD,AD,3,krant
2021-01-26,FvD,NRC,3,krant
2021-01-26,FvD,De Telegraaf,8,krant
2021-01-26,GL,AD,3,krant
2021-01-26,GL,NRC,4,krant
2021-01-26,GL,De Telegraaf,10,krant
2021-01-26,PvdA,AD,2,krant
2021-01-26,PvdA,De Telegraaf,4,krant
2021-01-26,PvdA,Trouw,1,krant
2021-01-26,PvdA,de Volkskrant,2,krant
2021-01-26,PvdD,NA,0,NA
2021-01-26,PVV,AD,3,krant
2021-01-26,PVV,NRC,2,krant
2021-01-26,PVV,De Telegraaf,2,krant
2021-01-26,SGP,AD,2,krant
2021-01-26,SGP,NRC,3,krant
2021-01-26,SP,AD,1,krant
2021-01-26,SP,NRC,1,krant
2021-01-26,SP,De Telegraaf,2,krant
2021-01-26,SP,Trouw,1,krant
2021-01-26,SP,de Volkskrant,1,krant
2021-01-26,VVD,AD,6,krant
2021-01-26,VVD,NRC,4,krant
2021-01-26,VVD,De Telegraaf,12,krant
2021-01-26,VVD,Trouw,7,krant
2021-01-26,VVD,de Volkskrant,5,krant
2021-01-27,50Plus,AD,2,krant
2021-01-27,50Plus,NRC,1,krant
2021-01-27,50Plus,De Telegraaf,1,krant
2021-01-27,50Plus,Trouw,1,krant
2021-01-27,50Plus,de Volkskrant,2,krant
2021-01-27,CDA,AD,3,krant
2021-01-27,CDA,NRC,2,krant
2021-01-27,CDA,De Telegraaf,4,krant
2021-01-27,CDA,Trouw,2,krant
2021-01-27,CDA,de Volkskrant,5,krant
2021-01-27,CU,AD,1,krant
2021-01-27,CU,NRC,2,krant
2021-01-27,CU,De Telegraaf,2,krant
2021-01-27,CU,de Volkskrant,2,krant
2021-01-27,D66,AD,3,krant
2021-01-27,D66,NRC,2,krant
2021-01-27,D66,De Telegraaf,4,krant
2021-01-27,D66,Trouw,3,krant
