A2_1,A2_0,n.x,n.y,n,zetels
50Plus,PvdA,1,0,1,0.167973124300112
50Plus,PVV,3,1,2,0.335946248600224
50Plus,Weet niet,7,1,6,1.007838745800672
Andere,PVV,1,0,1,0.167973124300112
Andere,Weet niet,10,2,8,1.343784994400896
Blanco,FvD,1,0,1,0.167973124300112
Blanco,GL,1,0,1,0.167973124300112
Blanco,Weet niet,11,1,10,1.6797312430011198
CDA,D66,2,1,1,0.167973124300112
CDA,FvD,2,0,2,0.335946248600224
CDA,GL,3,1,2,0.335946248600224
CDA,PvD,2,1,1,0.167973124300112
CDA,PVV,10,2,8,1.343784994400896
CDA,VVD,8,6,2,0.335946248600224
CDA,Weet niet,32,6,26,4.367301231802911
CU,CDA,3,1,2,0.335946248600224
CU,D66,1,0,1,0.167973124300112
CU,SP,6,1,5,0.8398656215005599
CU,Weet niet,22,3,19,3.1914893617021276
D66,Andere,1,0,1,0.167973124300112
D66,FvD,2,0,2,0.335946248600224
D66,SP,2,1,1,0.167973124300112
D66,VVD,7,3,4,0.671892497200448
D66,Weet niet,21,3,18,3.0235162374020157
Denk,Weet niet,5,0,5,0.8398656215005599
FvD,SGP,1,0,1,0.167973124300112
FvD,Weet niet,7,0,7,1.1758118701007838
GL,D66,2,1,1,0.167973124300112
GL,FvD,1,0,1,0.167973124300112
GL,PVV,4,2,2,0.335946248600224
GL,Weet niet,34,4,30,5.03919372900336
PvD,D66,1,0,1,0.167973124300112
PvD,SGP,1,0,1,0.167973124300112
PvD,SP,2,0,2,0.335946248600224
PvD,Weet niet,15,2,13,2.1836506159014557
PvdA,Andere,2,0,2,0.335946248600224
PvdA,CU,3,2,1,0.167973124300112
PvdA,D66,3,1,2,0.335946248600224
PvdA,FvD,1,0,1,0.167973124300112
PvdA,GL,3,0,3,0.503919372900336
PvdA,PvD,2,1,1,0.167973124300112
PvdA,PVV,5,3,2,0.335946248600224
PvdA,SGP,1,0,1,0.167973124300112
PvdA,SP,2,1,1,0.167973124300112
PvdA,VVD,9,5,4,0.671892497200448
PvdA,Weet niet,49,4,45,7.558790593505039
PVV,CU,4,2,2,0.335946248600224
PVV,D66,4,0,4,0.671892497200448
PVV,FvD,2,1,1,0.167973124300112
PVV,PvD,2,0,2,0.335946248600224
PVV,SGP,2,0,2,0.335946248600224
PVV,Weet niet,59,8,51,8.566629339305711
SGP,CDA,1,0,1,0.167973124300112
SGP,VVD,2,1,1,0.167973124300112
SGP,Weet niet,6,1,5,0.8398656215005599
SP,Andere,1,0,1,0.167973124300112
SP,Blanco,2,0,2,0.335946248600224
SP,CDA,6,3,3,0.503919372900336
SP,FvD,2,0,2,0.335946248600224
SP,GL,2,1,1,0.167973124300112
SP,PVV,4,3,1,0.167973124300112
SP,SGP,1,0,1,0.167973124300112
SP,VVD,12,6,6,1.007838745800672
SP,Weet niet,44,8,36,6.047032474804031
VVD,50Plus,3,0,3,0.503919372900336
VVD,Andere,1,0,1,0.167973124300112
VVD,Blanco,1,0,1,0.167973124300112
VVD,CU,7,6,1,0.167973124300112
VVD,Denk,2,0,2,0.335946248600224
VVD,FvD,3,0,3,0.503919372900336
VVD,GL,8,6,2,0.335946248600224
VVD,PvD,2,1,1,0.167973124300112
VVD,PVV,12,11,1,0.167973124300112
VVD,Weet niet,97,14,83,13.941769316909294
