wave,variable,varlabel,name,value,fillcolor
w0,B2,Noticed,50Plus,0.6857646540326134,6.185764654032614
w0,B2,Noticed,CDA,1.631555751432349,7.131555751432349
w0,B2,Noticed,CU,1.019391802556192,6.519391802556192
w0,B2,Noticed,D66,1.237990304098722,6.737990304098722
w0,B2,Noticed,Denk,0.9087703834288233,6.408770383428823
w0,B2,Noticed,FvD,1.7902159541648304,7.290215954164831
w0,B2,Noticed,GL,1.5526663728514765,7.052666372851476
w0,B2,Noticed,PvdA,1.8871749669457911,7.387174966945791
w0,B2,Noticed,PvdD,0.6928162185985015,6.192816218598502
w0,B2,Noticed,PVV,1.7947136563876651,7.294713656387665
w0,B2,Noticed,SGP,0.8413397972675187,6.341339797267519
w0,B2,Noticed,SP,1.3067430586161304,6.806743058616131
w0,B2,Noticed,VVD,2.4116350815337153,7.911635081533715
w0,B3,Positive / Negatibve,50Plus,5.482758620689655,5.482758620689655
w0,B3,Positive / Negatibve,CDA,5.723120837297811,5.723120837297811
w0,B3,Positive / Negatibve,CU,5.723120837297811,5.723120837297811
w0,B3,Positive / Negatibve,D66,5.719131614654002,5.719131614654002
w0,B3,Positive / Negatibve,Denk,3.8419811320754715,3.8419811320754715
w0,B3,Positive / Negatibve,FvD,3.1542056074766354,3.1542056074766354
w0,B3,Positive / Negatibve,GL,5.201860465116279,5.201860465116279
w0,B3,Positive / Negatibve,PvdA,5.019047619047619,5.019047619047619
w0,B3,Positive / Negatibve,PvdD,5.723120837297811,5.723120837297811
w0,B3,Positive / Negatibve,PVV,4.534132841328414,4.534132841328414
w0,B3,Positive / Negatibve,SGP,5.70679012345679,5.70679012345679
w0,B3,Positive / Negatibve,SP,5.890547263681592,5.890547263681592
w0,B3,Positive / Negatibve,VVD,5.307284768211921,5.307284768211921
w1,B2,Noticed,50Plus,0.7595628415300546,6.259562841530054
w1,B2,Noticed,CDA,1.6864754098360655,7.186475409836065
w1,B2,Noticed,CU,1.1366120218579234,6.636612021857923
w1,B2,Noticed,D66,1.3702185792349726,6.870218579234972
w1,B2,Noticed,Denk,1.0327868852459017,6.532786885245901
w1,B2,Noticed,FvD,1.651639344262295,7.1516393442622945
w1,B2,Noticed,GL,1.5812841530054644,7.081284153005464
w1,B2,Noticed,PvdA,1.4282786885245902,6.92827868852459
w1,B2,Noticed,PvdD,0.7814207650273224,6.281420765027322
w1,B2,Noticed,PVV,1.889344262295082,7.389344262295082
w1,B2,Noticed,SGP,0.9112021857923497,6.41120218579235
w1,B2,Noticed,SP,1.424863387978142,6.924863387978142
w1,B2,Noticed,VVD,2.3012295081967213,7.801229508196721
w1,B3,Positive / Negatibve,50Plus,5.712418300653595,5.712418300653595
w1,B3,Positive / Negatibve,CDA,5.771621621621621,5.771621621621621
w1,B3,Positive / Negatibve,CU,5.771621621621621,5.771621621621621
w1,B3,Positive / Negatibve,D66,5.591726618705036,5.591726618705036
w1,B3,Positive / Negatibve,Denk,3.994219653179191,3.994219653179191
w1,B3,Positive / Negatibve,FvD,3.359315589353612,3.359315589353612
w1,B3,Positive / Negatibve,GL,5.30672268907563,5.30672268907563
w1,B3,Positive / Negatibve,PvdA,6.041118421052632,6.041118421052632
w1,B3,Positive / Negatibve,PvdD,5.771621621621621,5.771621621621621
w1,B3,Positive / Negatibve,PVV,4.4851190476190474,4.4851190476190474
w1,B3,Positive / Negatibve,SGP,5.682008368200837,5.682008368200837
w1,B3,Positive / Negatibve,SP,5.9743589743589745,5.9743589743589745
w1,B3,Positive / Negatibve,VVD,5.4869888475836435,5.4869888475836435
w2,B2,Noticed,50Plus,0.749800796812749,6.249800796812749
w2,B2,Noticed,CDA,1.6733067729083666,7.173306772908367
w2,B2,Noticed,CU,1.1067729083665339,6.606772908366533
w2,B2,Noticed,D66,1.3282868525896414,6.828286852589642
w2,B2,Noticed,Denk,1.0701195219123505,6.570119521912351
w2,B2,Noticed,FvD,1.851792828685259,7.351792828685259
w2,B2,Noticed,GL,1.4334661354581673,6.9334661354581675
w2,B2,Noticed,PvdA,1.4039840637450198,6.903984063745019
w2,B2,Noticed,PvdD,0.9585657370517928,6.458565737051793
w2,B2,Noticed,PVV,1.9274900398406374,7.427490039840637
w2,B2,Noticed,SGP,1.1713147410358566,6.671314741035856
w2,B2,Noticed,SP,1.3928286852589642,6.892828685258964
w2,B2,Noticed,VVD,2.2812749003984063,7.781274900398406
w2,B3,Positive / Negatibve,50Plus,6.176056338028169,6.176056338028169
w2,B3,Positive / Negatibve,CDA,5.52112676056338,5.52112676056338
w2,B3,Positive / Negatibve,CU,5.52112676056338,5.52112676056338
w2,B3,Positive / Negatibve,D66,5.50561797752809,5.50561797752809
w2,B3,Positive / Negatibve,Denk,3.693877551020408,3.693877551020408
w2,B3,Positive / Negatibve,FvD,3.081589958158996,3.081589958158996
w2,B3,Positive / Negatibve,GL,5.227533460803059,5.227533460803059
w2,B3,Positive / Negatibve,PvdA,6.173664122137405,6.173664122137405
w2,B3,Positive / Negatibve,PvdD,5.52112676056338,5.52112676056338
w2,B3,Positive / Negatibve,PVV,4.246478873239437,4.246478873239437
w2,B3,Positive / Negatibve,SGP,5.748587570621469,5.748587570621469
w2,B3,Positive / Negatibve,SP,6.024590163934426,6.024590163934426
w2,B3,Positive / Negatibve,VVD,5.45703125,5.45703125
