zwevend,wave,name,value
Undecided,w0,Newspapers,3.418032786885246
Undecided,w0,Online,3.5491803278688523
Undecided,w0,Social,2
Undecided,w0,TV,4.737704918032787
Undecided,w1,Newspapers,3.3163841807909606
Undecided,w1,Online,3.2768361581920904
Undecided,w1,Social,2.3220338983050848
Undecided,w1,TV,4.3559322033898304
Undecided,w2,Newspapers,2.9302325581395348
Undecided,w2,Online,3.011627906976744
Undecided,w2,Social,1.8837209302325582
Undecided,w2,TV,4.5
Decided,w0,Newspapers,3.331043956043956
Decided,w0,Online,3.5164835164835164
Decided,w0,Social,2.190934065934066
Decided,w0,TV,4.656593406593407
Decided,w1,Newspapers,3.1964285714285716
Decided,w1,Online,3.5526315789473686
Decided,w1,Social,2.524436090225564
Decided,w1,TV,4.6306390977443606
Decided,w2,Newspapers,3.6682156133828996
Decided,w2,Online,3.7862453531598512
Decided,w2,Social,2.3782527881040894
Decided,w2,TV,5.030669144981412
