zwevend,wave,name,value
Undecided,w0,Newspapers,2.816192560175055
Undecided,w0,Online,3.4704595185995624
Undecided,w0,Social,2.4332603938730855
Undecided,w0,TV,4.339168490153173
Undecided,w1,Newspapers,3.2981818181818183
Undecided,w1,Online,3.4690909090909092
Undecided,w1,Social,2.3745454545454545
Undecided,w1,TV,4.7309090909090905
Undecided,w2,Newspapers,3.417391304347826
Undecided,w2,Online,3.773913043478261
Undecided,w2,Social,2.3217391304347825
Undecided,w2,TV,5.104347826086957
Decided,w0,Newspapers,3.3513694054776217
Decided,w0,Online,3.6065464261857048
Decided,w0,Social,2.5257181028724114
Decided,w0,TV,4.65063460253841
Decided,w1,Newspapers,3.2779661016949153
Decided,w1,Online,3.455084745762712
Decided,w1,Social,2.3847457627118644
Decided,w1,TV,4.7
Decided,w2,Newspapers,3.600196463654224
Decided,w2,Online,3.658153241650295
Decided,w2,Social,2.307465618860511
Decided,w2,TV,4.924361493123772
