wave,party,n,type,period
w0,CDA,24,Undecided voters went to,Early February
w0,ChristenUnie,19,Undecided voters went to,Early February
w0,D66,19,Undecided voters went to,Early February
w0,Denk,2,Undecided voters went to,Early February
w0,FvD,11,Undecided voters went to,Early February
w0,GroenLinks,28,Undecided voters went to,Early February
w0,PvdA,26,Undecided voters went to,Early February
w0,PvdD,15,Undecided voters went to,Early February
w0,PVV,39,Undecided voters went to,Early February
w0,SGP,6,Undecided voters went to,Early February
w0,SP,35,Undecided voters went to,Early February
w0,VVD,68,Undecided voters went to,Early February
w0,50+,7,Undecided voters went to,Early February
w0,Other,8,Undecided voters went to,Early February
w0,Not,11,Undecided voters went to,Early February
w0,Undecided,61,Undecided voters went to,Early February
w1,CDA,21,Undecided voters went to,Late February
w1,ChristenUnie,11,Undecided voters went to,Late February
w1,D66,14,Undecided voters went to,Late February
w1,Denk,2,Undecided voters went to,Late February
w1,FvD,8,Undecided voters went to,Late February
w1,GroenLinks,11,Undecided voters went to,Late February
w1,PvdA,12,Undecided voters went to,Late February
w1,PvdD,9,Undecided voters went to,Late February
w1,PVV,31,Undecided voters went to,Late February
w1,SGP,4,Undecided voters went to,Late February
w1,SP,26,Undecided voters went to,Late February
w1,VVD,39,Undecided voters went to,Late February
w1,50+,4,Undecided voters went to,Late February
w1,Other,4,Undecided voters went to,Late February
w1,Not,1,Undecided voters went to,Late February
w1,Undecided,42,Undecided voters went to,Late February
w0,CDA,17,Undecided came from,Early February
w0,ChristenUnie,9,Undecided came from,Early February
w0,D66,14,Undecided came from,Early February
w0,FvD,6,Undecided came from,Early February
w0,GroenLinks,18,Undecided came from,Early February
w0,PvdA,16,Undecided came from,Early February
w0,PvdD,9,Undecided came from,Early February
w0,PVV,37,Undecided came from,Early February
w0,SGP,4,Undecided came from,Early February
w0,SP,20,Undecided came from,Early February
w0,VVD,50,Undecided came from,Early February
w0,50+,4,Undecided came from,Early February
w0,Other,3,Undecided came from,Early February
w0,Not,5,Undecided came from,Early February
w0,Undecided,67,Undecided came from,Early February
w1,CDA,9,Undecided came from,Late February
w1,ChristenUnie,13,Undecided came from,Late February
w1,D66,6,Undecided came from,Late February
w1,Denk,1,Undecided came from,Late February
w1,FvD,1,Undecided came from,Late February
w1,GroenLinks,14,Undecided came from,Late February
w1,PvdA,15,Undecided came from,Late February
w1,PvdD,2,Undecided came from,Late February
w1,PVV,28,Undecided came from,Late February
w1,SGP,4,Undecided came from,Late February
w1,SP,19,Undecided came from,Late February
w1,VVD,35,Undecided came from,Late February
w1,50+,2,Undecided came from,Late February
w1,Other,4,Undecided came from,Late February
w1,Not,4,Undecided came from,Late February
w1,Undecided,39,Undecided came from,Late February
w0,Denk,0,Undecided came from,Early February
