wave,variable,name,rile,value
w0,B2,50Plus,links,0.5956006768189509
w0,B2,50Plus,midden,0.7270194986072424
w0,B2,50Plus,rechts,0.7404692082111437
w0,B2,CDA,links,1.7055837563451777
w0,B2,CDA,midden,1.583565459610028
w0,B2,CDA,rechts,1.721407624633431
w0,B2,CU,links,1.027072758037225
w0,B2,CU,midden,0.9735376044568245
w0,B2,CU,rechts,1.1392961876832846
w0,B2,D66,links,1.3468697123519457
w0,B2,D66,midden,1.1949860724233983
w0,B2,D66,rechts,1.250733137829912
w0,B2,Denk,links,0.8950930626057529
w0,B2,Denk,midden,0.8816155988857939
w0,B2,Denk,rechts,0.9926686217008798
w0,B2,FvD,links,1.910321489001692
w0,B2,FvD,midden,1.7270194986072422
w0,B2,FvD,rechts,1.8958944281524928
w0,B2,GL,links,1.6328257191201354
w0,B2,GL,midden,1.5543175487465182
w0,B2,GL,rechts,1.593841642228739
w0,B2,PvdA,links,2.1150592216582065
w0,B2,PvdA,midden,1.8537604456824512
w0,B2,PvdA,rechts,1.8753665689149561
w0,B2,PvdD,links,0.6903553299492385
w0,B2,PvdD,midden,0.7061281337047354
w0,B2,PvdD,rechts,0.7214076246334311
w0,B2,PVV,links,1.7648054145516074
w0,B2,PVV,midden,1.786908077994429
w0,B2,PVV,rechts,1.9794721407624634
w0,B2,SGP,links,0.7800338409475466
w0,B2,SGP,midden,0.8259052924791086
w0,B2,SGP,rechts,0.9604105571847508
w0,B2,SP,links,1.3570219966159052
w0,B2,SP,midden,1.318941504178273
w0,B2,SP,rechts,1.3372434017595307
w0,B2,VVD,links,2.5736040609137056
w0,B2,VVD,midden,2.4108635097493036
w0,B2,VVD,rechts,2.463343108504399
w0,B3,50Plus,links,4.931818181818182
w0,B3,50Plus,midden,5.380952380952381
w0,B3,50Plus,rechts,5.533333333333333
w0,B3,CDA,links,5.225974025974026
w0,B3,CDA,midden,5.715990453460621
w0,B3,CDA,rechts,6.324263038548753
w0,B3,CU,links,5.859060402684563
w0,B3,CU,midden,6.291666666666667
w0,B3,CU,rechts,6.53170731707317
w0,B3,D66,links,6.0852713178294575
w0,B3,D66,midden,5.76171875
w0,B3,D66,rechts,5.218253968253968
w0,B3,Denk,links,3.7593984962406015
w0,B3,Denk,midden,3.8853503184713376
w0,B3,Denk,rechts,4.022988505747127
w0,B3,FvD,links,1.6923076923076923
w0,B3,FvD,midden,2.9699769053117784
w0,B3,FvD,rechts,3.8008474576271185
w0,B3,GL,links,6.13091922005571
w0,B3,GL,midden,5.091358024691358
w0,B3,GL,rechts,4.491048593350383
w0,B3,PvdA,links,5.355648535564853
w0,B3,PvdA,midden,4.94980694980695
w0,B3,PvdA,rechts,4.436213991769547
w0,B3,PvdD,links,7.153846153846154
w0,B3,PvdD,midden,6.318181818181818
w0,B3,PvdD,rechts,5.851063829787234
w0,B3,PVV,links,3.2210796915167097
w0,B3,PVV,midden,4.970772442588727
w0,B3,PVV,rechts,5.771929824561403
w0,B3,SGP,links,4.619047619047619
w0,B3,SGP,midden,5.7
w0,B3,SGP,rechts,6.430555555555555
w0,B3,SP,links,6.771535580524344
w0,B3,SP,midden,6.02588996763754
w0,B3,SP,rechts,5.600671140939597
w0,B3,VVD,links,4.80565371024735
w0,B3,VVD,midden,5.372670807453416
w0,B3,VVD,rechts,5.909822866344605
w1,B2,50Plus,links,0.6752336448598131
w1,B2,50Plus,midden,0.8077753779697624
w1,B2,50Plus,rechts,0.7991803278688525
w1,B2,CDA,links,1.6822429906542056
w1,B2,CDA,midden,1.6695464362850971
w1,B2,CDA,rechts,1.7868852459016393
w1,B2,CU,links,1.1191588785046729
w1,B2,CU,midden,1.1166306695464363
w1,B2,CU,rechts,1.223360655737705
w1,B2,D66,links,1.4485981308411215
w1,B2,D66,midden,1.3218142548596112
w1,B2,D66,rechts,1.3995901639344261
w1,B2,Denk,links,1.0186915887850467
w1,B2,Denk,midden,1.0345572354211663
w1,B2,Denk,rechts,1.0778688524590163
w1,B2,FvD,links,1.5864485981308412
w1,B2,FvD,midden,1.6630669546436285
w1,B2,FvD,rechts,1.7479508196721312
w1,B2,GL,links,1.6542056074766356
w1,B2,GL,midden,1.5961123110151187
w1,B2,GL,rechts,1.5491803278688525
w1,B2,PvdA,links,1.574766355140187
w1,B2,PvdA,midden,1.3822894168466522
w1,B2,PvdA,rechts,1.3954918032786885
w1,B2,PvdD,links,0.7616822429906542
w1,B2,PvdD,midden,0.8228941684665226
w1,B2,PvdD,rechts,0.7827868852459017
w1,B2,PVV,links,1.8130841121495327
w1,B2,PVV,midden,1.881209503239741
w1,B2,PVV,rechts,2.012295081967213
w1,B2,SGP,links,0.8294392523364486
w1,B2,SGP,midden,0.8596112311015118
w1,B2,SGP,rechts,1.055327868852459
w1,B2,SP,links,1.485981308411215
w1,B2,SP,midden,1.4168466522678185
w1,B2,SP,rechts,1.4200819672131149
w1,B2,VVD,links,2.380841121495327
w1,B2,VVD,midden,2.289416846652268
w1,B2,VVD,rechts,2.3135245901639343
w1,B3,50Plus,links,5.3125
w1,B3,50Plus,midden,5.695652173913044
w1,B3,50Plus,rechts,6.1692307692307695
w1,B3,CDA,links,5.281588447653429
w1,B3,CDA,midden,5.989795918367347
w1,B3,CDA,rechts,6.159763313609467
w1,B3,CU,links,6.022388059701493
w1,B3,CU,midden,6.444444444444445
w1,B3,CU,rechts,6.617142857142857
w1,B3,D66,links,6.110599078341014
w1,B3,D66,midden,5.723618090452261
w1,B3,D66,rechts,5.095890410958904
w1,B3,Denk,links,4.137931034482759
w1,B3,Denk,midden,3.865546218487395
w1,B3,Denk,rechts,3.8120805369127515
w1,B3,FvD,links,1.7543103448275863
w1,B3,FvD,midden,3.3834586466165413
w1,B3,FvD,rechts,4.138613861386139
w1,B3,GL,links,6.290441176470588
w1,B3,GL,midden,5.223826714801444
w1,B3,GL,rechts,4.488970588235294
w1,B3,PvdA,links,6.8023715415019765
w1,B3,PvdA,midden,6.162790697674419
w1,B3,PvdA,rechts,5.489270386266094
w1,B3,PvdD,links,6.34
w1,B3,PvdD,midden,6.029411764705882
w1,B3,PvdD,rechts,6.016393442622951
w1,B3,PVV,links,3.0205479452054793
w1,B3,PVV,midden,4.809968847352025
w1,B3,PVV,rechts,5.778074866310161
w1,B3,SGP,links,4.7
w1,B3,SGP,midden,5.986111111111111
w1,B3,SGP,rechts,6.47008547008547
w1,B3,SP,links,6.67965367965368
w1,B3,SP,midden,6.277272727272727
w1,B3,SP,rechts,5.606986899563319
w1,B3,VVD,links,5.123359580052494
w1,B3,VVD,midden,5.833753148614609
w1,B3,VVD,rechts,6.1520190023752965
w2,B2,50Plus,links,0.6323119777158774
w2,B2,50Plus,midden,0.8103448275862069
w2,B2,50Plus,rechts,0.7788235294117647
w2,B2,CDA,links,1.6796657381615598
w2,B2,CDA,midden,1.6330049261083743
w2,B2,CDA,rechts,1.7694117647058825
w2,B2,CU,links,1.0139275766016713
w2,B2,CU,midden,1.064039408866995
w2,B2,CU,rechts,1.2258823529411764
w2,B2,D66,links,1.373259052924791
w2,B2,D66,midden,1.251231527093596
w2,B2,D66,rechts,1.3670588235294117
w2,B2,Denk,links,1.0083565459610029
w2,B2,Denk,midden,1.0517241379310345
w2,B2,Denk,rechts,1.1364705882352941
w2,B2,FvD,links,1.83008356545961
w2,B2,FvD,midden,1.7635467980295567
w2,B2,FvD,rechts,2.0164705882352942
w2,B2,GL,links,1.456824512534819
w2,B2,GL,midden,1.4704433497536946
w2,B2,GL,rechts,1.4
w2,B2,PvdA,links,1.4930362116991645
w2,B2,PvdA,midden,1.3842364532019704
w2,B2,PvdA,rechts,1.36
w2,B2,PvdD,links,1.0055710306406684
w2,B2,PvdD,midden,0.9433497536945813
w2,B2,PvdD,rechts,0.9341176470588235
w2,B2,PVV,links,1.8551532033426184
w2,B2,PVV,midden,1.8891625615763548
w2,B2,PVV,rechts,2.070588235294118
w2,B2,SGP,links,1.0807799442896935
w2,B2,SGP,midden,1.1083743842364533
w2,B2,SGP,rechts,1.3270588235294118
w2,B2,SP,links,1.448467966573816
w2,B2,SP,midden,1.3866995073891626
w2,B2,SP,rechts,1.348235294117647
w2,B2,VVD,links,2.3119777158774375
w2,B2,VVD,midden,2.2438423645320196
w2,B2,VVD,rechts,2.3458823529411763
w2,B3,50Plus,links,6.269230769230769
w2,B3,50Plus,midden,5.879310344827586
w2,B3,50Plus,rechts,6.9491525423728815
w2,B3,CDA,links,4.599078341013825
w2,B3,CDA,midden,5.595918367346939
w2,B3,CDA,rechts,5.801418439716312
w2,B3,CU,links,6.087912087912088
w2,B3,CU,midden,6.303571428571429
w2,B3,CU,rechts,6.801324503311259
w2,B3,D66,links,6.1645569620253164
w2,B3,D66,midden,5.682119205298013
w2,B3,D66,rechts,4.967741935483871
w2,B3,Denk,links,4.067415730337078
w2,B3,Denk,midden,3.5391304347826087
w2,B3,Denk,rechts,3.5714285714285716
w2,B3,FvD,links,1.3852813852813852
w2,B3,FvD,midden,2.6964980544747084
w2,B3,FvD,rechts,3.5913312693498454
w2,B3,GL,links,6.318435754189944
w2,B3,GL,midden,5.039800995024875
w2,B3,GL,rechts,4.510309278350515
w2,B3,PvdA,links,6.903553299492386
w2,B3,PvdA,midden,6.145833333333333
w2,B3,PvdA,rechts,5.755208333333333
w2,B3,PvdD,links,6.715909090909091
w2,B3,PvdD,midden,5.541176470588235
w2,B3,PvdD,rechts,5.7407407407407405
w2,B3,PVV,links,2.8097165991902835
w2,B3,PVV,midden,4.570921985815603
w2,B3,PVV,rechts,5.4941176470588236
w2,B3,SGP,links,4.881188118811881
w2,B3,SGP,midden,5.444444444444445
w2,B3,SGP,rechts,6.558011049723757
w2,B3,SP,links,6.845714285714286
w2,B3,SP,midden,6.354497354497354
w2,B3,SP,rechts,5.518716577540107
w2,B3,VVD,links,5.044728434504792
w2,B3,VVD,midden,5.60968660968661
w2,B3,VVD,rechts,5.944444444444445
w3,B2,50Plus,links,0.8642297650130548
w3,B2,50Plus,midden,0.8992974238875878
w3,B2,50Plus,rechts,0.9506726457399103
w3,B2,CDA,links,1.825065274151436
w3,B2,CDA,midden,1.693208430913349
w3,B2,CDA,rechts,1.8811659192825112
w3,B2,CU,links,1.164490861618799
w3,B2,CU,midden,1.117096018735363
w3,B2,CU,rechts,1.289237668161435
w3,B2,D66,links,1.6866840731070496
w3,B2,D66,midden,1.440281030444965
w3,B2,D66,rechts,1.5605381165919283
w3,B2,Denk,links,0.9947780678851175
w3,B2,Denk,midden,0.9812646370023419
w3,B2,Denk,rechts,1.0762331838565022
w3,B2,FvD,links,1.9817232375979112
w3,B2,FvD,midden,1.9039812646370022
w3,B2,FvD,rechts,2.0269058295964126
w3,B2,GL,links,1.7180156657963446
w3,B2,GL,midden,1.5995316159250585
w3,B2,GL,rechts,1.5582959641255605
w3,B2,PvdA,links,1.0156657963446476
w3,B2,PvdA,midden,1.0679156908665106
w3,B2,PvdA,rechts,1.0044843049327354
w3,B2,PvdD,links,1.1775456919060052
w3,B2,PvdD,midden,0.9859484777517564
w3,B2,PvdD,rechts,1.031390134529148
w3,B2,PVV,links,1.6840731070496084
w3,B2,PVV,midden,1.7892271662763466
w3,B2,PVV,rechts,2.006726457399103
w3,B2,SGP,links,1.0261096605744124
w3,B2,SGP,midden,1.0117096018735363
w3,B2,SGP,rechts,1.1726457399103138
w3,B2,SP,links,1.6344647519582245
w3,B2,SP,midden,1.4707259953161593
w3,B2,SP,rechts,1.4708520179372198
w3,B2,VVD,links,2.135770234986945
w3,B2,VVD,midden,2.1241217798594847
w3,B2,VVD,rechts,2.1524663677130045
w3,B3,50Plus,links,4.913043478260869
w3,B3,50Plus,midden,5.2560975609756095
w3,B3,50Plus,rechts,5.817204301075269
w3,B3,CDA,links,4.315018315018315
w3,B3,CDA,midden,5.435087719298245
w3,B3,CDA,rechts,5.640483383685801
w3,B3,CU,links,5.877049180327869
w3,B3,CU,midden,6.22463768115942
w3,B3,CU,rechts,6.568965517241379
w3,B3,D66,links,6.179591836734694
w3,B3,D66,midden,5.576036866359447
w3,B3,D66,rechts,4.944444444444445
w3,B3,Denk,links,4.4
w3,B3,Denk,midden,3.7837837837837838
w3,B3,Denk,rechts,4.099173553719008
w3,B3,FvD,links,1.4006849315068493
w3,B3,FvD,midden,2.7434210526315788
w3,B3,FvD,rechts,3.784660766961652
w3,B3,GL,links,6.416666666666667
w3,B3,GL,midden,4.92
w3,B3,GL,rechts,4.3603238866396765
w3,B3,PvdA,links,6.13
w3,B3,PvdA,midden,5.214285714285714
w3,B3,PvdA,rechts,5.327102803738318
w3,B3,PvdD,links,6.496296296296296
w3,B3,PvdD,midden,5.762376237623762
w3,B3,PvdD,rechts,5.660869565217391
w3,B3,PVV,links,2.6939655172413794
w3,B3,PVV,midden,4.853658536585366
w3,B3,PVV,rechts,6.055072463768116
w3,B3,SGP,links,4.040816326530612
w3,B3,SGP,midden,5.384615384615385
w3,B3,SGP,rechts,6.125925925925926
w3,B3,SP,links,6.849137931034483
w3,B3,SP,midden,6.310185185185185
w3,B3,SP,rechts,5.6875
w3,B3,VVD,links,4.830188679245283
w3,B3,VVD,midden,5.595441595441596
w3,B3,VVD,rechts,6.072192513368984
