zwevend,wave,name,value
Decided (75%),w0,Newspapers,3.5299586776859506
Decided (75%),w0,Online,3.5960743801652892
Decided (75%),w0,Social,2.3140495867768593
Decided (75%),w0,TV,4.778925619834711
Decided (75%),w1,Newspapers,3.4425349087003223
Decided (75%),w1,Online,3.5166487647690654
Decided (75%),w1,Social,2.43609022556391
Decided (75%),w1,TV,4.836734693877551
Decided (75%),w2,Newspapers,3.668591224018476
Decided (75%),w2,Online,3.8036951501154737
Decided (75%),w2,Social,2.4630484988452657
Decided (75%),w2,TV,5.042725173210162
Decided (75%),w3,Newspapers,3.543
Decided (75%),w3,Online,3.42
Decided (75%),w3,Social,2.047
Decided (75%),w3,TV,4.531
Newly undecided (4%),w0,Newspapers,2.6444444444444444
Newly undecided (4%),w0,Online,2.7111111111111112
Newly undecided (4%),w0,Social,2.1555555555555554
Newly undecided (4%),w0,TV,4.5777777777777775
Newly undecided (4%),w1,Newspapers,3.0681818181818183
Newly undecided (4%),w1,Online,3.159090909090909
Newly undecided (4%),w1,Social,1.9318181818181819
Newly undecided (4%),w1,TV,4.954545454545454
Newly undecided (4%),w2,Newspapers,2.8205128205128207
Newly undecided (4%),w2,Online,3.1538461538461537
Newly undecided (4%),w2,Social,1.5897435897435896
Newly undecided (4%),w2,TV,4.82051282051282
Newly undecided (4%),w3,Newspapers,3
Newly undecided (4%),w3,Online,2.9791666666666665
Newly undecided (4%),w3,Social,1.3958333333333333
Newly undecided (4%),w3,TV,3.8541666666666665
Once undecided (12%),w0,Newspapers,3.210526315789474
Once undecided (12%),w0,Online,3.7302631578947367
Once undecided (12%),w0,Social,2.3157894736842106
Once undecided (12%),w0,TV,4.572368421052632
Once undecided (12%),w1,Newspapers,3.1527777777777777
Once undecided (12%),w1,Online,3.4722222222222223
Once undecided (12%),w1,Social,1.9305555555555556
Once undecided (12%),w1,TV,4.770833333333333
Once undecided (12%),w2,Newspapers,3.4285714285714284
Once undecided (12%),w2,Online,3.507936507936508
Once undecided (12%),w2,Social,1.8015873015873016
Once undecided (12%),w2,TV,4.920634920634921
Once undecided (12%),w3,Newspapers,3.2546583850931676
Once undecided (12%),w3,Online,3.3540372670807455
Once undecided (12%),w3,Social,1.5279503105590062
Once undecided (12%),w3,TV,4.391304347826087
Still Undecided (9%),w0,Newspapers,2.75
Still Undecided (9%),w0,Online,2.9107142857142856
Still Undecided (9%),w0,Social,1.875
Still Undecided (9%),w0,TV,4.392857142857143
Still Undecided (9%),w1,Newspapers,2.4123711340206184
Still Undecided (9%),w1,Online,2.9896907216494846
Still Undecided (9%),w1,Social,1.7731958762886597
Still Undecided (9%),w1,TV,4.206185567010309
Still Undecided (9%),w2,Newspapers,2.891304347826087
Still Undecided (9%),w2,Online,3.0217391304347827
Still Undecided (9%),w2,Social,1.75
Still Undecided (9%),w2,TV,4.369565217391305
Still Undecided (9%),w3,Newspapers,2.566371681415929
Still Undecided (9%),w3,Online,2.5575221238938055
Still Undecided (9%),w3,Social,1.5486725663716814
Still Undecided (9%),w3,TV,3.9469026548672566
