period,mtype,party,n,ntot,perc
1,Newspapers,50Plus,22,397,0.055415617128463476
1,Newspapers,CDA,135,397,0.34005037783375314
1,Newspapers,CU,59,397,0.1486146095717884
1,Newspapers,D66,107,397,0.2695214105793451
1,Newspapers,Denk,18,397,0.04534005037783375
1,Newspapers,FvD,58,397,0.14609571788413098
1,Newspapers,GL,94,397,0.2367758186397985
1,Newspapers,JA21,21,397,0.05289672544080604
1,Newspapers,PvdA,106,397,0.26700251889168763
1,Newspapers,PvdD,30,397,0.07556675062972293
1,Newspapers,PVV,87,397,0.21914357682619648
1,Newspapers,SGP,31,397,0.07808564231738035
1,Newspapers,SP,63,397,0.15869017632241814
1,Newspapers,Volt,14,397,0.03526448362720403
1,Newspapers,VVD,186,397,0.46851385390428213
1,Online (nos.nl/nu.nl),50Plus,4,96,0.041666666666666664
1,Online (nos.nl/nu.nl),CDA,21,96,0.21875
1,Online (nos.nl/nu.nl),CU,19,96,0.19791666666666666
1,Online (nos.nl/nu.nl),D66,23,96,0.23958333333333334
1,Online (nos.nl/nu.nl),Denk,6,96,0.0625
1,Online (nos.nl/nu.nl),FvD,14,96,0.14583333333333334
1,Online (nos.nl/nu.nl),GL,18,96,0.1875
1,Online (nos.nl/nu.nl),JA21,4,96,0.041666666666666664
1,Online (nos.nl/nu.nl),PvdA,25,96,0.2604166666666667
1,Online (nos.nl/nu.nl),PvdD,6,96,0.0625
1,Online (nos.nl/nu.nl),PVV,15,96,0.15625
1,Online (nos.nl/nu.nl),SGP,8,96,0.08333333333333333
1,Online (nos.nl/nu.nl),SP,14,96,0.14583333333333334
1,Online (nos.nl/nu.nl),Volt,3,96,0.03125
1,Online (nos.nl/nu.nl),VVD,59,96,0.6145833333333334
1,TV,50Plus,0,44,0
1,TV,CDA,17,44,0.38636363636363635
1,TV,CU,5,44,0.11363636363636363
1,TV,D66,12,44,0.2727272727272727
1,TV,Denk,1,44,0.022727272727272728
1,TV,FvD,5,44,0.11363636363636363
1,TV,GL,8,44,0.18181818181818182
1,TV,JA21,1,44,0.022727272727272728
1,TV,PvdA,7,44,0.1590909090909091
1,TV,PvdD,0,44,0
1,TV,PVV,10,44,0.22727272727272727
1,TV,SGP,0,44,0
1,TV,SP,2,44,0.045454545454545456
1,TV,Volt,0,44,0
1,TV,VVD,26,44,0.5909090909090909
2,Newspapers,50Plus,61,950,0.06421052631578947
2,Newspapers,CDA,345,950,0.3631578947368421
2,Newspapers,CU,154,950,0.16210526315789472
2,Newspapers,D66,343,950,0.36105263157894735
2,Newspapers,Denk,40,950,0.042105263157894736
2,Newspapers,FvD,136,950,0.1431578947368421
2,Newspapers,GL,248,950,0.26105263157894737
2,Newspapers,JA21,45,950,0.04736842105263158
2,Newspapers,PvdA,275,950,0.2894736842105263
2,Newspapers,PvdD,79,950,0.08315789473684211
2,Newspapers,PVV,198,950,0.20842105263157895
2,Newspapers,SGP,92,950,0.0968421052631579
2,Newspapers,SP,169,950,0.17789473684210527
2,Newspapers,Volt,33,950,0.034736842105263156
2,Newspapers,VVD,527,950,0.5547368421052632
2,Online (nos.nl/nu.nl),50Plus,17,255,0.06666666666666667
2,Online (nos.nl/nu.nl),CDA,92,255,0.3607843137254902
2,Online (nos.nl/nu.nl),CU,46,255,0.1803921568627451
2,Online (nos.nl/nu.nl),D66,75,255,0.29411764705882354
2,Online (nos.nl/nu.nl),Denk,10,255,0.0392156862745098
2,Online (nos.nl/nu.nl),FvD,33,255,0.12941176470588237
2,Online (nos.nl/nu.nl),GL,62,255,0.24313725490196078
2,Online (nos.nl/nu.nl),JA21,14,255,0.054901960784313725
2,Online (nos.nl/nu.nl),PvdA,73,255,0.28627450980392155
2,Online (nos.nl/nu.nl),PvdD,24,255,0.09411764705882353
2,Online (nos.nl/nu.nl),PVV,51,255,0.2
2,Online (nos.nl/nu.nl),SGP,18,255,0.07058823529411765
2,Online (nos.nl/nu.nl),SP,41,255,0.1607843137254902
2,Online (nos.nl/nu.nl),Volt,5,255,0.0196078431372549
2,Online (nos.nl/nu.nl),VVD,135,255,0.5294117647058824
2,TV,50Plus,6,112,0.05357142857142857
2,TV,CDA,55,112,0.49107142857142855
2,TV,CU,22,112,0.19642857142857142
2,TV,D66,49,112,0.4375
2,TV,Denk,7,112,0.0625
2,TV,FvD,9,112,0.08035714285714286
2,TV,GL,34,112,0.30357142857142855
2,TV,JA21,6,112,0.05357142857142857
2,TV,PvdA,44,112,0.39285714285714285
2,TV,PvdD,3,112,0.026785714285714284
2,TV,PVV,35,112,0.3125
2,TV,SGP,6,112,0.05357142857142857
2,TV,SP,27,112,0.24107142857142858
2,TV,Volt,2,112,0.017857142857142856
2,TV,VVD,67,112,0.5982142857142857
3,Newspapers,50Plus,44,676,0.0650887573964497
3,Newspapers,CDA,264,676,0.3905325443786982
3,Newspapers,CU,114,676,0.16863905325443787
3,Newspapers,D66,194,676,0.2869822485207101
3,Newspapers,Denk,34,676,0.05029585798816568
3,Newspapers,FvD,103,676,0.15236686390532544
3,Newspapers,GL,166,676,0.2455621301775148
3,Newspapers,JA21,42,676,0.0621301775147929
3,Newspapers,PvdA,159,676,0.23520710059171598
3,Newspapers,PvdD,57,676,0.08431952662721894
3,Newspapers,PVV,142,676,0.21005917159763313
3,Newspapers,SGP,59,676,0.08727810650887574
3,Newspapers,SP,138,676,0.20414201183431951
3,Newspapers,Volt,28,676,0.04142011834319527
3,Newspapers,VVD,342,676,0.5059171597633136
3,Online (nos.nl/nu.nl),50Plus,32,178,0.1797752808988764
3,Online (nos.nl/nu.nl),CDA,78,178,0.43820224719101125
3,Online (nos.nl/nu.nl),CU,50,178,0.2808988764044944
3,Online (nos.nl/nu.nl),D66,76,178,0.42696629213483145
3,Online (nos.nl/nu.nl),Denk,20,178,0.11235955056179775
3,Online (nos.nl/nu.nl),FvD,45,178,0.25280898876404495
3,Online (nos.nl/nu.nl),GL,61,178,0.34269662921348315
3,Online (nos.nl/nu.nl),JA21,17,178,0.09550561797752809
3,Online (nos.nl/nu.nl),PvdA,65,178,0.3651685393258427
3,Online (nos.nl/nu.nl),PvdD,36,178,0.20224719101123595
3,Online (nos.nl/nu.nl),PVV,50,178,0.2808988764044944
3,Online (nos.nl/nu.nl),SGP,34,178,0.19101123595505617
3,Online (nos.nl/nu.nl),SP,65,178,0.3651685393258427
3,Online (nos.nl/nu.nl),Volt,13,178,0.07303370786516854
3,Online (nos.nl/nu.nl),VVD,109,178,0.6123595505617978
3,TV,50Plus,3,78,0.038461538461538464
3,TV,CDA,41,78,0.5256410256410257
3,TV,CU,14,78,0.1794871794871795
3,TV,D66,39,78,0.5
3,TV,Denk,8,78,0.10256410256410256
3,TV,FvD,25,78,0.32051282051282054
3,TV,GL,26,78,0.3333333333333333
3,TV,JA21,12,78,0.15384615384615385
3,TV,PvdA,22,78,0.28205128205128205
3,TV,PvdD,12,78,0.15384615384615385
3,TV,PVV,23,78,0.2948717948717949
3,TV,SGP,10,78,0.1282051282051282
3,TV,SP,18,78,0.23076923076923078
3,TV,Volt,7,78,0.08974358974358974
3,TV,VVD,48,78,0.6153846153846154
4,Newspapers,50Plus,54,687,0.07860262008733625
4,Newspapers,CDA,256,687,0.3726346433770015
4,Newspapers,CU,119,687,0.17321688500727803
4,Newspapers,D66,213,687,0.31004366812227074
4,Newspapers,Denk,39,687,0.056768558951965066
4,Newspapers,FvD,143,687,0.2081513828238719
4,Newspapers,GL,188,687,0.27365356622998543
4,Newspapers,JA21,36,687,0.05240174672489083
4,Newspapers,PvdA,195,687,0.2838427947598253
4,Newspapers,PvdD,76,687,0.11062590975254731
4,Newspapers,PVV,156,687,0.22707423580786026
4,Newspapers,SGP,80,687,0.11644832605531295
4,Newspapers,SP,146,687,0.21251819505094613
4,Newspapers,Volt,30,687,0.043668122270742356
4,Newspapers,VVD,349,687,0.5080058224163028
4,Online (nos.nl/nu.nl),50Plus,19,222,0.08558558558558559
4,Online (nos.nl/nu.nl),CDA,69,222,0.3108108108108108
4,Online (nos.nl/nu.nl),CU,49,222,0.22072072072072071
4,Online (nos.nl/nu.nl),D66,78,222,0.35135135135135137
4,Online (nos.nl/nu.nl),Denk,19,222,0.08558558558558559
4,Online (nos.nl/nu.nl),FvD,40,222,0.18018018018018017
4,Online (nos.nl/nu.nl),GL,75,222,0.33783783783783783
4,Online (nos.nl/nu.nl),JA21,11,222,0.04954954954954955
4,Online (nos.nl/nu.nl),PvdA,68,222,0.3063063063063063
4,Online (nos.nl/nu.nl),PvdD,46,222,0.2072072072072072
4,Online (nos.nl/nu.nl),PVV,57,222,0.25675675675675674
4,Online (nos.nl/nu.nl),SGP,33,222,0.14864864864864866
4,Online (nos.nl/nu.nl),SP,60,222,0.2702702702702703
4,Online (nos.nl/nu.nl),Volt,9,222,0.04054054054054054
4,Online (nos.nl/nu.nl),VVD,113,222,0.509009009009009
4,TV,50Plus,3,75,0.04
4,TV,CDA,36,75,0.48
4,TV,CU,7,75,0.09333333333333334
4,TV,D66,34,75,0.4533333333333333
4,TV,Denk,4,75,0.05333333333333334
4,TV,FvD,27,75,0.36
4,TV,GL,15,75,0.2
4,TV,JA21,11,75,0.14666666666666667
4,TV,PvdA,15,75,0.2
4,TV,PvdD,7,75,0.09333333333333334
4,TV,PVV,24,75,0.32
4,TV,SGP,12,75,0.16
4,TV,SP,12,75,0.16
4,TV,Volt,7,75,0.09333333333333334
4,TV,VVD,61,75,0.8133333333333334
5,Newspapers,50Plus,82,1078,0.07606679035250463
5,Newspapers,CDA,499,1078,0.46289424860853434
5,Newspapers,CU,223,1078,0.20686456400742115
5,Newspapers,D66,464,1078,0.43042671614100186
5,Newspapers,Denk,60,1078,0.055658627087198514
5,Newspapers,FvD,230,1078,0.21335807050092764
5,Newspapers,GL,382,1078,0.35435992578849723
5,Newspapers,JA21,69,1078,0.0640074211502783
5,Newspapers,PvdA,358,1078,0.3320964749536178
5,Newspapers,PvdD,132,1078,0.12244897959183673
5,Newspapers,PVV,285,1078,0.26437847866419295
5,Newspapers,SGP,134,1078,0.12430426716141002
5,Newspapers,SP,282,1078,0.26159554730983303
5,Newspapers,Volt,64,1078,0.059369202226345084
5,Newspapers,VVD,590,1078,0.5473098330241187
5,Online (nos.nl/nu.nl),50Plus,5,61,0.08196721311475409
5,Online (nos.nl/nu.nl),CDA,25,61,0.4098360655737705
