news_avoidance,name,value,id
Intensieve nieuwsvolger,Politici maken zich niet druk om mensen zoals ik,6.406919275123559,Politiek Cynisme
Intensieve nieuwsvolger,Politici zijn alleen maar geïnteresseerd in mijn stem,6.611202635914333,Politiek Cynisme
Intensieve nieuwsvolger,Politici beloven meer dan ze kunnen waarmaken,7.583196046128501,Politiek Cynisme
Intensieve nieuwsvolger,Kamerlid word je door je politieke vrienden,6.204283360790774,Politiek Cynisme
Intensieve nieuwsvolger,De meeste politici zijn bekwame mensen die weten wat ze doen,6.243822075782537,Politiek Cynisme
Intensieve nieuwsvolger,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.667215815485997,Politiek Cynisme
Intensieve nieuwsvolger,Het sluiten van compromissen is het verraden van je principes,5.820428336079077,Politiek Cynisme
Intensieve nieuwsvolger,Een sterke regeringsleider is goed voor Nederland,6.886326194398682,Politiek Cynisme
Intensieve nieuwsvolger,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,5.822075782537068,Politiek Cynisme
Intensieve nieuwsvolger,Rechtspraak,6.145799011532125,Vertrouwen in Instituties
Intensieve nieuwsvolger,Journalistiek,5.406919275123559,Vertrouwen in Instituties
Intensieve nieuwsvolger,Regering,5.271004942339374,Vertrouwen in Instituties
Intensieve nieuwsvolger,Tweede Kamer,5.439868204283361,Vertrouwen in Instituties
Intensieve nieuwsvolger,Europese Unie,4.8566721581548595,Vertrouwen in Instituties
Intensieve nieuwsvolger,Politieke Partijen,4.8467874794069195,Vertrouwen in Instituties
Intensieve nieuwsvolger,Politici,4.818780889621087,Vertrouwen in Instituties
Intensieve nieuwsvolger,Nederlandse Democratie,5.9810543657331134,Vertrouwen in Instituties
Intensieve nieuwsvolger,Wetenschap,7.112026359143328,Vertrouwen in Instituties
Intensieve nieuwsvolger,Grote Bedrijven,4.523887973640857,Vertrouwen in Instituties
Intensieve nieuwsvolger,Banken,4.634266886326194,Vertrouwen in Instituties
Niewsvolger,Politici maken zich niet druk om mensen zoals ik,6.991780821917808,Politiek Cynisme
Niewsvolger,Politici zijn alleen maar geïnteresseerd in mijn stem,7.090410958904109,Politiek Cynisme
Niewsvolger,Politici beloven meer dan ze kunnen waarmaken,7.534246575342466,Politiek Cynisme
Niewsvolger,Kamerlid word je door je politieke vrienden,6.6136986301369864,Politiek Cynisme
Niewsvolger,De meeste politici zijn bekwame mensen die weten wat ze doen,5.961643835616439,Politiek Cynisme
Niewsvolger,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.578082191780822,Politiek Cynisme
Niewsvolger,Het sluiten van compromissen is het verraden van je principes,6.50958904109589,Politiek Cynisme
Niewsvolger,Een sterke regeringsleider is goed voor Nederland,6.843835616438356,Politiek Cynisme
Niewsvolger,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.498630136986302,Politiek Cynisme
Niewsvolger,Rechtspraak,5.616438356164384,Vertrouwen in Instituties
Niewsvolger,Journalistiek,4.695890410958904,Vertrouwen in Instituties
Niewsvolger,Regering,4.854794520547945,Vertrouwen in Instituties
Niewsvolger,Tweede Kamer,5.038356164383561,Vertrouwen in Instituties
Niewsvolger,Europese Unie,4.517808219178082,Vertrouwen in Instituties
Niewsvolger,Politieke Partijen,4.646575342465753,Vertrouwen in Instituties
Niewsvolger,Politici,4.550684931506849,Vertrouwen in Instituties
Niewsvolger,Nederlandse Democratie,5.3123287671232875,Vertrouwen in Instituties
Niewsvolger,Wetenschap,6.608219178082192,Vertrouwen in Instituties
Niewsvolger,Grote Bedrijven,4.663013698630137,Vertrouwen in Instituties
Niewsvolger,Banken,4.6657534246575345,Vertrouwen in Instituties
Nieuwsontwijker,Politici maken zich niet druk om mensen zoals ik,7.555555555555555,Politiek Cynisme
Nieuwsontwijker,Politici zijn alleen maar geïnteresseerd in mijn stem,7.931623931623932,Politiek Cynisme
Nieuwsontwijker,Politici beloven meer dan ze kunnen waarmaken,8.35897435897436,Politiek Cynisme
Nieuwsontwijker,Kamerlid word je door je politieke vrienden,7.367521367521367,Politiek Cynisme
Nieuwsontwijker,De meeste politici zijn bekwame mensen die weten wat ze doen,5.863247863247863,Politiek Cynisme
Nieuwsontwijker,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.128205128205129,Politiek Cynisme
Nieuwsontwijker,Het sluiten van compromissen is het verraden van je principes,7.299145299145299,Politiek Cynisme
Nieuwsontwijker,Een sterke regeringsleider is goed voor Nederland,6.786324786324786,Politiek Cynisme
Nieuwsontwijker,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,7.213675213675214,Politiek Cynisme
Nieuwsontwijker,Rechtspraak,5.3931623931623935,Vertrouwen in Instituties
Nieuwsontwijker,Journalistiek,4.6923076923076925,Vertrouwen in Instituties
Nieuwsontwijker,Regering,4.760683760683761,Vertrouwen in Instituties
Nieuwsontwijker,Tweede Kamer,4.811965811965812,Vertrouwen in Instituties
Nieuwsontwijker,Europese Unie,4.452991452991453,Vertrouwen in Instituties
Nieuwsontwijker,Politieke Partijen,4.47008547008547,Vertrouwen in Instituties
Nieuwsontwijker,Politici,4.35042735042735,Vertrouwen in Instituties
Nieuwsontwijker,Nederlandse Democratie,5.264957264957265,Vertrouwen in Instituties
Nieuwsontwijker,Wetenschap,6.3247863247863245,Vertrouwen in Instituties
Nieuwsontwijker,Grote Bedrijven,4.752136752136752,Vertrouwen in Instituties
Nieuwsontwijker,Banken,4.794871794871795,Vertrouwen in Instituties
