wave,job,name,value,id
0,Fulltime opleiding,Politici maken zich niet druk om mensen zoals ik,5.913978494623656,Politiek Cynisme
0,Fulltime opleiding,Politici zijn alleen maar geïnteresseerd in mijn stem,5.967741935483871,Politiek Cynisme
0,Fulltime opleiding,Politici beloven meer dan ze kunnen waarmaken,7.268817204301075,Politiek Cynisme
0,Fulltime opleiding,Kamerlid word je door je politieke vrienden,6.021505376344086,Politiek Cynisme
0,Fulltime opleiding,De meeste politici zijn bekwame mensen die weten wat ze doen,6.365591397849462,Politiek Cynisme
0,Fulltime opleiding,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.849462365591398,Politiek Cynisme
0,Fulltime opleiding,Het sluiten van compromissen is het verraden van je principes,5,Politiek Cynisme
0,Fulltime opleiding,Een sterke regeringsleider is goed voor Nederland,6.32258064516129,Politiek Cynisme
0,Fulltime opleiding,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,5.516129032258065,Politiek Cynisme
0,Fulltime opleiding,Rechtspraak,6.698924731182796,Vertrouwen in Instituties
0,Fulltime opleiding,Journalistiek,5.311827956989247,Vertrouwen in Instituties
0,Fulltime opleiding,Regering,5.741935483870968,Vertrouwen in Instituties
0,Fulltime opleiding,Tweede Kamer,6,Vertrouwen in Instituties
0,Fulltime opleiding,Europese Unie,6.010752688172043,Vertrouwen in Instituties
0,Fulltime opleiding,Politieke Partijen,5.338709677419355,Vertrouwen in Instituties
0,Fulltime opleiding,Politici,5.279569892473118,Vertrouwen in Instituties
0,Fulltime opleiding,Nederlandse Democratie,6.575268817204301,Vertrouwen in Instituties
0,Fulltime opleiding,Wetenschap,8.005376344086022,Vertrouwen in Instituties
0,Fulltime opleiding,Grote Bedrijven,4.516129032258065,Vertrouwen in Instituties
0,Fulltime opleiding,Banken,5.102150537634409,Vertrouwen in Instituties
0,Gepensioneerd,Politici maken zich niet druk om mensen zoals ik,6.6702702702702705,Politiek Cynisme
0,Gepensioneerd,Politici zijn alleen maar geïnteresseerd in mijn stem,7.010810810810811,Politiek Cynisme
0,Gepensioneerd,Politici beloven meer dan ze kunnen waarmaken,7.859459459459459,Politiek Cynisme
0,Gepensioneerd,Kamerlid word je door je politieke vrienden,6.427027027027027,Politiek Cynisme
0,Gepensioneerd,De meeste politici zijn bekwame mensen die weten wat ze doen,6.232432432432432,Politiek Cynisme
0,Gepensioneerd,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.767567567567568,Politiek Cynisme
0,Gepensioneerd,Het sluiten van compromissen is het verraden van je principes,6.324324324324325,Politiek Cynisme
0,Gepensioneerd,Een sterke regeringsleider is goed voor Nederland,7.405405405405405,Politiek Cynisme
0,Gepensioneerd,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.210810810810811,Politiek Cynisme
0,Gepensioneerd,Rechtspraak,6.27027027027027,Vertrouwen in Instituties
0,Gepensioneerd,Journalistiek,5.686486486486486,Vertrouwen in Instituties
0,Gepensioneerd,Regering,5.416216216216216,Vertrouwen in Instituties
0,Gepensioneerd,Tweede Kamer,5.624324324324324,Vertrouwen in Instituties
0,Gepensioneerd,Europese Unie,4.827027027027027,Vertrouwen in Instituties
0,Gepensioneerd,Politieke Partijen,4.870270270270271,Vertrouwen in Instituties
0,Gepensioneerd,Politici,4.924324324324324,Vertrouwen in Instituties
0,Gepensioneerd,Nederlandse Democratie,6.1891891891891895,Vertrouwen in Instituties
0,Gepensioneerd,Wetenschap,7.172972972972973,Vertrouwen in Instituties
0,Gepensioneerd,Grote Bedrijven,4.648648648648648,Vertrouwen in Instituties
0,Gepensioneerd,Banken,4.5351351351351354,Vertrouwen in Instituties
0,Huisvrouw/man,Politici maken zich niet druk om mensen zoals ik,7.046728971962617,Politiek Cynisme
0,Huisvrouw/man,Politici zijn alleen maar geïnteresseerd in mijn stem,7.102803738317757,Politiek Cynisme
0,Huisvrouw/man,Politici beloven meer dan ze kunnen waarmaken,8.037383177570094,Politiek Cynisme
0,Huisvrouw/man,Kamerlid word je door je politieke vrienden,6.355140186915888,Politiek Cynisme
0,Huisvrouw/man,De meeste politici zijn bekwame mensen die weten wat ze doen,5.607476635514018,Politiek Cynisme
0,Huisvrouw/man,Ik voel mij goed vertegenwoordigd door Nederlandse politici,4.897196261682243,Politiek Cynisme
0,Huisvrouw/man,Het sluiten van compromissen is het verraden van je principes,6.411214953271028,Politiek Cynisme
0,Huisvrouw/man,Een sterke regeringsleider is goed voor Nederland,6.97196261682243,Politiek Cynisme
0,Huisvrouw/man,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.261682242990654,Politiek Cynisme
0,Huisvrouw/man,Rechtspraak,5.616822429906542,Vertrouwen in Instituties
0,Huisvrouw/man,Journalistiek,4.897196261682243,Vertrouwen in Instituties
0,Huisvrouw/man,Regering,4.355140186915888,Vertrouwen in Instituties
0,Huisvrouw/man,Tweede Kamer,4.672897196261682,Vertrouwen in Instituties
0,Huisvrouw/man,Europese Unie,3.850467289719626,Vertrouwen in Instituties
0,Huisvrouw/man,Politieke Partijen,4.130841121495327,Vertrouwen in Instituties
0,Huisvrouw/man,Politici,4.158878504672897,Vertrouwen in Instituties
0,Huisvrouw/man,Nederlandse Democratie,5.299065420560748,Vertrouwen in Instituties
0,Huisvrouw/man,Wetenschap,6.4672897196261685,Vertrouwen in Instituties
0,Huisvrouw/man,Grote Bedrijven,4.485981308411215,Vertrouwen in Instituties
0,Huisvrouw/man,Banken,4.803738317757009,Vertrouwen in Instituties
0,Werkloos,Politici maken zich niet druk om mensen zoals ik,7.153153153153153,Politiek Cynisme
0,Werkloos,Politici zijn alleen maar geïnteresseerd in mijn stem,7.261261261261262,Politiek Cynisme
0,Werkloos,Politici beloven meer dan ze kunnen waarmaken,7.783783783783784,Politiek Cynisme
0,Werkloos,Kamerlid word je door je politieke vrienden,6.63963963963964,Politiek Cynisme
0,Werkloos,De meeste politici zijn bekwame mensen die weten wat ze doen,5.657657657657658,Politiek Cynisme
0,Werkloos,Ik voel mij goed vertegenwoordigd door Nederlandse politici,4.846846846846847,Politiek Cynisme
0,Werkloos,Het sluiten van compromissen is het verraden van je principes,6.612612612612613,Politiek Cynisme
0,Werkloos,Een sterke regeringsleider is goed voor Nederland,6.657657657657658,Politiek Cynisme
0,Werkloos,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,6.45045045045045,Politiek Cynisme
0,Werkloos,Rechtspraak,5.235294117647059,Vertrouwen in Instituties
0,Werkloos,Journalistiek,4.846153846153846,Vertrouwen in Instituties
0,Werkloos,Regering,4.316742081447964,Vertrouwen in Instituties
0,Werkloos,Tweede Kamer,4.470588235294118,Vertrouwen in Instituties
0,Werkloos,Europese Unie,4.013574660633484,Vertrouwen in Instituties
0,Werkloos,Politieke Partijen,4.018099547511312,Vertrouwen in Instituties
0,Werkloos,Politici,3.995475113122172,Vertrouwen in Instituties
0,Werkloos,Nederlandse Democratie,5.076923076923077,Vertrouwen in Instituties
0,Werkloos,Wetenschap,6.380090497737557,Vertrouwen in Instituties
0,Werkloos,Grote Bedrijven,3.986425339366516,Vertrouwen in Instituties
0,Werkloos,Banken,4.113122171945701,Vertrouwen in Instituties
0,Werkzaam,Politici maken zich niet druk om mensen zoals ik,6.36555023923445,Politiek Cynisme
0,Werkzaam,Politici zijn alleen maar geïnteresseerd in mijn stem,6.608612440191387,Politiek Cynisme
0,Werkzaam,Politici beloven meer dan ze kunnen waarmaken,7.4296650717703345,Politiek Cynisme
0,Werkzaam,Kamerlid word je door je politieke vrienden,6.248803827751196,Politiek Cynisme
0,Werkzaam,De meeste politici zijn bekwame mensen die weten wat ze doen,6.313875598086124,Politiek Cynisme
0,Werkzaam,Ik voel mij goed vertegenwoordigd door Nederlandse politici,5.774162679425837,Politiek Cynisme
0,Werkzaam,Het sluiten van compromissen is het verraden van je principes,5.875598086124402,Politiek Cynisme
0,Werkzaam,Een sterke regeringsleider is goed voor Nederland,6.734928229665072,Politiek Cynisme
0,Werkzaam,De belangrijkste politieke beslissingen moeten door het volk worden genoemen,5.902392344497608,Politiek Cynisme
0,Werkzaam,Rechtspraak,6.047070124879923,Vertrouwen in Instituties
0,Werkzaam,Journalistiek,5.251681075888569,Vertrouwen in Instituties
0,Werkzaam,Regering,5.281460134486071,Vertrouwen in Instituties
